"township","age_group","age","count"
"Andover","1","Under 1 year old","0"
"Andover","2","Ages 1-4","26"
"Andover","3","Ages 5-17","136"
"Andover","4","Ages 18-64","336"
"Andover","5","Ages 65 and older","82"
"Ansonia","1","Under 1 year old","160"
"Ansonia","2","Ages 1-4","670"
"Ansonia","3","Ages 5-17","2106"
"Ansonia","4","Ages 18-64","4906"
"Ansonia","5","Ages 65 and older","837"
"Ashford","1","Under 1 year old","25"
"Ashford","2","Ages 1-4","97"
"Ashford","3","Ages 5-17","312"
"Ashford","4","Ages 18-64","730"
"Ashford","5","Ages 65 and older","124"
"Avon","1","Under 1 year old","18"
"Avon","2","Ages 1-4","66"
"Avon","3","Ages 5-17","305"
"Avon","4","Ages 18-64","882"
"Avon","5","Ages 65 and older","486"
"Barkhamsted","1","Under 1 year old","12"
"Barkhamsted","2","Ages 1-4","40"
"Barkhamsted","3","Ages 5-17","154"
"Barkhamsted","4","Ages 18-64","397"
"Barkhamsted","5","Ages 65 and older","90"
"Beacon Falls","1","Under 1 year old","15"
"Beacon Falls","2","Ages 1-4","72"
"Beacon Falls","3","Ages 5-17","238"
"Beacon Falls","4","Ages 18-64","688"
"Beacon Falls","5","Ages 65 and older","184"
"Berlin","1","Under 1 year old","42"
"Berlin","2","Ages 1-4","173"
"Berlin","3","Ages 5-17","590"
"Berlin","4","Ages 18-64","1891"
"Berlin","5","Ages 65 and older","846"
"Bethany","1","Under 1 year old","9"
"Bethany","2","Ages 1-4","21"
"Bethany","3","Ages 5-17","128"
"Bethany","4","Ages 18-64","401"
"Bethany","5","Ages 65 and older","107"
"Bethel","1","Under 1 year old","86"
"Bethel","2","Ages 1-4","250"
"Bethel","3","Ages 5-17","903"
"Bethel","4","Ages 18-64","2120"
"Bethel","5","Ages 65 and older","587"
"Bethlehem","1","Under 1 year old","7"
"Bethlehem","2","Ages 1-4","52"
"Bethlehem","3","Ages 5-17","125"
"Bethlehem","4","Ages 18-64","399"
"Bethlehem","5","Ages 65 and older","101"
"Bloomfield","1","Under 1 year old","127"
"Bloomfield","2","Ages 1-4","410"
"Bloomfield","3","Ages 5-17","1376"
"Bloomfield","4","Ages 18-64","3863"
"Bloomfield","5","Ages 65 and older","1424"
"Bolton","1","Under 1 year old","10"
"Bolton","2","Ages 1-4","40"
"Bolton","3","Ages 5-17","149"
"Bolton","4","Ages 18-64","487"
"Bolton","5","Ages 65 and older","95"
"Bozrah","1","Under 1 year old","13"
"Bozrah","2","Ages 1-4","41"
"Bozrah","3","Ages 5-17","113"
"Bozrah","4","Ages 18-64","404"
"Bozrah","5","Ages 65 and older","89"
"Branford","1","Under 1 year old","98"
"Branford","2","Ages 1-4","373"
"Branford","3","Ages 5-17","1080"
"Branford","4","Ages 18-64","3859"
"Branford","5","Ages 65 and older","1149"
"Bridgeport","1","Under 1 year old","2182"
"Bridgeport","2","Ages 1-4","7851"
"Bridgeport","3","Ages 5-17","22278"
"Bridgeport","4","Ages 18-64","50013"
"Bridgeport","5","Ages 65 and older","7864"
"Bridgewater","1","Under 1 year old","0"
"Bridgewater","2","Ages 1-4","7"
"Bridgewater","3","Ages 5-17","34"
"Bridgewater","4","Ages 18-64","111"
"Bridgewater","5","Ages 65 and older","42"
"Bristol","1","Under 1 year old","423"
"Bristol","2","Ages 1-4","1665"
"Bristol","3","Ages 5-17","5033"
"Bristol","4","Ages 18-64","12700"
"Bristol","5","Ages 65 and older","3152"
"Brookfield","1","Under 1 year old","49"
"Brookfield","2","Ages 1-4","170"
"Brookfield","3","Ages 5-17","558"
"Brookfield","4","Ages 18-64","1505"
"Brookfield","5","Ages 65 and older","352"
"Brooklyn","1","Under 1 year old","30"
"Brooklyn","2","Ages 1-4","154"
"Brooklyn","3","Ages 5-17","539"
"Brooklyn","4","Ages 18-64","1416"
"Brooklyn","5","Ages 65 and older","390"
"Burlington","1","Under 1 year old","15"
"Burlington","2","Ages 1-4","57"
"Burlington","3","Ages 5-17","258"
"Burlington","4","Ages 18-64","587"
"Burlington","5","Ages 65 and older","165"
"Canaan","1","Under 1 year old","18"
"Canaan","2","Ages 1-4","65"
"Canaan","3","Ages 5-17","202"
"Canaan","4","Ages 18-64","594"
"Canaan","5","Ages 65 and older","219"
"Canterbury","1","Under 1 year old","25"
"Canterbury","2","Ages 1-4","96"
"Canterbury","3","Ages 5-17","299"
"Canterbury","4","Ages 18-64","752"
"Canterbury","5","Ages 65 and older","162"
"Canton","1","Under 1 year old","15"
"Canton","2","Ages 1-4","81"
"Canton","3","Ages 5-17","249"
"Canton","4","Ages 18-64","834"
"Canton","5","Ages 65 and older","323"
"Chaplin","1","Under 1 year old","7"
"Chaplin","2","Ages 1-4","43"
"Chaplin","3","Ages 5-17","176"
"Chaplin","4","Ages 18-64","435"
"Chaplin","5","Ages 65 and older","75"
"Cheshire","1","Under 1 year old","42"
"Cheshire","2","Ages 1-4","142"
"Cheshire","3","Ages 5-17","603"
"Cheshire","4","Ages 18-64","1862"
"Cheshire","5","Ages 65 and older","860"
"Chester","1","Under 1 year old","8"
"Chester","2","Ages 1-4","52"
"Chester","3","Ages 5-17","119"
"Chester","4","Ages 18-64","451"
"Chester","5","Ages 65 and older","185"
"Clinton","1","Under 1 year old","47"
"Clinton","2","Ages 1-4","169"
"Clinton","3","Ages 5-17","662"
"Clinton","4","Ages 18-64","1788"
"Clinton","5","Ages 65 and older","394"
"Colchester","1","Under 1 year old","50"
"Colchester","2","Ages 1-4","169"
"Colchester","3","Ages 5-17","780"
"Colchester","4","Ages 18-64","1978"
"Colchester","5","Ages 65 and older","593"
"Colebrook","1","Under 1 year old","0"
"Colebrook","2","Ages 1-4","7"
"Colebrook","3","Ages 5-17","29"
"Colebrook","4","Ages 18-64","92"
"Colebrook","5","Ages 65 and older","16"
"Columbia","1","Under 1 year old","23"
"Columbia","2","Ages 1-4","65"
"Columbia","3","Ages 5-17","178"
"Columbia","4","Ages 18-64","545"
"Columbia","5","Ages 65 and older","131"
"Cornwall","1","Under 1 year old","0"
"Cornwall","2","Ages 1-4","16"
"Cornwall","3","Ages 5-17","86"
"Cornwall","4","Ages 18-64","192"
"Cornwall","5","Ages 65 and older","36"
"Coventry","1","Under 1 year old","44"
"Coventry","2","Ages 1-4","152"
"Coventry","3","Ages 5-17","521"
"Coventry","4","Ages 18-64","1440"
"Coventry","5","Ages 65 and older","264"
"Cromwell","1","Under 1 year old","44"
"Cromwell","2","Ages 1-4","166"
"Cromwell","3","Ages 5-17","554"
"Cromwell","4","Ages 18-64","1517"
"Cromwell","5","Ages 65 and older","639"
"Danbury","1","Under 1 year old","805"
"Danbury","2","Ages 1-4","2754"
"Danbury","3","Ages 5-17","7437"
"Danbury","4","Ages 18-64","14269"
"Danbury","5","Ages 65 and older","3049"
"Darien","1","Under 1 year old","15"
"Darien","2","Ages 1-4","46"
"Darien","3","Ages 5-17","320"
"Darien","4","Ages 18-64","744"
"Darien","5","Ages 65 and older","162"
"Deep River","1","Under 1 year old","11"
"Deep River","2","Ages 1-4","46"
"Deep River","3","Ages 5-17","223"
"Deep River","4","Ages 18-64","613"
"Deep River","5","Ages 65 and older","157"
"Derby","1","Under 1 year old","107"
"Derby","2","Ages 1-4","384"
"Derby","3","Ages 5-17","1251"
"Derby","4","Ages 18-64","2932"
"Derby","5","Ages 65 and older","778"
"Durham","1","Under 1 year old","16"
"Durham","2","Ages 1-4","45"
"Durham","3","Ages 5-17","166"
"Durham","4","Ages 18-64","468"
"Durham","5","Ages 65 and older","146"
"East Granby","1","Under 1 year old","13"
"East Granby","2","Ages 1-4","53"
"East Granby","3","Ages 5-17","194"
"East Granby","4","Ages 18-64","425"
"East Granby","5","Ages 65 and older","112"
"East Haddam","1","Under 1 year old","33"
"East Haddam","2","Ages 1-4","94"
"East Haddam","3","Ages 5-17","311"
"East Haddam","4","Ages 18-64","932"
"East Haddam","5","Ages 65 and older","278"
"East Hampton","1","Under 1 year old","43"
"East Hampton","2","Ages 1-4","136"
"East Hampton","3","Ages 5-17","467"
"East Hampton","4","Ages 18-64","1393"
"East Hampton","5","Ages 65 and older","400"
