"facility","address","city","state","zip","credentialid","lawenforcement","geocoded_column"
"COVENTRY POLICE DEPARTMENT","1585 MAIN ST","COVENTRY","CT","06238-1749","1250708","true","POINT (-72.309274 41.777368)"
"HARTFORD POLICE DEPARTMENT","253 HIGH ST","HARTFORD","CT","06103-1041","1262646","true","POINT (-72.677839 41.772331)"
"FARMINGTON POLICE DEPARTMENT","319 NEW BRITAIN AVE","UNIONVILLE","CT","06085-1224","1130540","true","POINT (-72.87365 41.748642)"
"SCSU Police Department","510 Crescent Street","New HAven","CT","06515","2323111","true","POINT (-72.947716 41.330962)"
"WINDSOR LOCKS POLICE DEPARTMENT","4 VOLUNTEER DR","WINDSOR LOCKS","CT","06096-2134","1058663","true","POINT (-72.647637 41.927721)"
"PLYMOUTH POLICE DEPARTMENT","80 MAIN ST","TERRYVILLE","CT","06786-5107","1427199","true","POINT (-73.000921 41.679092)"
"NORWICH POLICE DEPARTMENT","70 THAMES ST","NORWICH","CT","06360-5646","1157341","true","POINT (-72.081757 41.522143)"
"CANTON POLICE DEPARTMENT","45 RIVER RD","COLLINSVILLE","CT","06019-3174","1081985","true","POINT (-72.920008 41.816578)"
"DESPP DIVISION OF STATE POLICE TROOP H","100R WASHINGTON ST","HARTFORD","CT","06106-4405","1342197","true","POINT (-72.682111 41.759804)"
"TORRINGTON POLICE DEPARTMENT","576 MAIN ST","TORRINGTON","CT","06790-3710","1205523","true","POINT (-73.121278 41.81225)"
"VERNON POLICE DEPARTMENT","725 HARTFORD TPKE","VERNON","CT","06066-5115","1165866","true","POINT (-72.464945 41.839371)"
"SOUTHINGTON POLICE DEPARTMENT","69 LAZY LN","SOUTHINGTON","CT","06489-1763","1078015","true","POINT (-72.875556 41.621535)"
"MONROE POLICE DEPARTMENT","7 FAN HILL ROAD","MONROE","CT","06468","1487394","true","POINT (-73.207425 41.332551)"
"WESTON POLICE DEPARTMENT","56 NORFIELD ROAD","WESTON","CT","06883","1508431","true","POINT (-73.379011 41.201444)"
"BETHEL POLICE DEPARTMENT","12 Judd Avenue","BETHEL","CT","06801-1616","1231136","true","POINT (-73.396389 41.376453)"
"PLAINVILLE POLICE DEPARTMENT","19 NEAL CT","PLAINVILLE","CT","06062-1603","1116202","true","POINT (-72.865398 41.673019)"
"DESPP DIVISION OF STATE POLICE TROOP D","55 WESTCOTT RD","DANIELSON","CT","06239-2929","1342230","true","POINT (-71.876589 41.809336)"
"WINCHESTER POLICE DEPARTMENT","338 MAIN ST","WINSTED","CT","06098-1640","1201225","true","POINT (-73.068856 41.921167)"
"FAIRFIELD POLICE DEPARTMENT","100 REEF RD","FAIRFIELD","CT","06824-5919","1188115","true","POINT (-73.256607 41.139625)"
"MIDDLETOWN POLICE DEPARTMENT","222 MAIN ST","MIDDLETOWN","CT","06457-3439","2340166","true","POINT (-72.649206 41.559689)"
"CVS PHARMACY #1960","1279 W MAIN ST","WATERBURY","CT","06708-3101","1676977","false","POINT (-73.06434 41.552145)"
"STRATFORD POLICE","900 LONGBROOK AVE","STRATFORD","CT","06614-5007","1184244","true","POINT (-73.129241 41.200726)"
"GLASTONBURY POLICE DEPARTMENT","2108 MAIN STREET","GLASTONBURY","CT","06033","1418016","true","POINT (-72.608024 41.706056)"
"MONTVILLE POLICE DEPARTMENT","911 NORWICH NEW LONDON TPKE","UNCASVILLE","CT","06382-1917","1145845","true","POINT (-72.106538 41.449991)"
"CVS PHARMACY #123","519 BOSTON POST RD","OLD SAYBROOK","CT","06475-1526","2154041","true","POINT (-72.375674 41.29926)"
"DARIEN POLICE DEPARTMENT","25 HECKER AVE","DARIEN","CT","06820-5308","1177013","true","POINT (-73.479425 41.069068)"
"COLCHESTER RESIDENT TROOPERS OFFICE","127 NORWICH AVE","COLCHESTER","CT","06415-1230","1064593","true","POINT (-72.327985 41.574632)"
"NEW LONDON POLICE DEPARTMENT","5 GOVERNOR WINTHROP BLVD","NEW LONDON","CT","06320-6423","1067834","true","POINT (-72.096003 41.356544)"
"EAST HAMPTON POLICE DEPARTMENT","1 COMMUNITY DRIVE","EAST HAMPTON","CT","06424-2038","1531447","true","POINT (-72.498785 41.601726)"
"TOWN OF GROTON POLICE DEPT","68 GROTON LONG POINT RD","GROTON","CT","06340-4806","1122632","true","POINT (-72.010872 41.34337)"
"SHELTON POLICE DEPARTMENT (K9 UNIT)","85 WHEELER ST","SHELTON","CT","06484","1051847","true","POINT (-73.111926 41.32056)"
"WATERBURY POLICE DEPARTMENT","255 E MAIN ST","WATERBURY","CT","06702-2301","1143916","true","POINT (-73.036131 41.554554)"
"DESPP DIVISION OF STATE POLICE TROOP I","631 AMITY RD","BETHANY","CT","06524-3026","1342215","true","POINT (-72.993243 41.432935)"
"CVS PHARMACY #718","24 PERSHING DR # 36","ANSONIA","CT","06401-2214","1676461","false","POINT (-73.083826 41.33337)"
"HEBRON RESIDENT TROOPER'S OFFICE","44 MAIN ST","HEBRON","CT","06248-1515","1401473","true","POINT (-72.362421 41.659106)"
"WINDSOR POLICE DEPARTMENT","110 ADDISON RD","WINDSOR","CT","06095-2171","1467498","true","POINT (-72.674385 41.869498)"
"CVS PHARMACY #364","308 MAIN STREET EXT","MIDDLETOWN","CT","06457-4406","1676968","false","POINT (-72.640575 41.549013)"
"CHESHIRE POLICE UNION","500 HIGHLAND AVE","CHESHIRE","CT","06410-2249","1115844","true","POINT (-72.899175 41.511207)"
"NORWALK DEPARTMENT OF POLICE SERVICE","1 MONROE ST","NORWALK","CT","06854-3103","1221357","true","POINT (-73.418958 41.09657)"
"MAIN STREET PHARMACY 3 LLC","2117 BOSTON AVE","BRIDGEPORT","CT","06610-3030","1676580","false","POINT (-73.155255 41.192539)"
"PORTLAND POLICE DEPARTMENT","265 MAIN STREET","PORTLAND","CT","06480","1441599","true","POINT (-72.638649 41.575616)"
"DESPP DIVISION OF STATE POLICE TROOP E",,"UNCASVILLE","CT","06382-0306","1343492","true","POINT (-72.111924 41.463809)"
"DANBURY POLICE DEPARTMENT","375 MAIN STREET","DANBURY","CT","06810","1453343","true","POINT (-73.458356 41.400229)"
"GREENWICH POLICE DEPARTMENT","11 BRUCE PL","GREENWICH","CT","06830-6535","1035891","true","POINT (-73.624796 41.025366)"
"CVS PHARMACY #1966","1057 BOSTON POST RD","GUILFORD","CT","06437-2644","1676972","false","POINT (-72.684778 41.287823)"
"WEST HARTFORD POLICE DEPARTMENT","103 RAYMOND RD","WEST HARTFORD","CT","06107-2538","1615872","true","POINT (-72.738978 41.758975)"
"BLOOMFIELD POLICE DEPARTMENT","785 PARK AVE","BLOOMFIELD","CT","06002-2444","1234064","true","POINT (-72.733346 41.829045)"
"PLAINFIELD POLICE DEPARTMENT","210 NORWICH RD","PLAINFIELD","CT","06374-1622","1294297","true","POINT (-71.905379 41.705369)"
"STONINGTON POLICE DEPARTMENT","173 S BROAD ST","PAWCATUCK","CT","06379-1920","1275903","true","POINT (-71.861542 41.368416)"
"ENFIELD POLICE DEPARTMENT","293 ELM ST","ENFIELD","CT","06082-3907","1070221","true","POINT (-72.555095 41.99737)"
"CVS PHARMACY #1080","817 BANK ST","NEW LONDON","CT","06320-3503","1676986","false","POINT (-72.10706 41.348725)"
"NAUGATUCK POLICE DEPARTMENT","211 SPRING ST","NAUGATUCK","CT","06770-2990","1070785","true","POINT (-73.054438 41.504957)"
"Middlebury Police Dept.","200 Southford Road","Middlebury","CT","06762","2206784","true","POINT (-73.137679 41.518361)"
"SOUTH WINDSOR POLICE DEPARTMENT","151 SAND HILL RD","SOUTH WINDSOR","CT","06074-2026","1157538","true","POINT (-72.551881 41.836636)"
"WILTON POLICE DEPARTMENT","240 DANBURY RD","WILTON","CT","06897-4008","1035797","true","POINT (-73.426323 41.189414)"
"PUTNAM POLICE DEPARTMENT","189 CHURCH ST","PUTNAM","CT","06260-1537","1163781","true","POINT (-71.91069 41.920588)"
"TOWN OF NORTH BRANFORD POLICE DEPT.","260 FOREST ROAD","NORTH BRANFORD","CT","06471","2218236","true","POINT (-72.801875 41.351381)"
