"period_end_month","year","fiscal_year","total_room_occupancy_receipts","total_room_occupancy_tax"
"January","2011","FY 2011-12","39357730","4722928"
"February","2011","FY 2011-12","42604266","5112512"
"March","2011","FY 2011-12","50392367","6047084"
"April","2011","FY 2011-12","50302893","6036347"
"May","2011","FY 2011-12","58027175","6963261"
"June","2011","FY 2011-12","60347154","7241658"
"July","2011","FY 2011-12","63799953","9485295"
"August","2011","FY 2011-12","63991232","9598685"
"September","2011","FY 2011-12","65406521","9810978"
"October","2011","FY 2011-12","67413404","10112011"
"November","2011","FY 2011-12","59781904","8967286"
"December","2011","FY 2011-12","42923102","6438465"
"January","2012","FY 2011-12","41661775","6249266"
"February","2012","FY 2011-12","45444757","6816714"
"March","2012","FY 2011-12","49789475","7468421"
"April","2012","FY 2011-12","50718710","7607807"
"May","2012","FY 2011-12","60696685","9104503"
"June","2012","FY 2011-12","64373423","9656013"
"July","2012","FY 2012-13","63246304","9486946"
"August","2012","FY 2012-13","64350173","9652526"
"September","2012","FY 2012-13","59534316","8930147"
"October","2012","FY 2012-13","68793604","10319041"
"November","2012","FY 2012-13","63051524","9457729"
"December","2012","FY 2012-13","45213930","6782089"
"January","2013","FY 2012-13","45019927","6752989"
"February","2013","FY 2012-13","46048434","6907265"
"March","2013","FY 2012-13","51283595","7692539"
"April","2013","FY 2012-13","55814881","8372232"
"May","2013","FY 2012-13","64591687","9688753"
"June","2013","FY 2012-13","66465303","9969795"
"July","2013","FY 2013-14","67656841","10148526"
"August","2013","FY 2013-14","68674872","10301231"
"September","2013","FY 2013-14","62839446","9425917"
"October","2013","FY 2013-14","68292683","10243902"
"November","2013","FY 2013-14","53648149","8047222"
"December","2013","FY 2013-14","43586865","6538030"
"January","2014","FY 2013-14","44058299","6608745"
"February","2014","FY 2013-14","46124427","6918664"
"March","2014","FY 2013-14","52150871","7822631"
"April","2014","FY 2013-14","56848679","8527302"
"May","2014","FY 2013-14","68359842","10253976"
"June","2014","FY 2013-14","68345424","10251814"
"July","2014","FY 2014-15","70404892","10560734"
"August","2014","FY 2014-15","75078446","11261767"
"December","2014","FY 2014-15","46570998","6985650"
"November","2014","FY 2014-15","55534108","8330117"
"October","2014","FY 2014-15","74780182","11217027"
"September","2014","FY 2014-15","69103678","10365552"
"January","2015","FY 2014-15","46436538","6965481"
"February","2015","FY 2014-15","49343017","7401453"
"March","2015","FY 2014-15","58889301","8833395"
"April","2015","FY 2014-15","60621965","9093295"
"May","2015","FY 2014-15","73151296","10972694"
"June","2015","FY 2014-15","75543239","11331486"
"July","2015","FY 2015-16","77594792","11639220"
"August","2015","FY 2015-16","77628727","11644309"
"September","2015","FY 2015-16","72965515","10944827"
"October","2015","FY 2015-16","78201344","11730202"
"December","2015","FY 2015-16","47833520","7175028"
"November","2015","FY 2015-16","58602155","8790323"
"January","2016","FY 2015-16","47763061","7164460"
"February","2016","FY 2015-16","51572522","7735878"
"March","2016","FY 2015-16","56707182","8506077"
"April","2016","FY 2015-16","64464789","9669718"
"June","2016","FY 2015-16","76627403","11494111"
"July","2016","FY 2016-17","80478255","12071738"
"August","2016","FY 2016-17","83558217","12533733"
"October","2016","FY 2016-17","80720827","12108124"
"December","2016","FY 2016-17","48774629","7316194"
"May","2016","FY 2015-16","75272028","11290804"
"November","2016","FY 2016-17","60919208","9137881"
"September","2016","FY 2016-17","74745775","11211866"
"January","2017","FY 2016-17","49833337","7510003"
"February","2017","FY 2016-17","49422554","7456847"
"March","2017","FY 2016-17","59831394","9020171"
"April","2017","FY 2016-17","63604085","9597960"
"June","2017","FY 2016-17","80522346","12154672"
"July","2017","FY 2017-18","81280512","12276013"
"August","2017","FY 2017-18","80926313","12230103"
"October","2017","FY 2017-18","83842937","12546096"
"December","2017","FY 2017-18","51412222","7697662"
"May","2017","FY 2016-17","77518576","11707048"
"November","2017","FY 2017-18","65264252","9775550"
"September","2017","FY 2017-18","77157528","11672035"
"January","2018","FY 2017-18","53376323","7998088"
"February","2018","FY 2017-18","54376379","8146824"
"March","2018","FY 2017-18","67224612","10073754"
"April","2018","FY 2017-18","67983554","10185601"
"June","2018","FY 2017-18","87726591","13137697"
"July","2018","FY 2018-19","84810814","12698241"
"August","2018","FY 2018-19","86386580","12934643"
"October","2018","FY 2018-19","87841370","13153863"
"December","2018","FY 2018-19","52438688","7855116"
"May","2018","FY 2017-18","84257080","12623898"
"November","2018","FY 2018-19","63822128","9562759"
"September","2018","FY 2018-19","82646408","12375360"
"January","2019","FY 2018-19","54573777","8179142"
"February","2019","FY 2018-19","54546907","8175245"
"March","2019","FY 2018-19","65034966","9747634"
"April","2019","FY 2018-19","69861907","10469454"
"June","2019","FY 2018-19","86863536","13011455"
"July","2019","FY 2019-20","89001368","13334714"
"August","2019","FY 2019-20","87454142","13100543"
"October","2019","FY 2019-20","86850883","13012486"
"December","2019","FY 2019-20","54045504","8095441"
"May","2019","FY 2018-19","81075665","12144972"
"November","2019","FY 2019-20","68795580","10307929"
"September","2019","FY 2019-20","81142325","12155692"
"January","2020","FY 2019-20","55243699","8279709"
"February","2020","FY 2019-20","56237416","8426938"
"March","2020","FY 2019-20","31814029","4768562"
"April","2020","FY 2019-20","10058216","1508331"
"June","2020","FY 2019-20","27499486","4119722"
"July","2020","FY 2020-21","42669868","6388384"
"August","2020","FY 2020-21","61566871","9219090"
"October","2020","FY 2020-21","40850891","6114453"
"December","2020","FY 2020-21","26909275","4030098"
"May","2020","FY 2019-20","15615573","2341363"
"November","2020","FY 2020-21","27929613","4184198"
