"township","gender","count"
"Andover","F","317"
"Andover","M","279"
"Ansonia","F","5029"
"Ansonia","M","4009"
"Ashford","F","635"
"Ashford","M","616"
"Avon","F","1102"
"Avon","M","788"
"Barkhamsted","F","369"
"Barkhamsted","M","334"
"Beacon Falls","F","661"
"Beacon Falls","M","545"
"Berlin","F","2122"
"Berlin","M","1666"
"Bethany","F","353"
"Bethany","M","339"
"Bethel","F","2369"
"Bethel","M","1872"
"Bethlehem","F","359"
"Bethlehem","M","322"
"Bloomfield","F","4101"
"Bloomfield","M","3252"
"Bolton","F","390"
"Bolton","M","378"
"Bozrah","F","359"
"Bozrah","M","348"
"Branford","F","3820"
"Branford","M","3046"
"Bridgeport","F","49148"
"Bridgeport","M","42134"
"Bridgewater","F","104"
"Bridgewater","M","84"
"Bristol","F","13176"
"Bristol","M","10571"
"Brookfield","F","1520"
"Brookfield","M","1290"
"Brooklyn","F","1456"
"Brooklyn","M","1282"
"Burlington","F","575"
"Burlington","M","563"
"Canaan","F","645"
"Canaan","M","500"
"Canterbury","F","800"
"Canterbury","M","656"
"Canton","F","888"
"Canton","M","728"
"Chaplin","F","382"
"Chaplin","M","364"
"Cheshire","F","2030"
"Cheshire","M","1667"
"Chester","F","474"
"Chester","M","373"
"Clinton","F","1728"
"Clinton","M","1393"
"Colchester","F","1995"
"Colchester","M","1624"
"Colebrook","F","107"
"Colebrook","M","102"
"Columbia","F","535"
"Columbia","M","472"
"Cornwall","F","187"
"Cornwall","M","167"
"Coventry","F","1363"
"Coventry","M","1173"
"Cromwell","F","1646"
"Cromwell","M","1325"
"Danbury","F","15919"
"Danbury","M","13241"
"Darien","F","802"
"Darien","M","666"
"Deep River","F","574"
"Deep River","M","491"
"Derby","F","3132"
"Derby","M","2449"
"Durham","F","496"
"Durham","M","447"
"East Granby","F","422"
"East Granby","M","383"
"East Haddam","F","887"
"East Haddam","M","720"
"East Hampton","F","1357"
"East Hampton","M","1161"
"East Hartford","F","15397"
"East Hartford","M","12565"
"East Haven","F","5956"
"East Haven","M","4836"
"East Lyme","F","1955"
"East Lyme","M","1503"
"East Windsor","F","1957"
"East Windsor","M","1560"
"Eastford","F","165"
"Eastford","M","156"
"Easton","F","417"
"Easton","M","371"
"Ellington","F","1399"
"Ellington","M","1136"
"Enfield","F","6536"
"Enfield","M","5240"
"Essex","F","541"
"Essex","M","443"
"Fairfield","F","4664"
"Fairfield","M","3748"
"Farmington","F","2345"
"Farmington","M","1889"
"Franklin","F","197"
"Franklin","M","184"
"Glastonbury","F","2621"
"Glastonbury","M","1948"
"Goshen","F","263"
"Goshen","M","219"
"Granby","F","781"
"Granby","M","673"
"Greenwich","F","4470"
"Greenwich","M","3410"
"Griswold","F","2442"
"Griswold","M","2084"
"Groton","F","5708"
"Groton","M","4424"
"Guilford","F","1673"
"Guilford","M","1368"
"Haddam","F","672"
"Haddam","M","611"
"Hamden","F","9362"
"Hamden","M","7585"
"Hampton","F","294"
"Hampton","M","288"
"Hartford","F","52046"
"Hartford","M","46169"
"Hartland","F","173"
"Hartland","M","165"
"Harwinton","F","525"
"Harwinton","M","409"
"Hebron","F","645"
"Hebron","M","638"
"Kent","F","384"
"Kent","M","285"
"Killingly","F","4353"
"Killingly","M","3480"
"Killingworth","F","438"
"Killingworth","M","417"
"Lebanon","F","834"
"Lebanon","M","1291"
"Ledyard","F","1758"
"Ledyard","M","1500"
"Lisbon","F","606"
"Lisbon","M","500"
"Litchfield","F","973"
"Litchfield","M","804"
"Lyme","F","184"
"Lyme","M","153"
"Madison","F","1134"
"Madison","M","902"
"Manchester","F","12997"
"Manchester","M","10777"
"Mansfield","F","1473"
"Mansfield","M","1146"
"Marlborough","F","529"
"Marlborough","M","454"
"Meriden","F","16476"
"Meriden","M","13782"
"Middlebury","F","658"
"Middlebury","M","450"
"Middlefield","F","384"
"Middlefield","M","333"
"Middletown","F","9446"
"Middletown","M","8345"
"Milford","F","6192"
"Milford","M","4964"
"Monroe","F","1462"
"Monroe","M","1191"
"Montville","F","3003"
"Montville","M","2616"
"Morris","F","302"
"Morris","M","273"
"Naugatuck","F","6837"
"Naugatuck","M","5347"
"New Britain","F","26050"
"New Britain","M","22773"
"New Canaan","F","748"
"New Canaan","M","559"
"New Fairfield","F","1076"
"New Fairfield","M","950"
"New Hartford","F","622"
"New Hartford","M","555"
"New Haven","F","41601"
"New Haven","M","37252"
"New London","F","9110"
"New London","M","7849"
"New Milford","F","3783"
"New Milford","M","3113"
"Newington","F","4111"
"Newington","M","3162"
"Newtown","F","1985"
"Newtown","M","1697"
"Norfolk","F","198"
"Norfolk","M","168"
"North Branford","F","1401"
"North Branford","M","1092"
"North Canaan","F","162"
"North Canaan","M","145"
"North Haven","F","2556"
"North Haven","M","2144"
