"cttractid","geo_id","geo_id10","town","age_group","initiated_vaccination_count","fully_vaccinated_count","initiated_vaccination_percent","fully_vaccinated_percent","number_left_to_start","number_not_fully_vaccinated","dateupdated"
"CT09001010101","01400000US09001010101","09001010101","Greenwich","All Ages","3842","3397","92.5","81.8","313","758","2022-09-07T00:00:00.000"
"CT09001010102","01400000US09001010102","09001010102","Greenwich","All Ages","3754","3281","86.3","75.4","597","1070","2022-09-07T00:00:00.000"
"CT09001010201","01400000US09001010201","09001010201","Greenwich","All Ages","3352","2964","96.2","85","134","522","2022-09-07T00:00:00.000"
"CT09001010202","01400000US09001010202","09001010202","Greenwich","All Ages","4952","4398","92.8","82.4","386","940","2022-09-07T00:00:00.000"
"CT09001010300","01400000US09001010300","09001010300","Greenwich","All Ages","3851","3400","100","89.9","0","380","2022-09-07T00:00:00.000"
"CT09001010400","01400000US09001010400","09001010400","Greenwich","All Ages","4142","3772","71.4","65","1657","2027","2022-09-07T00:00:00.000"
"CT09001010500","01400000US09001010500","09001010500","Greenwich","All Ages","4191","3746","71.3","63.7","1689","2134","2022-09-07T00:00:00.000"
"CT09001010600","01400000US09001010600","09001010600","Greenwich","All Ages","2072","1848","100","89.6","0","214","2022-09-07T00:00:00.000"
"CT09001010700","01400000US09001010700","09001010700","Greenwich","All Ages","2592","2331","71.9","64.7","1013","1274","2022-09-07T00:00:00.000"
"CT09001010800","01400000US09001010800","09001010800","Greenwich","All Ages","3043","2751","85.7","77.5","508","800","2022-09-07T00:00:00.000"
"CT09001010900","01400000US09001010900","09001010900","Greenwich","All Ages","4565","4112","86.4","77.8","720","1173","2022-09-07T00:00:00.000"
"CT09001011000","01400000US09001011000","09001011000","Greenwich","All Ages","5192","4568","93.5","82.2","362","986","2022-09-07T00:00:00.000"
"CT09001011100","01400000US09001011100","09001011100","Greenwich","All Ages","4953","4377","100","95","0","232","2022-09-07T00:00:00.000"
"CT09001011200","01400000US09001011200","09001011200","Greenwich","All Ages","1505","1307","87.7","76.2","211","409","2022-09-07T00:00:00.000"
"CT09001011300","01400000US09001011300","09001011300","Greenwich","All Ages","2814","2514","82.4","73.6","602","902","2022-09-07T00:00:00.000"
"CT09001020100","01400000US09001020100","09001020100","Stamford","All Ages","5414","4609","99.6","84.8","22","827","2022-09-07T00:00:00.000"
"CT09001020200","01400000US09001020200","09001020200","Stamford","All Ages","3182","2843","89.8","80.2","362","701","2022-09-07T00:00:00.000"
"CT09001020300","01400000US09001020300","09001020300","Stamford","All Ages","6503","5922","93","84.7","487","1068","2022-09-07T00:00:00.000"
"CT09001020400","01400000US09001020400","09001020400","Stamford","All Ages","3203","2957","90.1","83.2","351","597","2022-09-07T00:00:00.000"
"CT09001020500","01400000US09001020500","09001020500","Stamford","All Ages","4506","4062","92.2","83.1","380","824","2022-09-07T00:00:00.000"
"CT09001020600","01400000US09001020600","09001020600","Stamford","All Ages","4347","3959","83.6","76.1","852","1240","2022-09-07T00:00:00.000"
"CT09001020700","01400000US09001020700","09001020700","Stamford","All Ages","3841","3512","94.2","86.1","238","567","2022-09-07T00:00:00.000"
"CT09001020800","01400000US09001020800","09001020800","Stamford","All Ages","2529","2294","95.1","86.3","130","365","2022-09-07T00:00:00.000"
"CT09001020900","01400000US09001020900","09001020900","Stamford","All Ages","4242","3804","90.4","81","452","890","2022-09-07T00:00:00.000"
"CT09001021000","01400000US09001021000","09001021000","Stamford","All Ages","3137","2854","94.3","85.8","190","473","2022-09-07T00:00:00.000"
"CT09001021100","01400000US09001021100","09001021100","Stamford","All Ages","5865","5206","90","79.9","651","1310","2022-09-07T00:00:00.000"
"CT09001021200","01400000US09001021200","09001021200","Stamford","All Ages","4100","3695","97.1","87.5","121","526","2022-09-07T00:00:00.000"
"CT09001021300","01400000US09001021300","09001021300","Stamford","All Ages","3939","3504","90.6","80.6","410","845","2022-09-07T00:00:00.000"
"CT09001021400","01400000US09001021400","09001021400","Stamford","All Ages","6056","5286","83.4","72.8","1202","1972","2022-09-07T00:00:00.000"
"CT09001021500","01400000US09001021500","09001021500","Stamford","All Ages","5882","5092","90.9","78.7","588","1378","2022-09-07T00:00:00.000"
"CT09001021600","01400000US09001021600","09001021600","Stamford","All Ages","6630","5779","87.2","76","976","1827","2022-09-07T00:00:00.000"
"CT09001021700","01400000US09001021700","09001021700","Stamford","All Ages","6708","5813","90.3","78.2","722","1617","2022-09-07T00:00:00.000"
"CT09001021801","01400000US09001021801","09001021801","Stamford","All Ages","3830","3415","83.3","74.2","770","1185","2022-09-07T00:00:00.000"
"CT09001021802","01400000US09001021802","09001021802","Stamford","All Ages","4643","4154","88.2","78.9","624","1113","2022-09-07T00:00:00.000"
"CT09001021900","01400000US09001021900","09001021900","Stamford","All Ages","5543","4928","89.6","79.7","642","1257","2022-09-07T00:00:00.000"
"CT09001022000","01400000US09001022000","09001022000","Stamford","All Ages","2512","2250","86.2","77.2","402","664","2022-09-07T00:00:00.000"
"CT09001022100","01400000US09001022100","09001022100","Stamford","All Ages","6773","5883","83.1","72.2","1376","2266","2022-09-07T00:00:00.000"
"CT09001022200","01400000US09001022200","09001022200","Stamford","All Ages","6379","5471","97.1","83.3","189","1097","2022-09-07T00:00:00.000"
"CT09001022300","01400000US09001022300","09001022300","Stamford","All Ages","5113","4462","97.1","84.8","151","802","2022-09-07T00:00:00.000"
"CT09001022400","01400000US09001022400","09001022400","Stamford","All Ages","2007","1822","93.6","85","137","322","2022-09-07T00:00:00.000"
"CT09001030100","01400000US09001030100","09001030100","Darien","All Ages","3422","3034","94.5","83.8","200","588","2022-09-07T00:00:00.000"
"CT09001030200","01400000US09001030200","09001030200","Darien","All Ages","3392","3057","94.4","85.1","202","537","2022-09-07T00:00:00.000"
"CT09001030300","01400000US09001030300","09001030300","Darien","All Ages","3743","3314","87.2","77.2","547","976","2022-09-07T00:00:00.000"
"CT09001030400","01400000US09001030400","09001030400","Darien","All Ages","3698","3328","86.8","78.1","564","934","2022-09-07T00:00:00.000"
"CT09001030500","01400000US09001030500","09001030500","Darien","All Ages","5339","4863","89.4","81.4","635","1111","2022-09-07T00:00:00.000"
"CT09001035100","01400000US09001035100","09001035100","New Canaan","All Ages","7355","6632","95.5","86.2","343","1066","2022-09-07T00:00:00.000"
