"township","age_group","age","count"
"Andover","1","Under 1 year old","8"
"Andover","2","Ages 1-4","28"
"Andover","3","Ages 5-17","116"
"Andover","4","Ages 18-64","352"
"Andover","5","Ages 65 and older","84"
"Ansonia","1","Under 1 year old","170"
"Ansonia","2","Ages 1-4","726"
"Ansonia","3","Ages 5-17","2278"
"Ansonia","4","Ages 18-64","5158"
"Ansonia","5","Ages 65 and older","807"
"Ashford","1","Under 1 year old","29"
"Ashford","2","Ages 1-4","103"
"Ashford","3","Ages 5-17","305"
"Ashford","4","Ages 18-64","700"
"Ashford","5","Ages 65 and older","131"
"Avon","1","Under 1 year old","11"
"Avon","2","Ages 1-4","94"
"Avon","3","Ages 5-17","371"
"Avon","4","Ages 18-64","976"
"Avon","5","Ages 65 and older","500"
"Barkhamsted","1","Under 1 year old","14"
"Barkhamsted","2","Ages 1-4","35"
"Barkhamsted","3","Ages 5-17","155"
"Barkhamsted","4","Ages 18-64","383"
"Barkhamsted","5","Ages 65 and older","90"
"Beacon Falls","1","Under 1 year old","19"
"Beacon Falls","2","Ages 1-4","60"
"Beacon Falls","3","Ages 5-17","254"
"Beacon Falls","4","Ages 18-64","711"
"Beacon Falls","5","Ages 65 and older","175"
"Berlin","1","Under 1 year old","48"
"Berlin","2","Ages 1-4","199"
"Berlin","3","Ages 5-17","662"
"Berlin","4","Ages 18-64","1964"
"Berlin","5","Ages 65 and older","912"
"Bethany","1","Under 1 year old","10"
"Bethany","2","Ages 1-4","41"
"Bethany","3","Ages 5-17","146"
"Bethany","4","Ages 18-64","456"
"Bethany","5","Ages 65 and older","122"
"Bethel","1","Under 1 year old","69"
"Bethel","2","Ages 1-4","325"
"Bethel","3","Ages 5-17","1116"
"Bethel","4","Ages 18-64","2269"
"Bethel","5","Ages 65 and older","640"
"Bethlehem","1","Under 1 year old","14"
"Bethlehem","2","Ages 1-4","55"
"Bethlehem","3","Ages 5-17","137"
"Bethlehem","4","Ages 18-64","386"
"Bethlehem","5","Ages 65 and older","123"
"Bloomfield","1","Under 1 year old","105"
"Bloomfield","2","Ages 1-4","482"
"Bloomfield","3","Ages 5-17","1432"
"Bloomfield","4","Ages 18-64","4063"
"Bloomfield","5","Ages 65 and older","1399"
"Bolton","1","Under 1 year old","7"
"Bolton","2","Ages 1-4","39"
"Bolton","3","Ages 5-17","154"
"Bolton","4","Ages 18-64","482"
"Bolton","5","Ages 65 and older","101"
"Bozrah","1","Under 1 year old","14"
"Bozrah","2","Ages 1-4","48"
"Bozrah","3","Ages 5-17","134"
"Bozrah","4","Ages 18-64","435"
"Bozrah","5","Ages 65 and older","76"
"Branford","1","Under 1 year old","105"
"Branford","2","Ages 1-4","411"
"Branford","3","Ages 5-17","1200"
"Branford","4","Ages 18-64","3988"
"Branford","5","Ages 65 and older","1225"
"Bridgeport","1","Under 1 year old","2077"
"Bridgeport","2","Ages 1-4","7953"
"Bridgeport","3","Ages 5-17","23437"
"Bridgeport","4","Ages 18-64","49974"
"Bridgeport","5","Ages 65 and older","8575"
"Bridgewater","1","Under 1 year old","6"
"Bridgewater","2","Ages 1-4","11"
"Bridgewater","3","Ages 5-17","25"
"Bridgewater","4","Ages 18-64","124"
"Bridgewater","5","Ages 65 and older","32"
"Bristol","1","Under 1 year old","439"
"Bristol","2","Ages 1-4","1809"
"Bristol","3","Ages 5-17","5371"
"Bristol","4","Ages 18-64","13183"
"Bristol","5","Ages 65 and older","3245"
"Brookfield","1","Under 1 year old","49"
"Brookfield","2","Ages 1-4","183"
"Brookfield","3","Ages 5-17","712"
"Brookfield","4","Ages 18-64","1597"
"Brookfield","5","Ages 65 and older","373"
"Brooklyn","1","Under 1 year old","38"
"Brooklyn","2","Ages 1-4","188"
"Brooklyn","3","Ages 5-17","583"
"Brooklyn","4","Ages 18-64","1543"
"Brooklyn","5","Ages 65 and older","412"
"Burlington","1","Under 1 year old","11"
"Burlington","2","Ages 1-4","61"
"Burlington","3","Ages 5-17","252"
"Burlington","4","Ages 18-64","636"
"Burlington","5","Ages 65 and older","170"
"Canaan","1","Under 1 year old","13"
"Canaan","2","Ages 1-4","82"
"Canaan","3","Ages 5-17","243"
"Canaan","4","Ages 18-64","608"
"Canaan","5","Ages 65 and older","255"
"Canterbury","1","Under 1 year old","17"
"Canterbury","2","Ages 1-4","92"
"Canterbury","3","Ages 5-17","356"
"Canterbury","4","Ages 18-64","773"
"Canterbury","5","Ages 65 and older","171"
"Canton","1","Under 1 year old","20"
"Canton","2","Ages 1-4","96"
"Canton","3","Ages 5-17","304"
"Canton","4","Ages 18-64","858"
"Canton","5","Ages 65 and older","375"
"Chaplin","1","Under 1 year old","7"
"Chaplin","2","Ages 1-4","48"
"Chaplin","3","Ages 5-17","171"
"Chaplin","4","Ages 18-64","441"
"Chaplin","5","Ages 65 and older","81"
"Cheshire","1","Under 1 year old","39"
"Cheshire","2","Ages 1-4","199"
"Cheshire","3","Ages 5-17","713"
"Cheshire","4","Ages 18-64","1967"
"Cheshire","5","Ages 65 and older","879"
"Chester","1","Under 1 year old","9"
"Chester","2","Ages 1-4","40"
"Chester","3","Ages 5-17","124"
"Chester","4","Ages 18-64","457"
"Chester","5","Ages 65 and older","201"
"Clinton","1","Under 1 year old","42"
"Clinton","2","Ages 1-4","195"
"Clinton","3","Ages 5-17","681"
"Clinton","4","Ages 18-64","1794"
"Clinton","5","Ages 65 and older","423"
"Colchester","1","Under 1 year old","55"
"Colchester","2","Ages 1-4","198"
"Colchester","3","Ages 5-17","796"
"Colchester","4","Ages 18-64","1955"
"Colchester","5","Ages 65 and older","579"
"Colebrook","1","Under 1 year old","0"
"Colebrook","2","Ages 1-4","11"
"Colebrook","3","Ages 5-17","46"
"Colebrook","4","Ages 18-64","145"
"Colebrook","5","Ages 65 and older","24"
"Columbia","1","Under 1 year old","19"
"Columbia","2","Ages 1-4","73"
"Columbia","3","Ages 5-17","196"
"Columbia","4","Ages 18-64","552"
"Columbia","5","Ages 65 and older","138"
"Cornwall","1","Under 1 year old","0"
"Cornwall","2","Ages 1-4","15"
"Cornwall","3","Ages 5-17","91"
"Cornwall","4","Ages 18-64","179"
"Cornwall","5","Ages 65 and older","54"
"Coventry","1","Under 1 year old","33"
"Coventry","2","Ages 1-4","173"
"Coventry","3","Ages 5-17","555"
"Coventry","4","Ages 18-64","1469"
"Coventry","5","Ages 65 and older","288"
"Cromwell","1","Under 1 year old","47"
"Cromwell","2","Ages 1-4","158"
"Cromwell","3","Ages 5-17","529"
"Cromwell","4","Ages 18-64","1517"
"Cromwell","5","Ages 65 and older","655"
"Danbury","1","Under 1 year old","853"
"Danbury","2","Ages 1-4","3013"
"Danbury","3","Ages 5-17","8061"
"Danbury","4","Ages 18-64","13889"
"Danbury","5","Ages 65 and older","3133"
"Darien","1","Under 1 year old","7"
"Darien","2","Ages 1-4","64"
"Darien","3","Ages 5-17","383"
"Darien","4","Ages 18-64","851"
"Darien","5","Ages 65 and older","179"
"Deep River","1","Under 1 year old","5"
"Deep River","2","Ages 1-4","62"
"Deep River","3","Ages 5-17","248"
"Deep River","4","Ages 18-64","587"
"Deep River","5","Ages 65 and older","171"
"Derby","1","Under 1 year old","93"
"Derby","2","Ages 1-4","427"
"Derby","3","Ages 5-17","1337"
"Derby","4","Ages 18-64","3139"
"Derby","5","Ages 65 and older","697"
"Durham","1","Under 1 year old","10"
"Durham","2","Ages 1-4","48"
"Durham","3","Ages 5-17","170"
"Durham","4","Ages 18-64","507"
"Durham","5","Ages 65 and older","161"
"East Granby","1","Under 1 year old","13"
"East Granby","2","Ages 1-4","44"
"East Granby","3","Ages 5-17","180"
"East Granby","4","Ages 18-64","427"
"East Granby","5","Ages 65 and older","121"
"East Haddam","1","Under 1 year old","30"
"East Haddam","2","Ages 1-4","106"
"East Haddam","3","Ages 5-17","329"
"East Haddam","4","Ages 18-64","845"
"East Haddam","5","Ages 65 and older","281"
"East Hampton","1","Under 1 year old","28"
"East Hampton","2","Ages 1-4","147"
"East Hampton","3","Ages 5-17","492"
"East Hampton","4","Ages 18-64","1425"
"East Hampton","5","Ages 65 and older","417"
"East Hartford","1","Under 1 year old","576"
"East Hartford","2","Ages 1-4","2338"
"East Hartford","3","Ages 5-17","6805"
"East Hartford","4","Ages 18-64","15408"
"East Hartford","5","Ages 65 and older","2988"
"East Haven","1","Under 1 year old","173"
"East Haven","2","Ages 1-4","764"
"East Haven","3","Ages 5-17","2256"
"East Haven","4","Ages 18-64","6021"
"East Haven","5","Ages 65 and older","1792"
"East Lyme","1","Under 1 year old","36"
"East Lyme","2","Ages 1-4","188"
"East Lyme","3","Ages 5-17","717"
"East Lyme","4","Ages 18-64","1961"
"East Lyme","5","Ages 65 and older","636"
"East Windsor","1","Under 1 year old","60"
"East Windsor","2","Ages 1-4","242"
"East Windsor","3","Ages 5-17","683"
"East Windsor","4","Ages 18-64","1940"
"East Windsor","5","Ages 65 and older","578"
"Eastford","1","Under 1 year old","5"
"Eastford","2","Ages 1-4","21"
"Eastford","3","Ages 5-17","65"
"Eastford","4","Ages 18-64","175"
"Eastford","5","Ages 65 and older","45"
"Easton","1","Under 1 year old","8"
"Easton","2","Ages 1-4","34"
"Easton","3","Ages 5-17","184"
"Easton","4","Ages 18-64","467"
"Easton","5","Ages 65 and older","113"
"Ellington","1","Under 1 year old","47"
"Ellington","2","Ages 1-4","173"
"Ellington","3","Ages 5-17","544"
"Ellington","4","Ages 18-64","1373"
"Ellington","5","Ages 65 and older","360"
"Enfield","1","Under 1 year old","194"
"Enfield","2","Ages 1-4","821"
"Enfield","3","Ages 5-17","2834"
"Enfield","4","Ages 18-64","6400"
"Enfield","5","Ages 65 and older","1612"
"Essex","1","Under 1 year old","8"
"Essex","2","Ages 1-4","51"
"Essex","3","Ages 5-17","183"
"Essex","4","Ages 18-64","580"
"Essex","5","Ages 65 and older","165"
"Fairfield","1","Under 1 year old","90"
"Fairfield","2","Ages 1-4","426"
"Fairfield","3","Ages 5-17","1840"
"Fairfield","4","Ages 18-64","4442"
"Fairfield","5","Ages 65 and older","1510"
"Farmington","1","Under 1 year old","38"
"Farmington","2","Ages 1-4","179"
"Farmington","3","Ages 5-17","817"
"Farmington","4","Ages 18-64","2233"
"Farmington","5","Ages 65 and older","991"
"Franklin","1","Under 1 year old","0"
"Franklin","2","Ages 1-4","22"
"Franklin","3","Ages 5-17","82"
"Franklin","4","Ages 18-64","193"
"Franklin","5","Ages 65 and older","74"
"Glastonbury","1","Under 1 year old","49"
"Glastonbury","2","Ages 1-4","222"
"Glastonbury","3","Ages 5-17","995"
"Glastonbury","4","Ages 18-64","2447"
"Glastonbury","5","Ages 65 and older","950"
"Goshen","1","Under 1 year old","6"
"Goshen","2","Ages 1-4","32"
"Goshen","3","Ages 5-17","113"
"Goshen","4","Ages 18-64","259"
"Goshen","5","Ages 65 and older","83"
"Granby","1","Under 1 year old","17"
"Granby","2","Ages 1-4","90"
"Granby","3","Ages 5-17","297"
"Granby","4","Ages 18-64","830"
"Granby","5","Ages 65 and older","268"
"Greenwich","1","Under 1 year old","119"
"Greenwich","2","Ages 1-4","454"
"Greenwich","3","Ages 5-17","1969"
"Greenwich","4","Ages 18-64","4250"
"Greenwich","5","Ages 65 and older","1348"
"Griswold","1","Under 1 year old","64"
"Griswold","2","Ages 1-4","336"
"Griswold","3","Ages 5-17","1012"
"Griswold","4","Ages 18-64","2579"
"Griswold","5","Ages 65 and older","425"
"Groton","1","Under 1 year old","182"
"Groton","2","Ages 1-4","813"
"Groton","3","Ages 5-17","2223"
"Groton","4","Ages 18-64","5622"
"Groton","5","Ages 65 and older","1206"
"Guilford","1","Under 1 year old","35"
"Guilford","2","Ages 1-4","145"
"Guilford","3","Ages 5-17","592"
"Guilford","4","Ages 18-64","1733"
"Guilford","5","Ages 65 and older","616"
"Haddam","1","Under 1 year old","24"
"Haddam","2","Ages 1-4","88"
"Haddam","3","Ages 5-17","283"
"Haddam","4","Ages 18-64","728"
"Haddam","5","Ages 65 and older","158"
"Hamden","1","Under 1 year old","288"
"Hamden","2","Ages 1-4","1126"
"Hamden","3","Ages 5-17","3701"
"Hamden","4","Ages 18-64","9624"
"Hamden","5","Ages 65 and older","2808"
"Hampton","1","Under 1 year old","0"
"Hampton","2","Ages 1-4","44"
"Hampton","3","Ages 5-17","111"
"Hampton","4","Ages 18-64","343"
"Hampton","5","Ages 65 and older","69"
"Hartford","1","Under 1 year old","2000"
"Hartford","2","Ages 1-4","8429"
"Hartford","3","Ages 5-17","24492"
"Hartford","4","Ages 18-64","56705"
"Hartford","5","Ages 65 and older","8797"
"Hartland","1","Under 1 year old","7"
"Hartland","2","Ages 1-4","22"
"Hartland","3","Ages 5-17","105"
"Hartland","4","Ages 18-64","191"
"Hartland","5","Ages 65 and older","42"
"Harwinton","1","Under 1 year old","15"
"Harwinton","2","Ages 1-4","66"
"Harwinton","3","Ages 5-17","226"
"Harwinton","4","Ages 18-64","476"
"Harwinton","5","Ages 65 and older","159"
"Hebron","1","Under 1 year old","22"
"Hebron","2","Ages 1-4","84"
"Hebron","3","Ages 5-17","286"
"Hebron","4","Ages 18-64","799"
"Hebron","5","Ages 65 and older","160"
"Kent","1","Under 1 year old","8"
"Kent","2","Ages 1-4","37"
"Kent","3","Ages 5-17","145"
"Kent","4","Ages 18-64","354"
"Kent","5","Ages 65 and older","118"
"Killingly","1","Under 1 year old","156"
"Killingly","2","Ages 1-4","541"
"Killingly","3","Ages 5-17","1596"
"Killingly","4","Ages 18-64","4121"
"Killingly","5","Ages 65 and older","1191"
"Killingworth","1","Under 1 year old","6"
"Killingworth","2","Ages 1-4","47"
"Killingworth","3","Ages 5-17","163"
"Killingworth","4","Ages 18-64","479"
"Killingworth","5","Ages 65 and older","174"
"Lebanon","1","Under 1 year old","28"
"Lebanon","2","Ages 1-4","87"
"Lebanon","3","Ages 5-17","361"
"Lebanon","4","Ages 18-64","1365"
"Lebanon","5","Ages 65 and older","181"
"Ledyard","1","Under 1 year old","70"
"Ledyard","2","Ages 1-4","276"
"Ledyard","3","Ages 5-17","803"
"Ledyard","4","Ages 18-64","1825"
"Ledyard","5","Ages 65 and older","264"
"Lisbon","1","Under 1 year old","20"
"Lisbon","2","Ages 1-4","72"
"Lisbon","3","Ages 5-17","214"
"Lisbon","4","Ages 18-64","618"
"Lisbon","5","Ages 65 and older","155"
"Litchfield","1","Under 1 year old","15"
"Litchfield","2","Ages 1-4","100"
"Litchfield","3","Ages 5-17","353"
"Litchfield","4","Ages 18-64","919"
"Litchfield","5","Ages 65 and older","385"
"Lyme","1","Under 1 year old","0"
"Lyme","2","Ages 1-4","15"
"Lyme","3","Ages 5-17","60"
"Lyme","4","Ages 18-64","189"
"Lyme","5","Ages 65 and older","45"
"Madison","1","Under 1 year old","11"
"Madison","2","Ages 1-4","64"
"Madison","3","Ages 5-17","372"
"Madison","4","Ages 18-64","1094"
"Madison","5","Ages 65 and older","457"
"Manchester","1","Under 1 year old","436"
"Manchester","2","Ages 1-4","1859"
"Manchester","3","Ages 5-17","5468"
"Manchester","4","Ages 18-64","13818"
"Manchester","5","Ages 65 and older","2484"
"Mansfield","1","Under 1 year old","32"
"Mansfield","2","Ages 1-4","166"
"Mansfield","3","Ages 5-17","511"
"Mansfield","4","Ages 18-64","1422"
"Mansfield","5","Ages 65 and older","415"
