"fiscal_year","revenue_stream","revenue"
"1972","Lottery","8150000"
"1973","Lottery","16500000"
"1974","Lottery","16000000"
"1975","Lottery","15000000"
"1976","Lottery","31900000"
"1976","Plainfield Greyhound","4924536"
"1976","Bridgeport/Shoreline Star","225333"
"1976","Hartford Jai Alai","384241"
"1977","Lottery","25341822"
"1977","Plainfield Greyhound","9897029"
"1977","Bridgeport/Shoreline Star","7539664"
"1977","Hartford Jai Alai","4215515"
"1977","Milford Jai Alai","949904"
"1977","Off-Track Betting","8000000"
"1978","Lottery","41790050"
"1978","Plainfield Greyhound","8119339"
"1978","Bridgeport/Shoreline Star","4850208"
"1978","Hartford Jai Alai","4708105"
"1978","Milford Jai Alai","4556746"
"1978","Off-Track Betting","8800000"
"1979","Lottery","43117000"
"1979","Plainfield Greyhound","7806377"
"1979","Bridgeport/Shoreline Star","5092827"
"1979","Hartford Jai Alai","4199321"
"1979","Milford Jai Alai","4416805"
"1979","Off-Track Betting","7800000"
"1980","Lottery","54535048"
"1980","Plainfield Greyhound","7176368"
"1980","Bridgeport/Shoreline Star","4739781"
"1980","Hartford Jai Alai","4188854"
"1980","Milford Jai Alai","4738019"
"1980","Off-Track Betting","13100000"
"1981","Lottery","57653000"
"1981","Plainfield Greyhound","7517524"
"1981","Bridgeport/Shoreline Star","4659929"
"1981","Hartford Jai Alai","3930327"
"1981","Milford Jai Alai","4096110"
"1981","Off-Track Betting","13500000"
"1982","Lottery","71000000"
"1982","Plainfield Greyhound","8145685"
"1982","Bridgeport/Shoreline Star","4479313"
"1982","Hartford Jai Alai","4934239"
"1982","Milford Jai Alai","4090059"
"1982","Off-Track Betting","20200000"
"1983","Lottery","80500000"
"1983","Plainfield Greyhound","9253891"
"1983","Bridgeport/Shoreline Star","4412450"
"1983","Hartford Jai Alai","4845766"
"1983","Milford Jai Alai","4479478"
"1983","Off-Track Betting","19000000"
"1984","Lottery","105425000"
"1984","Plainfield Greyhound","9791909"
"1984","Bridgeport/Shoreline Star","4545535"
"1984","Hartford Jai Alai","4883719"
"1984","Milford Jai Alai","4519902"
"1984","Off-Track Betting","18800000"
"1985","Lottery","148800000"
"1985","Plainfield Greyhound","9875591"
"1985","Bridgeport/Shoreline Star","4385627"
"1985","Hartford Jai Alai","5218887"
"1985","Milford Jai Alai","4843053"
"1985","Off-Track Betting","18700000"
"1986","Lottery","190850000"
"1986","Plainfield Greyhound","9629358"
"1986","Bridgeport/Shoreline Star","5474825"
"1986","Hartford Jai Alai","5238231"
"1986","Milford Jai Alai","3965388"
"1986","Off-Track Betting","18900000"
"1987","Lottery","214100000"
"1987","Plainfield Greyhound","9545366"
"1987","Bridgeport/Shoreline Star","4939500"
"1987","Hartford Jai Alai","5441696"
"1987","Milford Jai Alai","4926814"
"1987","Off-Track Betting","18700000"
"1988","Lottery","225000000"
"1988","Charitable Games","450209"
"1988","Plainfield Greyhound","8174977"
"1988","Bridgeport/Shoreline Star","3414498"
"1988","Hartford Jai Alai","4526011"
"1988","Milford Jai Alai","5295122"
"1988","Off-Track Betting","18800000"
"1989","Lottery","219650000"
"1989","Charitable Games","1662433"
"1989","Plainfield Greyhound","7919128"
"1989","Bridgeport/Shoreline Star","3648252"
"1989","Hartford Jai Alai","3360573"
"1989","Milford Jai Alai","4891112"
"1989","Off-Track Betting","19600000"
"1990","Lottery","226650000"
"1990","Charitable Games","1048127"
"1990","Plainfield Greyhound","6957952"
"1990","Bridgeport/Shoreline Star","3820124"
"1990","Hartford Jai Alai","4257677"
"1990","Milford Jai Alai","4743204"
"1990","Off-Track Betting","18300000"
"1991","Lottery","228600000"
"1991","Charitable Games","1326882"
"1991","Plainfield Greyhound","5936699"
"1991","Bridgeport/Shoreline Star","3728412"
"1991","Hartford Jai Alai","3931354"
"1991","Milford Jai Alai","4157985"
"1991","Off-Track Betting","10900000"
"1992","Lottery","221300000"
"1992","Charitable Games","1500035"
"1992","Plainfield Greyhound","5259612"
"1992","Bridgeport/Shoreline Star","3430594"
"1992","Hartford Jai Alai","3987895"
"1992","Milford Jai Alai","3843258"
"1992","Off-Track Betting","14400000"
"1993","Lottery","221700000"
"1993","Foxwoods","30000000"
"1993","Charitable Games","1735931"
"1993","Plainfield Greyhound","2578114"
"1993","Bridgeport/Shoreline Star","2632772"
"1993","Hartford Jai Alai","2962939"
"1993","Milford Jai Alai","3138557"
"1993","Off-Track Betting","16200000"
"1994","Lottery","217250000"
"1994","Foxwoods","113000000"
"1994","Charitable Games","1805800"
"1994","Plainfield Greyhound","682389"
"1994","Bridgeport/Shoreline Star","446604"
"1994","Hartford Jai Alai","519205"
"1994","Milford Jai Alai","713048"
"1994","Off-Track Betting","5788175"
"1995","Lottery","249650000"
"1995","Foxwoods","135724017"
"1995","Charitable Games","1748657"
"1995","Plainfield Greyhound","592446"
"1995","Bridgeport/Shoreline Star","350990"
"1995","Hartford Jai Alai","421212"
"1995","Milford Jai Alai","639706"
"1995","Off-Track Betting","6129150"
"1996","Lottery","262050000"
"1996","Foxwoods","148702765"
"1996","Charitable Games","1723649"
"1996","Plainfield Greyhound","490421"
"1996","Bridgeport/Shoreline Star","210335"
"1996","Hartford Jai Alai","141034"
"1996","Milford Jai Alai","858996"
"1996","Off-Track Betting","6610554"
"1997","Lottery","251520868"
"1997","Mohegan Sun","57643836"
"1997","Foxwoods","145957933"
"1997","Charitable Games","1491772"
"1997","Plainfield Greyhound","308935"
"1997","Bridgeport/Shoreline Star","47231"
"1997","Milford Jai Alai","521138"
"1997","Off-Track Betting","6874079"
"1998","Lottery","264274830"
"1998","Mohegan Sun","91007858"
"1998","Foxwoods","165067994"
"1998","Charitable Games","1423223"
"1998","Plainfield Greyhound","281153"
"1998","Bridgeport/Shoreline Star","38816"
"1998","Milford Jai Alai","401319"
"1998","Off-Track Betting","5441570"
"1999","Lottery","271308022"
"1999","Mohegan Sun","113450294"
"1999","Foxwoods","173581104"
"1999","Charitable Games","1258380"
"1999","Plainfield Greyhound","255094"
"1999","Bridgeport/Shoreline Star","37090"
"1999","Milford Jai Alai","341630"
"1999","Off-Track Betting","5472648"
"2000","Lottery","253598047"
"2000","Mohegan Sun","129750030"
"2000","Foxwoods","189235039"
"2000","Charitable Games","1205865"
"2000","Plainfield Greyhound","210483"
"2000","Bridgeport/Shoreline Star","35425"
"2000","Milford Jai Alai","324365"
"2000","Off-Track Betting","5616495"
"2001","Lottery","252002987"
"2001","Mohegan Sun","141734541"
"2001","Foxwoods","190683773"
"2001","Charitable Games","1162360"
"2001","Plainfield Greyhound","167740"
"2001","Bridgeport/Shoreline Star","40930"
"2001","Milford Jai Alai","294562"
"2001","Off-Track Betting","5674281"
"2002","Lottery","271509680"
"2002","Mohegan Sun","169915956"
"2002","Foxwoods","199038210"
"2002","Charitable Games","1284454"
"2002","Plainfield Greyhound","162945"
"2002","Bridgeport/Shoreline Star","41969"
"2002","Milford Jai Alai","137764"
"2002","Off-Track Betting","5736901"
"2003","Lottery","256814859"
"2003","Mohegan Sun","190953944"
"2003","Foxwoods","196300528"
"2003","Charitable Games","1230391"
"2003","Plainfield Greyhound","134743"
"2003","Bridgeport/Shoreline Star","43222"
"2003","Off-Track Betting","5783231"
"2004","Lottery","280763074"
"2004","Mohegan Sun","205850884"
"2004","Foxwoods","196883096"
"2004","Charitable Games","1398295"
"2004","Plainfield Greyhound","109394"
"2004","Bridgeport/Shoreline Star","43116"
"2004","Off-Track Betting","5783041"
"2005","Lottery","268515000"
"2005","Mohegan Sun","212884444"
"2005","Foxwoods","204953050"
"2005","Charitable Games","1431054"
"2005","Plainfield Greyhound","64837"
"2005","Bridgeport/Shoreline Star","39462"
"2005","Off-Track Betting","5275182"
"2006","Lottery","284864998"
"2006","Mohegan Sun","223020826"
"2006","Foxwoods","204505785"
"2006","Charitable Games","1305163"
"2006","Bridgeport/Shoreline Star","25757"
"2006","Off-Track Betting","5055057"
"2007","Lottery","279000000"
"2007","Mohegan Sun","229095455"
"2007","Foxwoods","201380257"
"2007","Charitable Games","1297756"
"2007","Off-Track Betting","4808425"
"2008","Lottery","283000000"
"2008","Mohegan Sun","221373298"
"2008","Foxwoods","190037675"
"2008","Charitable Games","1211178"
"2008","Off-Track Betting","4603607"
"2009","Lottery","283000000"
"2009","Mohegan Sun","200651400"
"2009","Foxwoods","177153485"
"2009","Charitable Games","1063435"
"2009","Off-Track Betting","4195243"
"2010","Lottery","285500000"
"2010","Mohegan Sun","189845097"
"2010","Foxwoods","169408149"
"2010","Charitable Games","945375"
"2010","Off-Track Betting","3816676"
"2011","Lottery","289300000"
"2011","Mohegan Sun","185488712"
"2011","Foxwoods","174092415"
"2011","Charitable Games","876064"
"2011","Off-Track Betting","3699415"
"2012","Lottery","310000000"
"2012","Mohegan Sun","178783321"
"2012","Foxwoods","165547090"
"2012","Charitable Games","683627"
"2012","Off-Track Betting","3766758"
"2013","Lottery","312100000"
"2013","Mohegan Sun","157863949"
"2013","Foxwoods","138531943"
"2013","Charitable Games","425956"
"2013","Off-Track Betting","3644167"
"2014","Lottery","319500000"
"2014","Mohegan Sun","148345903"
"2014","Foxwoods","131527642"
"2014","Charitable Games","416962"
"2014","Off-Track Betting","3723791"
"2015","Lottery","319700000"
"2015","Mohegan Sun","146682864"
"2015","Foxwoods","121302985"
"2015","Charitable Games","415929"
"2015","Off-Track Betting","3606125"
"2016","Lottery","337500000"
"2016","Mohegan Sun","147428946"
"2016","Foxwoods","118477754"
"2016","Charitable Games","451241"
"2016","Off-Track Betting","3485406"
"2017","Lottery","349410030"
"2017","Mohegan Sun","150583021"
"2017","Foxwoods","120127846"
"2017","Charitable Games","448338"
"2017","Off-Track Betting","3354294"
"2018","Lottery","345000000"
"2018","Mohegan Sun","151660010"
"2018","Foxwoods","120491071"
"2018","Charitable Games","375567"
"2018","Off-Track Betting","3278258"
"2018","KENO","7625646"
"2019","Lottery","370000000"
"2019","Mohegan Sun","142226558"
"2019","Foxwoods","113012926"
"2019","Charitable Games","286016"
"2019","Off-Track Betting","3054163"
"2019","KENO","9149621"
"2020","Lottery","347700000"
"2020","Off-Track Betting","2333650"
"2020","Charitable Games","183492"
"2020","Foxwoods","85504344"
"2020","Mohegan Sun","107234520"
"2020","Advanced Deposit Wagering","725887"
"2020","KENO","10171433"
"2021","Off-Track Betting","2819643"
"2021","Advanced Deposit Wagering","1552651"
"2021","Charitable Games","152767"
"2021","Foxwoods","81741792"
"2021","Mohegan Sun","118542137"
"2021","KENO","12001575"
"2022","Off-Track Betting","2523306"
"2022","Advanced Deposit Wagering","1256748"
"2022","Charitable Games","151036"
"2022","Foxwoods","89425383"
"2022","Mohegan Sun","126208362"
"2022","Foxwoods-Online Sports","3701473"
"2022","Mohegan Sun-Online Sports","3528888"
"2022","Lottery-Online","559260"
"2022","Lottery-Retail Sports","682168"
"2022","Foxwoods-On-Reservation Online","18644"
"2022","Mohegan-On-Reservation Online","12293"
"2022","Foxwoods-Online Casino","14640556"
"2022","Mohegan-Online Casino","10975012"
"2022","Foxwoods-Fantasy","165458"
"2022","KENO","12350685"
"2021","Lottery","418000000"
"2022","Lottery","401000000"
