"town_code","town_name","fiscal_year","previous_fiscal_year_budget","current_fiscal_year_budget","net_dollar_change","net_percent_change","previous_fiscal_year_population","current_fiscal_year_population","net_population_change","net_population_percent_change","certification_date"
"41","East Haddam","2022","26149605.00","26764190.00","614585.00","0.0235026494664069","8997.00","8988.00","-9.00","-0.00100033344448","2022-02-01T00:00:00.000"
"42","East Hampton","2022","35874790.00","37007997.00","1133207.00","0.0315878364723529","12827.00","12850.00","23.00","0.00179309269510","2022-02-01T00:00:00.000"
"43","East Hartford","2022","162417215.00","165108657.00","2691442.00","0.0165711621148041","50000.00","50000.00","0.00","0.00000000000000","2022-01-22T00:00:00.000"
"44","East Haven","2022","68752976.00","71919355.00","3166379.00","0.0460544282475860","28860.00","28860.00","0.00","0.00000000000000","2022-01-13T00:00:00.000"
"45","East Lyme","2022","58150202.00","58738436.00","588234.00","0.0101157688153861","18462.00","18645.00","183.00","0.00991225219370","2022-01-11T00:00:00.000"
"46","Easton","2022","36450941.00","38006805.00","1555864.00","0.0426837814694551","7561.00","7605.00","44.00","0.00581933606666","2022-02-08T00:00:00.000"
"47","East Windsor","2022","30784331.00","30821824.00","37493.00","0.0012179247942728","11445.00","11445.00","0.00","0.00000000000000","2022-02-03T00:00:00.000"
"48","Ellington","2022","51932716.00","50891020.00","-1041696.00","-0.0200585696307507","16467.00","16426.00","-41.00","-0.00248982814113","2022-02-03T00:00:00.000"
"49","Enfield","2022","110152232.00","113208448.00","3056216.00","0.0277453842242616","43659.00","44653.00","994.00","0.02276735610069","2022-02-11T00:00:00.000"
"50","Essex","2022","21380609.00","22183757.00","803148.00","0.0375643182100192","6668.00","6713.00","45.00","0.00674865026995","2022-01-13T00:00:00.000"
"51","Fairfield","2022","257810966.00","268048295.00","10237329.00","0.0397086639053205","62000.00","62000.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"52","Farmington","2022","88778555.00","92634141.00","3855586.00","0.0434292493271601","25497.00","26673.00","1176.00","0.04612307330274","2022-01-18T00:00:00.000"
"53","Franklin","2022","5286640.00","5441996.00","155356.00","0.0293865290619373","1956.00","1960.00","4.00","0.00204498977505","2022-02-10T00:00:00.000"
"54","Glastonbury","2022","136057119.00","138140271.00","2083152.00","0.0153108636674866","34482.00","35159.00","677.00","0.01963343193550","2022-02-03T00:00:00.000"
"55","Goshen","2022","3160396.00","2133250.00","-1027146.00","-0.3250054739975620","2883.00","2883.00","0.00","0.00000000000000","2022-01-12T00:00:00.000"
"56","Granby","2022","37422247.00","38340907.00","918660.00","0.0245484991855246","11507.00","10903.00","-604.00","-0.05248978882419","2022-01-28T00:00:00.000"
"57","Greenwich","2022","342164787.00","318344616.00","-23820171.00","-0.0696160794593980","63518.00","63518.00","0.00","0.00000000000000","2022-01-16T00:00:00.000"
"58","Griswold","2022","27242684.00","27861509.00","618825.00","0.0227152728416921","11404.00","11500.00","96.00","0.00841809891266","2022-01-31T00:00:00.000"
,"Groton, City","2022","16905721.00","17186221.00","280500.00","0.0165920163949234","9134.00","9387.00","253.00","0.02769870812349","2022-02-09T00:00:00.000"
"59","Groton, Town","2022","102708918.00","105412846.00","2703928.00","0.0263261268120846","38436.00","38445.00","9.00","0.00023415547924","2022-01-14T00:00:00.000"
"60","Guilford","2022","92948066.00","94748771.00","1800705.00","0.0193732379541926","22133.00","22703.00","570.00","0.02575339990060","2022-01-24T00:00:00.000"
"61","Haddam","2022","30581032.00","31073997.00","492965.00","0.0161199595880218","8227.00","8227.00","0.00","0.00000000000000","2022-01-10T00:00:00.000"
"62","Hamden","2022","156428839.00","165880196.00","9451357.00","0.0604195304422096","61169.00","61169.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"63","Hampton","2022","4683717.00","4725737.00","42020.00","0.0089715070317015","1853.00","1842.00","-11.00","-0.00593631948192","2022-01-18T00:00:00.000"
"64","Hartford","2022","399777211.00","411088030.00","11310819.00","0.0282928058147867","122107.00","123088.00","981.00","0.00803393744830","2022-02-10T00:00:00.000"
"65","Hartland","2022","6411463.00","6548426.00","136963.00","0.0213622070344943","2125.00","1923.00","-202.00","-0.09505882352941","2022-01-25T00:00:00.000"
"66","Harwinton","2022","18990099.00","19379683.00","389584.00","0.0205151115852529","5526.00","5456.00","-70.00","-0.01266739051755","2022-02-01T00:00:00.000"
"67","Hebron","2022","31583726.00","31366714.00","-217012.00","-0.0068710069229957","9512.00","9600.00","88.00","0.00925147182506","2022-01-13T00:00:00.000"
"68","Kent","2022","12149687.00","12296282.00","146595.00","0.0120657429281923","3000.00","3014.00","14.00","0.00466666666667","2022-02-10T00:00:00.000"
"69","Killingly","2022","42506040.00","43323232.00","817192.00","0.0192253148023199","17336.00","17752.00","416.00","0.02399630826027","2022-02-10T00:00:00.000"
"70","Killingworth","2022","4094398.00","4178522.00","84124.00","0.0205461217986136","6419.00","6392.00","-27.00","-0.00420626265773","2022-01-11T00:00:00.000"
"71","Lebanon","2022","20371698.00","20340045.00","-31653.00","-0.0015537732789874","7163.00","7142.00","-21.00","-0.00293173251431","2022-02-07T00:00:00.000"
"72","Ledyard","2022","45113492.00","44801777.00","-311715.00","-0.0069095737479156","14850.00","14900.00","50.00","0.00336700336700","2022-02-10T00:00:00.000"
"73","Lisbon","2022","11485662.00","12025218.00","539556.00","0.0469764825048830","4338.00","4338.00","0.00","0.00000000000000","2022-02-01T00:00:00.000"
"74","Litchfield","2022","24886099.00","24982057.00","95958.00","0.0038558875780411","8277.00","8277.00","0.00","0.00000000000000","2022-01-11T00:00:00.000"
"75","Lyme","2022","9413131.00","9202688.00","-210443.00","-0.0223563233104904","2316.00","2352.00","36.00","0.01554404145078","2022-01-13T00:00:00.000"
"76","Madison","2022","66554866.00","67539768.00","984902.00","0.0147983469758620","17924.00","18247.00","323.00","0.01802053113144","2022-02-07T00:00:00.000"
"77","Manchester","2022","183537817.00","185044242.00","1506425.00","0.0082077090412381","61370.00","62697.00","1327.00","0.02162294280593","2022-02-01T00:00:00.000"
"78","Mansfield","2022","41275240.00","42434590.00","1159350.00","0.0280882679301198","27402.00","25800.00","-1602.00","-0.05846288592074","2022-02-10T00:00:00.000"
"79","Marlborough","2022","19200767.00","19505605.00","304838.00","0.0158763449397620","6385.00","6113.00","-272.00","-0.04259984338293","2022-02-10T00:00:00.000"
"80","Meriden","2022","174060133.00","174332794.00","272661.00","0.0015664758799190","59864.00","59864.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"81","Middlebury","2022","10446825.00","10646956.00","200131.00","0.0191571123283869","7739.00","7894.00","155.00","0.02002842744541","2022-02-14T00:00:00.000"
"82","Middlefield","2022","4441056.00","4598044.00","156988.00","0.0353492502684046","4374.00","4217.00","-157.00","-0.03589391860997","2022-02-09T00:00:00.000"
"83","Middletown","2022","132351257.00","135582414.00","3231157.00","0.0244134968812574","46473.00","47717.00","1244.00","0.02676823101586","2022-02-10T00:00:00.000"
