"data_as_of","sfy","office","region","demographic","exit_type","los_lessthan12mnths","los_morethan12mnths","total_reunified","demographic_type"
"2016-02-10T00:00:00.000","2000","Other","Region 0","<3","Reunification","12","2","14","Age"
"2016-02-10T00:00:00.000","2000","Other","Region 0","13-17","Reunification","8","3","11","Age"
"2016-02-10T00:00:00.000","2000","Other","Region 0","3-5","Reunification","8","2","10","Age"
"2016-02-10T00:00:00.000","2000","Other","Region 0","6-12","Reunification","12","4","16","Age"
"2016-02-10T00:00:00.000","2000","Bridgeport","Region 1","<3","Reunification","11","11","22","Age"
"2016-02-10T00:00:00.000","2000","Bridgeport","Region 1","13-17","Reunification","7","4","11","Age"
"2016-02-10T00:00:00.000","2000","Bridgeport","Region 1","3-5","Reunification","12","4","16","Age"
"2016-02-10T00:00:00.000","2000","Bridgeport","Region 1","6-12","Reunification","21","14","35","Age"
"2016-02-10T00:00:00.000","2000","Norwalk","Region 1","<3","Reunification","2","0","2","Age"
"2016-02-10T00:00:00.000","2000","Norwalk","Region 1","13-17","Reunification","1","0","1","Age"
"2016-02-10T00:00:00.000","2000","Norwalk","Region 1","3-5","Reunification","1","0","1","Age"
"2016-02-10T00:00:00.000","2000","Norwalk","Region 1","6-12","Reunification","6","1","7","Age"
"2016-02-10T00:00:00.000","2000","Stamford","Region 1","<3","Reunification","3","0","3","Age"
"2016-02-10T00:00:00.000","2000","Stamford","Region 1","13-17","Reunification","0","1","1","Age"
"2016-02-10T00:00:00.000","2000","Stamford","Region 1","3-5","Reunification","2","0","2","Age"
"2016-02-10T00:00:00.000","2000","Stamford","Region 1","6-12","Reunification","5","1","6","Age"
"2016-02-10T00:00:00.000","2000","Milford","Region 2","<3","Reunification","0","1","1","Age"
"2016-02-10T00:00:00.000","2000","Milford","Region 2","3-5","Reunification","0","2","2","Age"
"2016-02-10T00:00:00.000","2000","Milford","Region 2","6-12","Reunification","0","1","1","Age"
"2016-02-10T00:00:00.000","2000","New Haven","Region 2","<3","Reunification","18","8","26","Age"
"2016-02-10T00:00:00.000","2000","New Haven","Region 2","13-17","Reunification","13","6","19","Age"
"2016-02-10T00:00:00.000","2000","New Haven","Region 2","3-5","Reunification","8","10","18","Age"
"2016-02-10T00:00:00.000","2000","New Haven","Region 2","6-12","Reunification","20","16","36","Age"
"2016-02-10T00:00:00.000","2000","Middletown","Region 3","<3","Reunification","5","3","8","Age"
"2016-02-10T00:00:00.000","2000","Middletown","Region 3","13-17","Reunification","0","2","2","Age"
"2016-02-10T00:00:00.000","2000","Middletown","Region 3","3-5","Reunification","1","2","3","Age"
"2016-02-10T00:00:00.000","2000","Middletown","Region 3","6-12","Reunification","2","3","5","Age"
"2016-02-10T00:00:00.000","2000","Norwich","Region 3","<3","Reunification","11","5","16","Age"
"2016-02-10T00:00:00.000","2000","Norwich","Region 3","13-17","Reunification","1","4","5","Age"
"2016-02-10T00:00:00.000","2000","Norwich","Region 3","3-5","Reunification","8","6","14","Age"
"2016-02-10T00:00:00.000","2000","Norwich","Region 3","6-12","Reunification","8","9","17","Age"
"2016-02-10T00:00:00.000","2000","Willimantic","Region 3","<3","Reunification","7","3","10","Age"
"2016-02-10T00:00:00.000","2000","Willimantic","Region 3","13-17","Reunification","3","4","7","Age"
"2016-02-10T00:00:00.000","2000","Willimantic","Region 3","3-5","Reunification","3","1","4","Age"
"2016-02-10T00:00:00.000","2000","Willimantic","Region 3","6-12","Reunification","7","10","17","Age"
"2016-02-10T00:00:00.000","2000","Hartford","Region 4","<3","Reunification","12","29","41","Age"
"2016-02-10T00:00:00.000","2000","Hartford","Region 4","13-17","Reunification","5","6","11","Age"
"2016-02-10T00:00:00.000","2000","Hartford","Region 4","3-5","Reunification","3","14","17","Age"
"2016-02-10T00:00:00.000","2000","Hartford","Region 4","6-12","Reunification","13","19","32","Age"
"2016-02-10T00:00:00.000","2000","Manchester","Region 4","<3","Reunification","6","3","9","Age"
"2016-02-10T00:00:00.000","2000","Manchester","Region 4","13-17","Reunification","5","4","9","Age"
"2016-02-10T00:00:00.000","2000","Manchester","Region 4","3-5","Reunification","2","5","7","Age"
"2016-02-10T00:00:00.000","2000","Manchester","Region 4","6-12","Reunification","10","14","24","Age"
"2016-02-10T00:00:00.000","2000","Danbury","Region 5","<3","Reunification","6","1","7","Age"
"2016-02-10T00:00:00.000","2000","Danbury","Region 5","13-17","Reunification","4","1","5","Age"
"2016-02-10T00:00:00.000","2000","Danbury","Region 5","6-12","Reunification","6","3","9","Age"
"2016-02-10T00:00:00.000","2000","Torrington","Region 5","<3","Reunification","5","1","6","Age"
"2016-02-10T00:00:00.000","2000","Torrington","Region 5","13-17","Reunification","1","0","1","Age"
"2016-02-10T00:00:00.000","2000","Torrington","Region 5","3-5","Reunification","1","1","2","Age"
"2016-02-10T00:00:00.000","2000","Torrington","Region 5","6-12","Reunification","1","1","2","Age"
"2016-02-10T00:00:00.000","2000","Waterbury","Region 5","<3","Reunification","20","5","25","Age"
"2016-02-10T00:00:00.000","2000","Waterbury","Region 5","13-17","Reunification","3","2","5","Age"
"2016-02-10T00:00:00.000","2000","Waterbury","Region 5","3-5","Reunification","11","3","14","Age"
"2016-02-10T00:00:00.000","2000","Waterbury","Region 5","6-12","Reunification","22","7","29","Age"
"2016-02-10T00:00:00.000","2000","Meriden","Region 6","<3","Reunification","6","2","8","Age"
"2016-02-10T00:00:00.000","2000","Meriden","Region 6","13-17","Reunification","0","3","3","Age"
"2016-02-10T00:00:00.000","2000","Meriden","Region 6","3-5","Reunification","3","3","6","Age"
"2016-02-10T00:00:00.000","2000","Meriden","Region 6","6-12","Reunification","5","5","10","Age"
"2016-02-10T00:00:00.000","2000","New Britain","Region 6","<3","Reunification","9","6","15","Age"
"2016-02-10T00:00:00.000","2000","New Britain","Region 6","13-17","Reunification","1","1","2","Age"
"2016-02-10T00:00:00.000","2000","New Britain","Region 6","3-5","Reunification","2","12","14","Age"
"2016-02-10T00:00:00.000","2000","New Britain","Region 6","6-12","Reunification","8","19","27","Age"
"2016-02-10T00:00:00.000","2001","Other","Region 0","6-12","Reunification","9","15","24","Age"
"2016-02-10T00:00:00.000","2001","Other","Region 0","3-5","Reunification","9","4","13","Age"
"2016-02-10T00:00:00.000","2001","Other","Region 0","13-17","Reunification","13","12","25","Age"
"2016-02-10T00:00:00.000","2001","Other","Region 0","<3","Reunification","9","5","14","Age"
"2016-02-10T00:00:00.000","2001","Bridgeport","Region 1","6-12","Reunification","30","10","40","Age"
"2016-02-10T00:00:00.000","2001","Bridgeport","Region 1","3-5","Reunification","15","3","18","Age"
"2016-02-10T00:00:00.000","2001","Bridgeport","Region 1","13-17","Reunification","18","5","23","Age"
"2016-02-10T00:00:00.000","2001","Bridgeport","Region 1","<3","Reunification","22","7","29","Age"
"2016-02-10T00:00:00.000","2001","Norwalk","Region 1","6-12","Reunification","8","4","12","Age"
