"the_geom","miles","stateab","cntyfips","stcntyfips","rrowner1","rrowner2","rrowner3","trkrghts1","trkrghts2","trkrghts3","trkrghts4","trkrghts5","trkrghts6","trkrghts7","trkrghts8","trkrghts9","stracnet","subdiv","net","passngr","shape_leng","shape_stlength","frfranode","tofranode","fraregion","fraarcid","country","objectid","stfips","yardname","tracks"
"MULTILINESTRING ((-74.587432718245 40.560995819102, -74.587873513752 40.561068824267))","0.02355139","NJ","035","34035","NJT",,,"NS",,,,,,,,,,"RARITAN VALLEY LINE","M","C","37.90236993","0.00044680021540009334","486280","486279","1","386100","US","1799","34","SOMERVILLE","2"
"MULTILINESTRING ((-117.281702091678 33.207285687884, -117.281440435728 33.207415226232, -117.28073395171 33.207764977072, -117.280260550384 33.207999335001, -117.279531999702 33.208359999115, -117.279410593024 33.208413205705, -117.27885199982 33.208657999367, -117.278441446715 33.208793107216, -117.278381000583 33.208812999321, -117.27835239135 33.208819971764, -117.278050846869 33.208893457167, -117.277905000216 33.208928999274, -117.277650956127 33.208965413723, -117.277351547536 33.209008329371, -117.277307844981 33.209014593149, -117.277106663042 33.209043428112, -117.276771814867 33.209091422231, -117.276651749978 33.209108629859, -117.276274600392 33.20916268451, -117.276091000199 33.209188999573, -117.275799450784 33.209258157438, -117.275290000133 33.209378998442, -117.275285739145 33.209380626215, -117.274538532028 33.209665796739, -117.274537999629 33.209665999087, -117.273657416756 33.210100618948, -117.273218999957 33.21031699943, -117.273197212981 33.210324603198, -117.272962426974 33.210406545825, -117.272856753037 33.210443427023, -117.272815000212 33.210457998738, -117.272323594458 33.210593596717, -117.271879999362 33.210715998944, -117.271855298583 33.210725467906, -117.271606692695 33.210820768164, -117.271520000747 33.210853999013, -117.271250995537 33.211002482479, -117.271241000472 33.21100799892, -117.271028000542 33.211161998827, -117.271022691844 33.211167001756, -117.271006576892 33.211182189506, -117.270874980896 33.211306216809, -117.270802000012 33.211374999657, -117.270691393293 33.211512100403, -117.270634999506 33.21158199931, -117.270595499483 33.211656013514, -117.270459882617 33.211910124153, -117.270437000267 33.211952999332, -117.270380198188 33.212131257552, -117.27020431148 33.212683221853, -117.270162000176 33.212815998659, -117.27013750804 33.212875125487, -117.270058663576 33.2130654634, -117.270034000569 33.21312499852, -117.269957180479 33.213242551603, -117.269914228859 33.213308276756, -117.269844407294 33.213415121611, -117.269818999647 33.213453999303, -117.269811534375 33.213461915135, -117.269469999741 33.213823998379, -117.268663921203 33.214589810671, -117.268502125073 33.214743522795, -117.268397443088 33.214842973425, -117.268168999999 33.21505999872, -117.267624000048 33.215517999156, -117.267538553661 33.215578530725, -117.267354755617 33.215708734571, -117.267286838817 33.2157568483, -117.266958544002 33.21598941388, -117.265575024268 33.216969481556, -117.265150537068 33.217270175278, -117.263684000017 33.218308999261, -117.263499814365 33.218403512612, -117.263276473131 33.218518115918, -117.263238323889 33.218537692361, -117.263139897588 33.218588197387, -117.263112999765 33.218601999283, -117.263106885275 33.218604092005, -117.262962080935 33.218653652744, -117.262684504286 33.218748654427, -117.262593546855 33.218779786258, -117.262589999929 33.218780998544, -117.262301596342 33.218845076139, -117.258943999966 33.219591000824, -117.258406000337 33.219684000616, -117.258252718988 33.219695530824, -117.2581205816 33.219705470131, -117.257954000177 33.219718001285, -117.257647559787 33.219709448732, -117.257620051324 33.219708680711, -117.257601044153 33.21970815101, -117.257524000132 33.219706000731, -117.25738808739 33.219687374872, -117.25721132834 33.219663150734, -117.257098306042 33.219647660811, -117.25705700018 33.219642000478, -117.257013059305 33.219630612363, -117.256931087 33.219609366779, -117.256921391409 33.219606854073, -117.256814024947 33.21957902725, -117.256647944447 33.2195359821, -117.256593999513 33.219522001239, -117.256519596802 33.219493200451, -117.256422419659 33.219455582709, -117.256262304362 33.219393601434, -117.256190999815 33.21936600124, -117.256168686735 33.219354184148, -117.256047491399 33.21929000493, -117.255784999978 33.219151001218, -117.255694088411 33.219086063871, -117.255443250406 33.218906892839, -117.255392999887 33.218870999097, -117.25514451091 33.218639017177, -117.255106999289 33.218603999375, -117.254874680122 33.21832147016, -117.254834000189 33.218271999353, -117.25471333815 33.218070144721, -117.254620000213 33.217913999032, -117.254573412633 33.217800324725, -117.254469999591 33.217547999241, -117.254466103728 33.217533258453, -117.254373000514 33.217180999404, -117.254366447154 33.217145275634, -117.254271000306 33.216624998945, -117.254002959169 33.215039240569))","2.13493388","CA","073","06073","SDNR","BNSF",,"PSRR",,,,,,,,,,"ESCONDIDO","M","C","3435.84990687","0.034788543679241259","325578","325678","7","324289","US","141","06",,"1"
"MULTILINESTRING ((-106.735605740612 34.80699659042, -106.735619578481 34.806932848272, -106.735688973767 34.806613196842, -106.73569531129 34.806584005747, -106.736210661493 34.804210152577, -106.736265342971 34.80395828035))","0.21443799","NM","061","35061","BNSF",,,"NMRX",,,,,,,,,,"EL PASO","M","C","345.10518355","0.003109084005433015","338454","338452","5","446611","US","2809","35",,"1"
"MULTILINESTRING ((-117.664120332287 33.49409873297, -117.664143117511 33.493392459395, -117.664170300419 33.492549779349, -117.664194529954 33.491798704247, -117.66420437753 33.491649354734, -117.664217751348 33.491446519841, -117.664239938522 33.491110009719, -117.664251636903 33.490932580674, -117.664274924848 33.490812889903, -117.664279992528 33.490786839241, -117.66432368519 33.490562274929, -117.664342999929 33.490462999668, -117.664382536825 33.490332840788, -117.664451900635 33.490104493927, -117.664455999745 33.490091000499, -117.664508404139 33.489945767183, -117.664538418113 33.48986258529, -117.664622832977 33.489628637452, -117.664748867566 33.489320969487))","0.33550964","CA","059","06059","SCAX",,,"AMTK","BNSF",,,,,,,,"S","ORANGE","M","B","539.95150701","0.0048604222896951902","324276","324273","7","337482","US","533","06",,"1"
"MULTILINESTRING ((-117.283331403322 33.021390877387, -117.283188599075 33.021168037075, -117.282771999828 33.020517999906, -117.282559644712 33.02017162512, -117.2820780002 33.019385999864, -117.282000806892 33.019249170713, -117.281607810352 33.018552554057, -117.280469424225 33.016534611183, -117.280230500437 33.016111073667, -117.279957441982 33.01562702077, -117.27966602117 33.015110409718, -117.279035943554 33.013993426555, -117.278968641889 33.013875139626, -117.278809699308 33.013595785917, -117.278721853531 33.013441391207, -117.278629671222 33.013250113502, -117.278624215935 33.013238793735, -117.27834114173 33.012651409635, -117.27831511625 33.012593113781, -117.278103195506 33.012118410236, -117.277972256914 33.01178111051, -117.277873999685 33.011528000817, -117.277766936295 33.011207843068, -117.277600468187 33.010710034141, -117.277561999686 33.010595000059, -117.277105000196 33.009027000596, -117.276818393454 33.008021389476, -117.276292573344 33.006176397923, -117.275507423829 33.003421322136, -117.275199032809 33.002339131046, -117.275116043371 33.00200717599))","1.43285728","CA","073","06073","SDNR","BNSF",,"AMTK","PSRR","SCAX",,,,,,,"S","SAN DIEGO (SDNR)","M","B","2305.96488624","0.021198451985062282","325568","325605","7","343003","US","713","06",,"1"
"MULTILINESTRING ((-118.232700678993 34.060197960767, -118.232743729539 34.060119152277, -118.23279235858 34.060030128388, -118.232830724558 34.059959895833, -118.23303308371 34.059589452491, -118.233265535976 34.059166022894))","0.07855098","CA","037","06037","SCAX",,,"AMTK","BNSF","UP",,,,,,,,"RIVER","M","B","126.41580536","0.0011764185671379944","321449","321433","7","329231","US","286","06",,"4"
"MULTILINESTRING ((-117.973120106408 34.019429787655, -117.972350442319 34.019115054616))","0.04898751","CA","037","06037","UP",,,"SCAX",,,,,,,,,,"LOS ANGELES","M","C","78.8379072","0.00083152852930545688","323485","323487","7","340613","US","625","06",,"2"
"MULTILINESTRING ((-73.892907679846 41.205634973475, -73.892746999774 41.205507999994, -73.892304102552 41.205101901232, -73.892072999269 41.204890000273, -73.891614828861 41.204407438453, -73.891547000194 41.204335999907, -73.890856661706 41.203501404766, -73.889829000108 41.202258999453, -73.888399450374 41.200488046386))","0.42790396","NY","119","36119","MNCW",,,"AMTK","CSXT","CPRS",,,,,,,,"HUDSON LINE","M","B","688.64605205","0.0068545522853343376","490585","490607","1","385131","US","1783","36",,"2"
"MULTILINESTRING ((-119.206009136812 34.250237962412, -119.199650295025 34.251213788885))","0.36744157","CA","111","06111","SCAX",,,"UP","FWRY",,,,,,,,,"MONTALVO","M","C","591.3410611","0.0064332811363603561","318622","318646","7","331657","US","365","06",,"1"
"MULTILINESTRING ((-88.045031263882 42.352800655226, -88.044192999507 42.351816000108, -88.043671939508 42.351159413176, -88.040674786912 42.347382704848, -88.040528999614 42.347199000334, -88.039095000034 42.345308000364, -88.038295176281 42.344298197504, -88.032193000107 42.336593999613, -88.032181583213 42.336580123974, -88.030345000321 42.33434800036, -88.030287539938 42.334275366615, -88.029011325512 42.332662129454, -88.028655604073 42.332212468431))","1.65538929","IL","097","17097","CN",,,"NIRC",,,,,,,,,,"WAUKESHA","M","C","2664.09615569","0.026308358694067027","410793","410964","4","507504","US","3290","17",,"2"
