"opportunity_zone_fips","state","county","commuter_rail_station_in_oz","commuter_rail_station_in_oz_type","commuter_rail_station_in_oz_name","commuter_rail_station_qtr_mi_oz","commuter_rail_station_qtr_mi_oz_type","commuter_rail_station_qtr_mi_oz_name","commuter_rail_station_hlf_mi_oz","commuter_rail_station_hlf_mi_oz_type","commuter_rail_station_hlf_mi_oz_name"
"6001451404","California","Alameda","No",,,"Yes","Commuter Rail Only","Livermore","No",,
"6037102105","California","Los Angeles","No",,,"Yes","Commuter Rail Only","Burbank Airport - North","No",,
"6037120020","California","Los Angeles","No",,,"Yes","Amtrak and Commuter Rail","Van Nuys","No",,
"6037120030","California","Los Angeles","No",,,"Yes","Amtrak and Commuter Rail","Van Nuys","No",,
"6037122122","California","Los Angeles","Yes","Commuter Rail Only","Sun Valley","No",,,"No",,
"6037122200","California","Los Angeles","No",,,"Yes","Commuter Rail Only","Burbank Airport - North","No",,
"6037127210","California","Los Angeles","No",,,"Yes","Amtrak and Commuter Rail","Van Nuys","No",,
"6037186401","California","Los Angeles","No",,,"No",,,"Yes","Amtrak and Commuter Rail","Glendale"
"6037201700","California","Los Angeles","No",,,"Yes","Commuter Rail Only","Cal State LA","No",,
"6037206020","California","Los Angeles","Yes","Amtrak and Commuter Rail","L.A. Union Station","No",,,"No",,
"6037408800","California","Los Angeles","Yes","Amtrak and Commuter Rail","Pomona - Downtown","No",,,"No",,
"6037532304","California","Los Angeles","Yes","Commuter Rail Only","Commerce","No",,,"No",,
"6037550000","California","Los Angeles","No",,,"Yes","Commuter Rail Only","Norwalk/Santa Fe Srpings","No",,
"6037900806","California","Los Angeles","Yes","Commuter Rail Only","Lancaster","No",,,"No",,
"6037910402","California","Los Angeles","No",,,"Yes","Commuter Rail Only","Palmdale","No",,
"6037910501","California","Los Angeles","No",,,"Yes","Commuter Rail Only","Palmdale","No",,
"6059001801","California","Orange","No",,,"Yes","Commuter Rail Only","Buena Park","No",,
"6059011601","California","Orange","No",,,"Yes","Amtrak and Commuter Rail","Fullerton","No",,
"6059011602","California","Orange","No",,,"Yes","Amtrak and Commuter Rail","Fullerton","No",,
"6059042107","California","Orange","No",,,"No",,,"Yes","Amtrak and Commuter Rail","San Clemente Pier"
"6059042107","California","Orange","No",,,"Yes","Commuter Rail Only","San Clemente","No",,
"6059042312","California","Orange","Yes","Amtrak and Commuter Rail","San Juan Capistrano","No",,,"No",,
"6059074406","California","Orange","Yes","Amtrak and Commuter Rail","Santa Ana","No",,,"No",,
"6065030400","California","Riverside","Yes","Amtrak and Commuter Rail","Riverside - Downtown","No",,,"No",,
"6065042210","California","Riverside","Yes","Commuter Rail Only","Riverside - Hunter Park/UCR","No",,,"No",,
"6065042505","California","Riverside","No",,,"Yes","Commuter Rail Only","Moreno Valley/March Field","No",,
"6065042800","California","Riverside","Yes","Commuter Rail Only","Perris - Downtown","No",,,"No",,
"6071003000","California","San Bernardino","Yes","Commuter Rail Only","Fontana","No",,,"No",,
"6071003700","California","San Bernardino","Yes","Commuter Rail Only","Rialto","No",,,"No",,
"6071004900","California","San Bernardino","Yes","Amtrak and Commuter Rail","San Bernardino Depot","No",,,"No",,
"6071005701","California","San Bernardino","Yes","Commuter Rail Only","San Bernardino - Downtown","No",,,"No",,
"6077000500","California","San Joaquin","Yes","Amtrak and Commuter Rail","Stockton","No",,,"No",,
"6081600200","California","San Mateo","No",,,"No",,,"Yes","Commuter Rail Only","Bayshore"
"6081610201","California","San Mateo","No",,,"No",,,"Yes","Commuter Rail Only","Redwood City"
"6085500800","California","Santa Clara","No",,,"Yes","Amtrak and Commuter Rail","San Jose Diridon","No",,
"6085505100","California","Santa Clara","No",,,"Yes","Amtrak and Commuter Rail","Santa Clara","No",,
"6085505100","California","Santa Clara","No",,,"No",,,"Yes","Commuter Rail Only","College Park"
"6085512603","California","Santa Clara","Yes","Commuter Rail Only","Gilroy","No",,,"No",,
"6097152000","California","Sonoma","No",,,"Yes","Commuter Rail Only","Santa Rosa Downtown","No",,
"6097153104","California","Sonoma","No",,,"Yes","Commuter Rail Only","Santa Rosa Downtown","No",,
"6111009100","California","Ventura","Yes","Amtrak and Commuter Rail","Oxnard","No",,,"No",,
"8001009606","Colorado","Adams","No",,,"Yes","Commuter Rail Only","Clear Creek - Federal","No",,
"8001009606","Colorado","Adams","Yes","Commuter Rail Only","Westminster Station","No",,,"No",,
"8031003500","Colorado","Denver","No",,,"Yes","Commuter Rail Only","38th - Blake","No",,
"8031003500","Colorado","Denver","Yes","Commuter Rail Only","40th - Colorado","No",,,"No",,
"8031008312","Colorado","Denver","No",,,"No",,,"Yes","Commuter Rail Only","Peoria"
"8059010402","Colorado","Jefferson","No",,,"Yes","Commuter Rail Only","Arvada Ridge","No",,
"8059010402","Colorado","Jefferson","No",,,"No",,,"Yes","Commuter Rail Only","Olde Town Arvada"
"8059010402","Colorado","Jefferson","No",,,"Yes","Commuter Rail Only","Wheat Ridge - Ward","No",,
"9001021802","Connecticut","Fairfield","No",,,"Yes","Commuter Rail Only","Glenbrook","No",,
"9001022200","Connecticut","Fairfield","Yes","Amtrak and Commuter Rail","Stamford","No",,,"No",,
"9001022300","Connecticut","Fairfield","No",,,"No",,,"Yes","Commuter Rail Only","Old Greenwich"
"9001044100","Connecticut","Fairfield","Yes","Commuter Rail Only","South Norwalk","No",,,"No",,
"9001070600","Connecticut","Fairfield","Yes","Amtrak and Commuter Rail","Bridgeport","No",,,"No",,
"9001210100","Connecticut","Fairfield","Yes","Commuter Rail Only","Danbury","No",,,"No",,
