"detectorid","timestamp","status","sampleperiod","volume","occupancy","dq_minvol","dq_maxvol","dq_minocc","dq_maxocc","dq_visual"
"256","2011-10-31 01:14:24-07","GOOD","60","0","0","f","f","f","f","f"
"412","2011-11-10 15:24:44-08","GOOD","60","11","116","f","f","f","f","f"
"412","2011-10-24 19:58:48-07","GOOD","60","4","33","f","f","f","f","f"
"416","2011-09-17 09:10:07-07","GOOD","60","4","33","f","f","f","f","f"
"712","2011-10-19 15:09:20-07","GOOD","60","7","83","f","f","f","f","f"
"413","2011-10-16 03:26:35-07","GOOD","60","0","0","f","f","f","f","t"
"712","2011-11-12 23:33:32-08","GOOD","60","0","0","f","f","f","f","f"
"410","2011-09-17 14:04:34-07","GOOD","60","10","83","f","f","f","f","f"
"715","2011-11-03 01:38:59-07","GOOD","60","0","0","f","f","f","f","f"
"413","2011-10-25 23:04:40-07","GOOD","60","0","0","f","f","f","f","f"
"414","2011-10-06 09:52:24-07","GOOD","60","5","33","f","f","f","f","f"
"255","2011-10-04 01:21:47-07","GOOD","15","0","0","f","f","f","f","t"
"414","2011-11-15 08:47:28-08","GOOD","60","7","50","f","f","f","f","f"
"415","2011-09-26 04:21:47-07","GOOD","60","0","0","f","f","f","f","t"
"255","2011-11-15 17:16:26-08","GOOD","60","1","216","f","f","f","f","f"
"253","2011-10-18 03:24:47-07","GOOD","15","0","0","f","f","f","f","f"
"713","2011-10-02 11:33:49-07","GOOD","60","5","33","f","f","f","f","f"
"411","2011-09-29 02:49:16-07","GOOD","60","1","0","f","f","f","f","f"
"412","2011-10-09 11:00:50-07","GOOD","60","3","16","f","f","f","f","f"
"409","2011-09-29 21:13:54-07","GOOD","60","6","33","f","f","f","f","f"
"712","2011-09-30 15:41:42-07","GOOD","60","13","133","f","f","f","f","f"
"409","2011-10-29 03:21:13-07","GOOD","60","0","0","f","f","f","f","f"
"413","2011-10-18 01:49:46-07","GOOD","60","0","0","f","f","f","f","t"
"414","2011-09-26 03:21:38-07","GOOD","60","0","0","f","f","f","f","t"
"416","2011-09-15 16:21:19-07","GOOD","60","14","133","f","f","f","f","f"
"415","2011-10-25 22:32:40-07","GOOD","60","0","0","f","f","f","f","f"
"715","2011-09-17 08:35:30-07","GOOD","60","1","0","f","f","f","f","f"
"256","2011-10-11 20:28:29-07","GOOD","15","0","0","f","f","f","f","t"
"414","2011-11-07 23:21:37-08","GOOD","60","2","0","f","f","f","f","f"
"253","2011-10-06 21:55:16-07","GOOD","15","0","0","f","f","f","f","f"
"415","2011-09-22 07:46:56-07","GOOD","60","7","16","f","f","f","f","f"
"414","2011-11-14 08:01:14-08","GOOD","60","6","50","f","f","f","f","f"
"415","2011-10-21 06:25:31-07","GOOD","60","1","0","f","f","f","f","f"
"414","2011-11-08 00:07:37-08","GOOD","60","1","0","f","f","f","f","f"
"256","2011-10-10 08:29:46-07","GOOD","15","1","0","f","f","f","f","t"
"416","2011-09-19 06:27:16-07","GOOD","60","2","0","f","f","f","f","f"
"713","2011-11-08 06:25:00-08","GOOD","60","1","0","f","f","f","f","f"
"713","2011-11-10 06:34:13-08","GOOD","60","4","33","f","f","f","f","f"
"416","2011-10-16 14:30:32-07","GOOD","60","4","33","f","f","f","f","f"
"256","2011-09-25 13:46:02-07","GOOD","15","1","0","f","f","f","f","t"
"409","2011-10-01 04:12:09-07","GOOD","60","0","0","f","f","f","f","f"
"253","2011-10-13 03:41:32-07","GOOD","15","0","0","f","f","f","f","f"
"409","2011-10-02 03:39:06-07","GOOD","60","1","0","f","f","f","f","f"
"413","2011-11-08 09:49:38-08","GOOD","60","4","16","f","f","f","f","f"
"254","2011-09-19 12:22:53-07","GOOD","15","1","0","f","f","f","f","f"
"413","2011-09-23 22:36:05-07","GOOD","60","0","0","f","f","f","f","t"
