"full_name","property_type","address","city","state","total_passengers","geocoded_column"
"ALB - Albany-Rensselaer, NY","Station","525 East Street","RENSSELAER","NY","707235","POINT (-73.739963 42.641495)"
"BAL - Baltimore - Penn Station, MD","Station","1500 North Charles Street","BALTIMORE","MD","1025469","POINT (-76.616267 39.306652)"
"BFD - Bakersfield, CA","Station","601 Truxtun Avenue","BAKERSFIELD","CA","769092","POINT (-119.008295 35.373227)"
"BRP - Bridgeport, CT","Station","525 Water Street","BRIDGEPORT","CT","90173","POINT (-73.187306 41.178204)"
"CDL - Carbondale, IL","Station","401 South Illinois Street","CARBONDALE","IL","92647","POINT (-89.216576 37.723947)"
"CLT - Charlotte, NC","Station","1914 North Tryon Street","CHARLOTTE","NC","168928","POINT (-80.823827 35.241824)"
"HAR - Harrisburg, PA","Station","4th St &, Chestnut St","HARRISBURG","PA","512531","POINT (-76.878217 40.261138)"
"EUG - Eugene, OR","Station","433 Willamette Street","EUGENE","OR","118790","POINT (-123.092714 44.055019)"
"FNO - Fresno, CA","Station","2650 Tulare Street","FRESNO","CA","381037","POINT (-119.783226 36.738756)"
"GRO - Greensboro, NC","Station","236 East Washington Street","GREENSBORO","NC","116461","POINT (-79.787749 36.070085)"
"HUD - Hudson, NY","Station","69 South Front Street","HUDSON","NY","192519","POINT (-73.797357 42.254727)"
"KAL - Kalamazoo, MI","Station","459 North Burdick Street","KALAMAZOO","MI","131413","POINT (-85.583343 42.295086)"
"LAX - Los Angeles - Union Station, CA","Station","800 North Alameda Street","LOS ANGELES","CA","1641489","POINT (-118.237485 34.056054)"
"MCD - Merced, CA","Station","324 West 24th Street","MERCED","CA","132395","POINT (-120.472494 37.305258)"
"MSP - St. Paul - Union Depot, MN","Station","240 Kellogg Boulevard East","ST. PAUL","MN","85193","POINT (-93.085011 44.947917)"
"NCR - New Carrollton, MD","Station","4300 Garden City Drive","New Carrollton","MD","173736","POINT (-76.869554 38.947722)"
"NHV - New Haven, CT","Station","50 Union Avenue","NEW HAVEN","CT","688556","POINT (-72.92708 41.297669)"
"NLC - New London, CT","Station","27 Water Street","NEW LONDON","CT","160541","POINT (-72.09329 41.354446)"
"NOL - New Orleans, LA","Station","1001 Loyola Avenue","NEW ORLEANS","LA","174220","POINT (-90.078309 29.945321)"
"NWK - Newark Penn Station, NJ","Station","1 Raymond Plaza West","NEWARK","NJ","697287","POINT (-74.164007 40.735368)"
"OKJ - Oakland - Jack London Square, CA","Station","245 2nd Street","OAKLAND","CA","404164","POINT (-122.272669 37.794611)"
"ORL - Orlando, FL","Station","1400 Sligh Boulevard","ORLANDO","FL","141093","POINT (-81.381358 28.525944)"
"OXN - Oxnard, CA","Station","201 East 4th Street","OXNARD","CA","115896","POINT (-119.176131 34.198966)"
"PDX - Portland - Union Station, OR","Station","800 NW 6th Avenue","PORTLAND","OR","635363","POINT (-122.676684 45.528266)"
"PHL - Philadelphia - 30th Street Station, PA","Station","2955 Market Street","PHILADELPHIA","PA","4427030","POINT (-75.182174 39.954707)"
"POU - Poughkeepsie, NY","Station","41 Main Street","POUGHKEEPSIE","NY","88057","POINT (-73.938733 41.705552)"
"PVD - Providence, RI","Station","100 Gaspee Street","PROVIDENCE","RI","758710","POINT (-71.413796 41.829443)"
"RIC - Richmond, CA","Station","1700 Nevin Avenue","RICHMOND","CA","285180","POINT (-122.353181 37.93687)"
"ROC - Louise M. Slaughter Station - Rochester, NY","Station","320 Central Avenue","ROCHESTER","NY","121416","POINT (-77.608702 43.162721)"
"SAC - Sacramento, CA","Station","401 I Street","SACRAMENTO","CA","1228948","POINT (-121.501038 38.58354)"
"SEA - Seattle - King Street Station, WA","Station","303 South Jackson Street","SEATTLE","WA","739180","POINT (-122.330164 47.599207)"
"SKN - Stockton, CA","Station","735 South San Joaquin Street","STOCKTON","CA","433678","POINT (-121.285111 37.945526)"
"SNA - Santa Ana, CA","Station","1000 East Santa Ana Boulevard","SANTA ANA","CA","152039","POINT (-117.856965 33.75266)"
"SNC - San Juan Capistrano, CA","Station","26701 Verdugo Street","SAN JUAN CAPISTRANO","CA","211348","POINT (-117.66336 33.501291)"
"SPG - Springfield, MA","Station","66 Lyman Street","SPRINGFIELD","MA","99283","POINT (-72.593001 42.105809)"
"STL - St. Louis - Gateway Station, MO","Station","430 South 15th Street","ST. LOUIS","MO","361019","POINT (-90.20405 38.624557)"
"STM - Stamford, CT","Station","Washington Boulevard & South State Street","STAMFORD","CT","412738","POINT (-73.542916 41.046869)"
"TRE - Trenton, NJ","Station","72 South Clinton Avenue","TRENTON","NJ","430500","POINT (-74.75499 40.21884)"
"VAN - Vancouver, WA - USA","Station","1301 West 11th Street","VANCOUVER","WA","118920","POINT (-122.685883 45.629667)"
"WIL - Wilmington, DE","Station","100 South French Street","WILMINGTON","DE","695566","POINT (-75.551436 39.736873)"
