"the_geom","fraarcid","miles","stateab","cntyfips","stcntyfips","fraregion","rrowner1","rrowner2","rrowner3","trkrghts1","trkrghts2","trkrghts3","trkrghts4","trkrghts5","trkrghts6","trkrghts7","trkrghts8","trkrghts9","stracnet","subdiv","frfranode","tofranode","net","passngr","objectid","shape_stlength","country","stfips","tracks","carddirect","km","timezone","im_rt_type","ds"
"MULTILINESTRING ((-82.158576196 36.622412718, -82.158542286 36.622442876, -82.158033403 36.622800576, -82.158027286 36.622804876, -82.157884352 36.622880888, -82.157797711 36.622926965, -82.157462282 36.623105346, -82.157461286 36.623105876, -82.15729563 36.623173025, -82.156938286 36.623317875, -82.156777185 36.623355756, -82.156232407 36.62348385, -82.156215286 36.623487875, -82.155449287 36.623569875, -82.154876732 36.623564582, -82.154800286 36.623563876, -82.153946286 36.623491875, -82.152508287 36.623283875, -82.151645288 36.623192876, -82.151186983 36.623175012, -82.150901288 36.623163875, -82.149878289 36.623193875, -82.149747682 36.623210725, -82.148599288 36.623358875, -82.148238158 36.623444222, -82.14789625 36.623525026, -82.147689396 36.623573912, -82.147465289 36.623626875, -82.147218496 36.623711195, -82.146551997 36.623938909, -82.146464289 36.623968875, -82.145463289 36.624423875, -82.145036134 36.624667328, -82.144791289 36.624806875, -82.144207795 36.625192165, -82.144206419 36.625193073, -82.143988843 36.625336742, -82.143899289 36.625395875, -82.142286624 36.62650786, -82.141354264 36.627150753, -82.140415891 36.627797791, -82.139651971 36.628324539, -82.13817638 36.629342007, -82.137395382 36.629880531))","390858","1.34826838","VA","520","51520","2","NS",,,,,,,,,,,,"S","PULASKI DISTRICT WALTON TO FORD","446619","446696","M",,"11759","0.023342966630108625","US","51","1",,"2.16983197","E","DS","NS-DS"
"MULTILINESTRING ((-122.338336602 37.92500189, -122.338695125 37.92526542, -122.342420574 37.928003583, -122.346960157 37.931339666, -122.347061153 37.931413879, -122.347680612 37.931869072, -122.348314455 37.9323349, -122.348585496 37.9325341, -122.349631777 37.933303036, -122.350504763 37.933967613, -122.350963777 37.934317036, -122.351951776 37.935152037, -122.352526613 37.935670868, -122.352902035 37.936049329, -122.353021776 37.936170037, -122.354101776 37.937335037, -122.355336775 37.938850037, -122.355846776 37.939535037, -122.356460775 37.940415037, -122.357189775 37.941602037, -122.357813775 37.942763037, -122.358348775 37.943897037, -122.358850774 37.945129036, -122.359182774 37.946101036, -122.359509774 37.947227036, -122.359738774 37.948195036, -122.359957773 37.949387036, -122.360079369 37.950328048, -122.360080724 37.950338531, -122.360091773 37.950424036, -122.36010473 37.950592933, -122.360178773 37.951558036, -122.360193679 37.952502678, -122.360167773 37.953581036, -122.359981995 37.955814072, -122.359971865 37.95593583))","334908","2.57540385","CA","013","06013","7","UP",,,"AMTK","BNSF",,,,,,,,"S","MARTINEZ","307498","307185","M","A","4731","0.040203706604768373","US","06","2",,"4.14471902","P",,
"MULTILINESTRING ((-76.605899518 36.72270007, -76.60721551 36.722478113, -76.607664543 36.72240238, -76.607828962 36.722374649, -76.60812404 36.72233489, -76.608157086 36.722330436, -76.608893164 36.722231258, -76.609172905 36.722193565, -76.609201962 36.722189649, -76.609890391 36.722160965, -76.610245451 36.722146171, -76.610473961 36.722136649, -76.610526248 36.722139104, -76.611026894 36.722162615, -76.611355828 36.722178061, -76.611751042 36.72219662, -76.611772961 36.722197648, -76.612571705 36.722307946, -76.613002909 36.722367491, -76.61309096 36.722379649, -76.613450925 36.722455871, -76.613638631 36.722495617, -76.61373796 36.722516649, -76.614241727 36.722652738, -76.614481104 36.722717404, -76.61458196 36.722744649, -76.614956647 36.722867865, -76.615166455 36.72293686, -76.615250959 36.722964649, -76.61563623 36.723117439, -76.615737799 36.72315772, -76.615893959 36.723219649, -76.616315338 36.723410513, -76.616439738 36.72346686, -76.616520959 36.723503648, -76.616977636 36.723740474, -76.617010302 36.723757415, -76.617085959 36.723796648, -76.617221512 36.723875494, -76.617268742 36.723902965, -76.617530498 36.724055216, -76.617630959 36.724113648, -76.618294958 36.724542648, -76.621775268 36.726831533, -76.622419845 36.72725545, -76.622428527 36.72726116, -76.624662951 36.728730668, -76.624935201 36.728909719))","390181","1.2018738","VA","800","51800","2","NS",,,"AMTK",,,,,,,,,"S","NORFOLK DISTRICT CANAL DRIVE TO CREWE","478539","478478","M","A","11580","0.020871080506466744","US","51","2",,"1.93423226","E","DS","NS-DS"
"MULTILINESTRING ((-117.873142865 45.060874031, -117.873125547 45.060870948, -117.87295435 45.060840464, -117.872744417 45.060803084, -117.872670631 45.060782266, -117.872618275 45.060767494, -117.872549417 45.060748065, -117.872317815 45.060682718, -117.872223416 45.060656084, -117.871808417 45.060496084, -117.871720031 45.060451607, -117.871582286 45.060382292, -117.871406988 45.06029408, -117.871341417 45.060261084, -117.871085234 45.060100369, -117.869515473 45.05911559))","523718","0.21796308","OR","001","41001","8","UP",,,,,,,,,,,,"S","HUNTINGTON","323869","323879","M",,"26286","0.0040691367381280623","US","41","1",,"0.35077827","P","DS","UP-DS"
"MULTILINESTRING ((-84.837719559 30.688946028, -84.837337815 30.689223254, -84.836741814 30.689567254, -84.836231814 30.689772254, -84.835483815 30.689983254, -84.834577815 30.690159254, -84.834570597 30.690160239, -84.834181814 30.690213253, -84.83375082 30.690244891, -84.833459815 30.690266254, -84.833273333 30.690268763, -84.833013816 30.690272253, -84.832845811 30.690262437, -84.8323287 30.690232224, -84.832123816 30.690220253, -84.831961528 30.690198003, -84.831578391 30.690145472, -84.831204816 30.690094253, -84.831096377 30.69007157, -84.830616816 30.689971253, -84.830497773 30.689937377, -84.829864816 30.689757253, -84.829836918 30.689747871, -84.829103473 30.689501224, -84.826217058 30.688530564, -84.825099063 30.6881546, -84.806943823 30.682049255, -84.805631334 30.681598218, -84.805392823 30.681516255, -84.805076333 30.681388266, -84.804665824 30.681222255, -84.804207195 30.680991641, -84.803959823 30.680867254, -84.803390957 30.680510149, -84.803231824 30.680410255, -84.799605826 30.677828255, -84.799157127 30.677484364))","474547","2.51819895","FL","039","12039","3","FGA",,,,,,,,,,,,"S","TALLAHASSEE","430190","430343","M",,"21851","0.041454089311996373","US","12","1",,"4.05265648","E","DS","CSXT-3"
"MULTILINESTRING ((-76.709204464 40.064622972, -76.708414754 40.065699319, -76.707748505 40.06647542, -76.707219075 40.066987003, -76.706790772 40.067385563, -76.705952012 40.068099402, -76.705263753 40.068704578, -76.705003203 40.069000821, -76.704610592 40.06944697, -76.703886045 40.070307144, -76.702444092 40.071952541, -76.70205862 40.072412967, -76.701558934 40.073066129, -76.70135549 40.073419479, -76.701180599 40.073715722, -76.700918858 40.074399181, -76.700519109 40.075560358, -76.700290681 40.076183777, -76.69963395 40.078096863, -76.699196129 40.079329424, -76.698939147 40.080038504, -76.698748791 40.080443012, -76.698482291 40.080857037, -76.697687551 40.082065803, -76.697097445 40.082827231, -76.696690109 40.083439474, -76.696353863 40.084164488, -76.696109968 40.084824787, -76.695955304 40.085431551, -76.695919611 40.085895545, -76.695907714 40.086389283, -76.695949355 40.08679974, -76.696068889 40.087272668, -76.696223554 40.08770692, -76.696378218 40.088040044, -76.696622114 40.088444552, -76.696819784 40.088723036, -76.698484041 40.090782372, -76.698533378 40.090865092, -76.698628113 40.091046716))","396890","2.05341433","PA","133","42133","2","NS",,,,,,,,,,,,"C","YORK SECONDARY","478103","478181","M",,"13067","0.031546317788538697","US","42","1",,"3.30465663","E",,
"MULTILINESTRING ((-121.69316661 39.359571258, -121.693087538 39.359343263, -121.692868987 39.35871309, -121.692769795 39.358469869, -121.692617906 39.358097436))","343813","0.10670797","CA","007","06007","7","UP",,,,,,,,,,,,"S",,"312210","312211","O",,"6206","0.0015731971816004379","US","06","0",,"0.17173017","P",,
"MULTILINESTRING ((-84.027896908 32.298805399, -84.027728974 32.298907867, -84.027332459 32.299191824, -84.026477235 32.299804279, -84.025949974 32.300181867, -84.025859137 32.30023518, -84.025506974 32.300441867, -84.025324416 32.300529895, -84.025141975 32.300617867, -84.024915408 32.300707008, -84.024653975 32.300809867, -84.024195511 32.300952374, -84.024090975 32.300984867, -84.022226976 32.301484867, -84.021901906 32.301555008, -84.021313976 32.301681866, -84.021083175 32.301713294, -84.020843975 32.301745867, -84.020354805 32.301771698, -84.020237976 32.301777866, -84.01956714 32.301743226, -84.019443976 32.301736867, -84.018814577 32.301645759, -84.018690976 32.301627866, -84.018234977 32.301520867, -84.018007809 32.301444755, -84.017649976 32.301324867, -84.017293474 32.301168828, -84.016991977 32.301036866, -84.016600029 32.300816655, -84.016425978 32.300718867, -84.016017977 32.300435867, -84.015857139 32.300302466, -84.015677977 32.300153867, -84.015411978 32.299897867, -84.015365899 32.299846126, -84.015053978 32.299495867, -84.014835137 32.299220678, -84.014141125 32.298347965, -84.013484978 32.297522867, -84.013104978 32.297087867, -84.012968931 32.296919564, -84.011794647 32.295466862, -84.010921605 32.294386825))","455194","1.28498426","GA","193","13193","3","CSXT",,,,,,,,,,,,"S","FITZGERALD","435575","435646","M",,"19675","0.020788848951540668","US","13","1",,"2.06798584","E","DS","CSXT-3"
"MULTILINESTRING ((-90.04486548 29.995797952, -90.044815961 29.995184356, -90.044527377 29.991608486))","450822","0.28958675","LA","071","22071","5","NS",,,"AMTK",,,,,,,,,"S","NO&NE DISTRICT","397767","397771","M","A","18924","0.0042030868422385254","US","22","2",,"0.46604563","C",,
"MULTILINESTRING ((-115.879168491 34.587100397, -115.878191524 34.586728789, -115.867185618 34.58407227, -115.866291687 34.583971483))","326288","0.76117845","CA","071","06071","7","BNSF",,,,,,,,,,,,"S",,"328019","328029","S",,"3459","0.013266821688262664","US","06","0",,"1.22500042","P","INT",
