"year","month","gasoline","special_fuel"
"1997","January","9735735674","2222644375"
"1997","February","9252013941","2104361415"
"1997","March","10216943104","2438136634"
"1997","April","10538293066","2410960966"
"1997","May","10932367864","2441641630"
"1997","June","10876059933","2656718991"
"1997","July","11108252270","2413910838"
"1997","August","10895726684","2353745174"
"1997","September","10397947161","2739242338"
"1997","October","10499753824","2481219958"
"1997","November","10119924308","2523176789"
"1997","December","10826121182","2509803970"
"1998","January","9870075611","2360527534"
"1998","February","9666049006","2118088251"
"1998","March","10540160416","2523465934"
"1998","April","10628536907","2573461399"
"1998","May","11181021835","2362353721"
"1998","June","11085704685","2797869668"
"1998","July","11533580125","2556791049"
"1998","August","11140663059","2386559189"
"1998","September","10961774930","2772554058"
"1998","October","10809360630","2719536017"
"1998","November","10553495318","2461364864"
"1998","December","11165632348","2717151871"
"1999","January","9741339341","2255563675"
"1999","February","9975567491","2368142721"
"1999","March","10832384907","2713184422"
"1999","April","10939808333","2682455787"
"1999","May","11492916104","2532340031"
"1999","June","11515104462","2902994672"
"1999","July","11641262041","2660641319"
"1999","August","11875135867","2715203783"
"1999","September","11026501856","2903431699"
"1999","October","11028624737","2862829740"
"1999","November","11116046047","2746356290"
"1999","December","11539823971","2726624136"
"2000","January","9953291647","2501265447"
"2000","February","10324448097","2614098078"
"2000","March","10644252227","2790362794"
"2000","April","11108871328","2806823130"
"2000","May","11646812614","2837636262"
"2000","June","11311124564","2964377911"
"2000","July","11539587970","2731887905"
"2000","August","11673951532","2803015297"
"2000","September","10981972045","2852427535"
"2000","October","11252392783","2937766229"
"2000","November","10863881919","2726058208"
"2000","December","11323091151","2855269969"
"2001","January","10422163085","2604494616"
"2001","February","10207383938","2275604239"
"2001","March","10916822020","2705093954"
"2001","April","11134202595","2742088740"
"2001","May","11536242265","2919507390"
"2001","June","11705648601","2899556994"
"2001","July","11691144739","2849644490"
"2001","August","11894233458","2934994647"
"2001","September","10978446452","2826654387"
"2001","October","11281514556","3060047970"
"2001","November","11092993095","2749130354"
"2001","December","11360131413","2799664466"
"2002","January","10795145702","2842128978"
"2002","February","10256038833","2609185637"
"2002","March","11327271687","2761283345"
"2002","April","11542068316","3059341870"
"2002","May","12229646015","2936891980"
"2002","June","11712517187","2951285244"
"2002","July","12145512429","3028739675"
"2002","August","12227925259","3035610465"
"2002","September","11535678612","2898578141"
"2002","October","11679347037","3157195544"
"2002","November","11416856521","2871508109"
"2002","December","11501066114","2883004056"
"2003","January","11131244575","2836922071"
"2003","February","10205236294","2632422048"
"2003","March","11268886455","2844887554"
"2003","April","11400556442","2993099008"
"2003","May","12036107782","2935466235"
"2003","June","11922365025","3021890921"
"2003","July","12295387687","3035189727"
"2003","August","12341967173","2960122393"
"2003","September","11611829782","3143302753"
"2003","October","11598993296","3139285496"
"2003","November","11649195485","2901211650"
"2003","December","11865558931","3129327583"
"2004","January","11261854549","2852415731"
"2004","February","11005181446","2778199780"
"2004","March","11692544706","3206607942"
"2004","April","11895971923","3169415733"
"2004","May","12198531381","2983671374"
"2004","June","11860555065","3291748517"
"2004","July","12200893855","3165851469"
"2004","August","12220365337","3132190843"
"2004","September","11948365139","3404949686"
"2004","October","11711664271","3160054893"
"2004","November","11493535101","3002690688"
"2004","December","12180487424","3389289281"
"2005","January","11002662561","2967738505"
"2005","February","10802852155","2875587770"
"2005","March","11786391895","3354568598"
"2005","April","11601276566","3137466686"
"2005","May","12185153564","3220854399"
"2005","June","12111930758","3420164361"
"2005","July","12363358789","3216517322"
"2005","August","12549877840","3415587810"
"2005","September","11449853851","3434181934"
"2005","October","11566729839","3383534877"
"2005","November","11324052911","3220912465"
"2005","December","11938545980","3453800422"
"2006","January","11054209275","3096189241"
"2006","February","10782700543","2975426535"
"2006","March","11741001278","3526977746"
"2006","April","11604495017","3204359841"
"2006","May","11980726590","3373184426"
"2006","June","11738520396","3478445159"
"2006","July","12109137983","3231965519"
"2006","August","12202098816","3489495069"
"2006","September","11798222453","3631377347"
"2006","October","11883520479","3503927451"
"2006","November","11493950734","3237739649"
"2006","December","12053780163","3376102265"
"2007","January","11324839605","3207973998"
"2007","February","10698955239","3050313080"
"2007","March","11673962008","3507910181"
"2007","April","11716975385","3302405670"
"2007","May","12070521128","3512335046"
"2007","June","11913007829","3604597432"
"2007","July","12163227339","3328200855"
"2007","August","12278324974","3541790544"
"2007","September","11675284288","3480814587"
"2007","October","12002834141","3639341121"
"2007","November","11328567200","3249618278"
"2007","December","11743543051","3359807874"
"2008","January","11131969357","3242299903"
"2008","February","10798541250","3139747252"
"2008","March","11411671624","3348767646"
"2008","April","11396998544","3297386346"
"2008","May","11686555782","3248187395"
"2008","June","11574249826","3344670563"
"2008","July","11773668191","3176664849"
"2008","August","11638889161","3163437727"
"2008","September","10979055223","3421402703"
"2008","October","11312094398","3206116681"
"2008","November","11438842469","2924809395"
