Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
140000748,01/08/2014 12:00:00 AM,12:35,,,,,101,09A,HOMICIDE/Non Neglige,,,,,,,U,1,VIC,W,M,58,,,,,
140022715,04/06/2014 12:00:00 AM,0:29,04/06/2014 12:00:00 AM,0:29,,,101,09A,HOMICIDE/Non Neglige,213,8400  E 55 ST,KANSAS CITY,,PJ4522,MPD,U,1,VIC,B,M,38,"8400 E 55 ST
(39.024128365, -94.488239418)",19,3,7,155
140078843,10/31/2014 12:00:00 AM,12:03,10/31/2014 12:00:00 AM,4:30,,,101,09A,HOMICIDE/Non Neglige,241,6900  BELLEFONTAINE AV,KANSAS CITY,,PJ5322,MPD,U,1,VIC,B,M,22,"6900 BELLEFONTAINE AV
(39.001271703, -94.550925853)",72,2,7,151
140030150,05/04/2014 12:00:00 AM,22:21,05/04/2014 12:00:00 AM,22:20,,,101,09A,HOMICIDE/Non Neglige,315,100  N WHITE AV,KANSAS CITY,64123,PJ0308,EPD,U,1,SUS,U,M,,"100 N WHITE AV
KANSAS CITY 64123
(39.112053229, -94.511756337)",192,4,7,76
140032125,05/12/2014 12:00:00 AM,0:16,05/12/2014 12:00:00 AM,0:16,,,101,09A,HOMICIDE/Non Neglige,141,HOLMES ST/E LINWOOD BL,KANSAS CITY,,PJ2531,CPD,U,1,SUS,B,M,,"HOLMES ST/E LINWOOD KANSAS CITY, BL
(39.102950303, -94.583075872)",5,4,7,75
140086259,12/01/2014 12:00:00 AM,12:24,12/01/2014 12:00:00 AM,12:20,,,101,09A,HOMICIDE/Non Neglige,332,E 33 ST/COLLEGE AV,KANSAS CITY,64130,PJ2663,EPD,U,1,SUS,U,U,,"33 ST COLLEGE AV
KANSAS CITY 64130
(39.033319722, -94.544188138)",175,2,7,157
140041343,06/14/2014 12:00:00 AM,22:32,06/14/2014 12:00:00 AM,22:30,,,101,09A,HOMICIDE/Non Neglige,112,600  GRAND AV,KANSAS CITY,64106,PJ0668,CPD,U,2,VIC,B,M,22,"600 GRAND AV
KANSAS CITY 64106
(39.10572144, -94.580483034)",5,4,7,75
140030135,05/04/2014 12:00:00 AM,20:38,05/04/2014 12:00:00 AM,20:38,,,101,09A,HOMICIDE/Non Neglige,143,4100  VIRGINIA AV,KANSAS CITY,64110,PJ3322,CPD,U,1,VIC,B,F,,"4100 VIRGINIA AV
KANSAS CITY 64110
(39.052284824, -94.56883884)",204,3,7,165
120061274,09/18/2014 12:00:00 AM,14:08,08/28/2012 12:00:00 AM,,05/27/2014 12:00:00 AM,,101,09A,HOMICIDE/Non Neglige,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,B,M,30,"1100 LOCUST ST
KANSAS CITY 64106
(39.100855311, -94.577375383)",5,4,7,75
140056357,08/10/2014 12:00:00 AM,2:11,,2:11,,,101,09A,HOMICIDE/Non Neglige,114,BROADWAY/SOUTHWEST BL,KANSAS CITY,64108,PJ1695,CPD,U,2,VIC,B,M,19,"BROADWAY/SOUTHWEST KANSAS CITY, BL 64108
(39.085068738, -94.581576911)",97,4,7,92
140045516,06/30/2014 12:00:00 AM,21:38,06/30/2014 12:00:00 AM,21:38,,,101,09A,HOMICIDE/Non Neglige,144,4500  PARK AV,KANSAS CITY,,PJ3678,CPD,U,1,SUS,U,U,,"4500 PARK AV
(39.044612478, -94.55771625)",13,3,7,157
140077219,10/24/2014 12:00:00 AM,22:35,10/24/2014 12:00:00 AM,22:34,,,101,09A,HOMICIDE/Non Neglige,312,8600  THOMPSON AV,KANSAS CITY,,PJ0705,EPD,U,1,SUS,W,M,,"8600 THOMPSON AV
(39.105638476, -94.481989441)",207,4,7,125
140089090,12/12/2014 12:00:00 AM,14:29,12/12/2014 12:00:00 AM,14:29,,,101,09A,HOMICIDE/Non Neglige,332,3300  BALES AV,KANSAS CITY,,PJ2742,EPD,U,1,VIC,B,M,32,"3300 BALES AV
(39.06582253, -94.542816094)",43,3,7,36
140075292,10/17/2014 12:00:00 AM,19:15,10/17/2014 12:00:00 AM,19:15,,,101,09A,HOMICIDE/Non Neglige,545,10600  BLUE RIDGE BL,KANSAS CITY,64138,PJ6876,SPD,N,1,VIC,B,F,,"10600 BLUE RIDGE
BL KANSAS CITY 64138
(38.931719295, -94.507851251)",166,1,7,143
140032125,05/12/2014 12:00:00 AM,0:16,05/12/2014 12:00:00 AM,0:16,,,101,09A,HOMICIDE/Non Neglige,141,HOLMES ST/E LINWOOD BL,KANSAS CITY,,PJ2531,CPD,U,1,VIC,B,M,,"HOLMES ST/E LINWOOD KANSAS CITY, BL
(39.102950303, -94.583075872)",5,4,7,75
140005908,01/26/2014 12:00:00 AM,10:50,01/26/2014 12:00:00 AM,3:25,,,101,09A,HOMICIDE/Non Neglige,113,1500  MCGEE ST,KANSAS CITY,64106,PJ1354,CPD,U,1,VIC,B,M,24,"1500 MCGEE ST
KANSAS CITY 64106
(39.095532174, -94.579978626)",125,4,7,92
140067679,09/20/2014 12:00:00 AM,10:00,09/20/2014 12:00:00 AM,2:00,,,101,09A,HOMICIDE/Non Neglige,542,7200  E 88 TE,KANSAS CITY,,PJ6346,SPD,U,2,VIC,B,M,17,"7200 E 88
(38.963503206, -94.504302744)",35,2,7,98
140054391,08/03/2014 12:00:00 AM,3:53,08/03/2014 12:00:00 AM,3:53,,,101,09A,HOMICIDE/Non Neglige,111,W 8 ST/JEFFERSON ST,KANSAS CITY,64106,PJ0767,CPD,U,1,SUS,U,U,,"8 ST JEFFERSON ST
KANSAS CITY 64106
(39.104256282, -94.574659662)",5,4,7,75
140091169,12/20/2014 12:00:00 AM,22:04,12/20/2014 12:00:00 AM,22:01,,,101,09A,HOMICIDE/Non Neglige,324,5300  E 24 ST,KANSAS CITY,64127,PJ1985,EPD,U,3,VIC,W,M,63,"5300 E 24 ST
KANSAS CITY 64127
(39.081477431, -94.520887018)",222,3,7,95
140028788,04/29/2014 12:00:00 AM,19:30,04/29/2014 12:00:00 AM,15:00,,,101,09A,HOMICIDE/Non Neglige,315,5500  THOMPSON AV,KANSAS CITY,64126,PJ0651,EPD,U,1,VIC,W,F,,"5500 THOMPSON AV
KANSAS CITY 64126
(39.107033947, -94.517700443)",192,4,7,76
140038301,06/04/2014 12:00:00 AM,8:10,06/04/2014 12:00:00 AM,8:10,,,101,09A,HOMICIDE/Non Neglige,212,7000  CRABAPPLE LN,KANSAS CITY,64130,PJ4307,MPD,U,1,VIC,U,F,,"7000 CRABAPPLE LN
KANSAS CITY 64130
(39.029255379, -94.502964405)",20,2,7,155
140083399,11/18/2014 12:00:00 AM,21:57,11/18/2014 12:00:00 AM,21:45,,,101,09A,HOMICIDE/Non Neglige,115,1700  E 12 TE,KANSAS CITY,64106,PJ1180,CPD,U,1,SUS,B,M,,"1700 E 12
TE KANSAS CITY 64106
(39.098410648, -94.562327746)",134,3,7,75
140091169,12/20/2014 12:00:00 AM,22:04,12/20/2014 12:00:00 AM,22:01,,,101,09A,HOMICIDE/Non Neglige,324,5300  E 24 ST,KANSAS CITY,64127,PJ1985,EPD,U,1,VIC,W,M,57,"5300 E 24 ST
KANSAS CITY 64127
(39.081477431, -94.520887018)",222,3,7,95
