"description","zip_code_1"
"Strong Arm Robbery",
"Strong Arm Robbery",
"Strong Arm Robbery",
"Strong Arm Robbery",
"Burglary - Residence",
"Burglary - Residence",
"Misc Violation",
"Strong Arm Robbery",
"Burglary - Residence",
"Misc Violation",
"Auto Theft",
"Fraud/Confidence Gam",
"HOMICIDE/Non Neglige",
"Fraud/Confidence Gam",
"Auto Theft",
"Forgery","64108"
"Non Aggravated Assau",
"Auto Theft","64130"
"Auto Theft",
"Non Agg Assault Dome",
"Agg Assault - Domest",
"Misc Violation",
"Stealing Shoplifting",
"Forgery",
"Stealing All Other",
"Misc Violation",
"Armed Robbery",
"Agg Assault - Domest","64133"
"Impersonation","64128"
"Stealing Auto Parts/","64114"
"Stealing Shoplifting","64158"
"Auto Theft","64124"
"Resisting an Officer","64127"
"Forged Checks","64119"
"Stealing Shoplifting","64114"
"False Information to","64154"
"Misc Violation","64154"
"Stealing Shoplifting","64108"
"Stealing From Auto","64132"
"Non Agg Assault Dome","64132"
"Stealing Shoplifting","64127"
"Stealing From Auto","64111"
"Stealing All Other","64110"
"Burglary - Non Resid","64118"
"Trespassing","64106"
"Possession/Sale/Dist","64123"
"Armed Robbery",
"Resisting an Officer","64132"
"Strong Arm Robbery",
"Embezzlement",
"Trespassing","64129"
"Misc Violation",
"Property Damage","64128"
"Trespassing","64129"
"Curfew","64112"
"Trespassing","64131"
"Arson","64110"
"Misc Violation",
"Drunkenness","64106"
"Armed Robbery",
"Armed Robbery",
"Armed Robbery",
"Arson","64126"
"Forgery",
"Trespassing",
"Disorderly Conduct",
"Forged Checks",
"Auto Theft","64110"
"Forgery",
"Stealing Shoplifting","64133"
"Prostitution/Patroni","64152"
"Drunkenness",
"Counterfeiting",
"Sex Off Follow/Entic",
"Non Agg Assault Dome",
"Stealing from Buildi",
"Trespassing",
"Stealing Shoplifting","64133"
"Possession/Sale/Dist",
"Possession/Sale/Dist",
"HOMICIDE/Non Neglige",
"Burglary - Non Resid",
"Possession of Drug E",
"Sex Off Fondle - mol",
"Aggravated Assault (",
"Statutory Rape","64111"
"Arson","64138"
"Stealing Auto Parts/",
"Trespassing","64131"
"Arson",
"Armed Robbery",
"Stealing All Other",
"Auto Theft","64119"
"Burglary - Residence",
"Violation Full Order",
"Property Damage",
"Misc Violation",
"Weapons Law Violatio",
"Stealing All Other",
"Burglary - Residence",
"Burglary - Residence",
"Possession/Sale/Dist",
"Armed Robbery",
"Attempt Suicide by H",
"Misc Violation",
"Burglary - Residence",
"Wire Fraud",
"Forgery",
"Forcible Sodomy",
"Stealing Shoplifting",
"Trespassing","64105"
"Forcible Sodomy","64106"
"Arson","64106"
"Auto Theft",
"Possession/Sale/Dist",
"Stealing Shoplifting",
"Arson","64109"
"Auto Theft",
"Auto Theft","64132"
"Armed Robbery",
"Resisting an Officer",
"Armed Robbery","64118"
"Property Damage",
"Possession/Sale/Dist","64109"
"Property Damage",
"Aggravated Assault (","64152"
"Forgery",
"Aggravated Assault (",
"Arson","64124"
"Misc Violation",
"Liquor Law Violaton",
"Misc Violation",
"Stealing All Other",
"Embezzlement",
"Arson","64127"
"Trespassing","64106"
"Strong Arm Robbery",
"Non Aggravated Assau",
"Auto Theft",
"Stealing Shoplifting",
"Stealing From Auto",
"Arson","64127"
"Sex Off Follow/Entic",
"Misc Violation",
"Stealing Shoplifting",
"Armed Robbery",
"Resisting an Officer","64124"
"Possession/Sale/Dist",
"Trespassing",
"Auto Theft",
"Trespassing",
"Auto Theft Outside S",
"Auto Theft","64128"
"Trespassing",
"Property Damage",
"Misc Violation","64106"
"Property Damage",
"Disorderly Conduct",
"Misc Violation",
"Armed Robbery",
"Burglary - Residence",
"Misc Violation",
"Liquor Law Violaton",
"Rape",
"Aggravated Assault (",
"Possession/Sale/Dist",
"Stealing Shoplifting",
"Misc Violation","64633"
"Non Agg Assault Dome",
"Credit/Debit/ATM Car",
"Arson","64110"
"Trespassing","64105"
"Non Agg Assault Dome",
"Stealing All Other","64127"
"Possession/Sale/Dist","64110"
"Burglary - Residence","64131"
"Resisting an Officer","64106"
"Property Damage","64114"
"Possession of Drug E","64118"
"Trespassing","64108"
"Non Agg Assault Dome","64124"
"Auto Theft Outside S","64145"
"Non Agg Assault Dome","64128"
"Non Agg Assault Dome","64124"
"Stealing Shoplifting","64154"
"Forged Checks","64133"
"Burglary - Residence","64133"
"Non Agg Assault Dome","64124"
"Stealing From Auto","64114"
"Non Agg Assault Dome","64101"
"Strong Arm Robbery","64127"
"Non Agg Assault Dome","64108"
"Property Damage","64106"
"Non Aggravated Assau","64118"
"Stealing All Other","64108"
"Disorderly Conduct","64133"
"Property Damage","64151"
"Misc Violation","64130"
"Misc Violation","64130"
"Auto Theft","64123"
"Burglary - Residence","64126"
"Auto Theft","64152"
"Non Agg Assault Dome","64132"
"Intimidation","64145"
"Non Agg Assault Dome","64126"
"Armed Robbery","64127"
"Non Agg Assault Dome","64130"
"Armed Robbery","64110"
"Auto Theft","64127"
"Auto Theft","64114"
"Armed Robbery","64133"
"Armed Robbery","64127"
"Possession/Sale/Dist","64110"
"Property Damage","64138"
"Aggravated Assault (","64109"
"Stealing from Buildi","64109"
"Property Damage","64106"
"Property Damage","64134"
"Burglary - Residence","64128"
"Stealing From Auto","64114"
"Possession/Sale/Dist","64131"
"Misc Violation","64134"
"Possession/Sale/Dist","64110"
"Non Agg Assault Dome","64133"
"Driving Under Influe","64132"
"Property Damage","64111"
"Burglary - Residence","64119"
"Burglary - Residence","64106"
"Auto Theft","64116"
"Stealing Auto Parts/","64134"
"Stealing from Buildi","64118"
"Burglary - Non Resid","64101"
"Non Aggravated Assau","64118"
"Stealing from Buildi","64118"
"Burglary - Residence","64118"
"Stealing From Auto","64111"
"Disorderly Conduct","64127"
"Non Agg Assault Dome","64124"
"Stealing Shoplifting","64113"
"Trespassing","64105"
"Stealing Auto Parts/","64147"
"Burglary - Non Resid","64109"
"Aggravated Assault (","64109"
"Stealing From Auto","64114"
"Auto Theft Outside S","64113"
"Auto Theft","64131"
"Stealing Shoplifting","64133"
"Stealing Shoplifting","64127"
"Property Damage","64130"
"Misc Violation",
"Non Agg Assault Dome","64128"
"Agg Assault - Domest","64128"
"Stealing All Other","64114"
"Stealing from Buildi","64127"
"Non Agg Assault Dome","64136"
"Property Damage","64128"
"Burglary - Residence","64130"
"Resisting an Officer","64127"
"Burglary - Residence","64134"
"Property Damage","64117"
"Stealing From Auto","64108"
"Non Agg Assault Dome","64134"
"Stealing All Other",
"Stealing Auto Parts/","64116"
"Property Damage","64134"
"Burglary - Residence","64131"
"Auto Theft","64131"
"Stealing All Other","64138"
"Resisting an Officer","64111"
"Stealing From Auto","64106"
"Stealing Auto Parts/","64131"
"Burglary - Non Resid","64116"
"Agg Assault - Domest","64110"
"Stealing From Auto","64106"
"Non Agg Assault Dome","64119"
"Burglary - Residence","64134"
"Trespassing","64111"
"Property Damage","64109"
"Non Agg Assault Dome","64133"
"Property Damage","64127"
"Stealing From Auto","64112"
"Burglary - Residence","64114"
"Burglary - Residence","64126"
"Burglary - Residence","64127"
"Embezzlement","64145"
"Misc Violation","64108"
"Possession of Drug E","64108"
"Non Agg Assault Dome",
"Stealing Shoplifting","64130"
"Stealing Auto Parts/","64111"
"Property Damage",
"Impersonation","64134"
"Stealing Shoplifting","64158"
"Burglary - Residence","64134"
"Stealing from Buildi","64106"
"Armed Robbery","64123"
"Stealing Shoplifting","64145"
"Stealing From Auto","64111"
"Non Agg Assault Dome","64119"
"Stealing From Auto","64131"
"Property Damage","64127"
"Non Aggravated Assau","64130"
"Property Damage","64123"
"Intimidation","64119"
"Possession/Sale/Dist","64130"
"Stealing from Buildi","64138"
"Property Damage","64111"
"Burglary - Residence","64134"
"Resisting an Officer","64108"
"Intimidation","64131"
"Property Damage","64118"
"Burglary - Non Resid","64111"
"Non Aggravated Assau","64133"
"Misc Violation","64110"
"Auto Theft","64131"
"Fraud/Confidence Gam","64133"
"Non Agg Assault Dome","64130"
"Non Agg Assault Dome","64133"
"Burglary - Residence","64138"
"Misc Violation","64126"
"Impersonation","64134"
"Possession/Sale/Dist","64106"
"Stealing Bicycles","64132"
"Non Agg Assault Dome","64134"
"Agg Assault - Domest","64145"
"Wire Fraud","64114"
"Possession of Drug E","64126"
"Stealing All Other","64120"
"Misc Violation","64127"
"Burglary - Residence","64109"
"Property Damage","64124"
"Stealing From Auto","64112"
"Sex Off Misconduct","64134"
"Stealing from Buildi","64111"
"Stealing Auto Parts/","64117"
"Non Agg Assault Dome","64123"
"Stealing Shoplifting","64152"
"Property Damage","64118"
"Sex Off Indecent Exp","64138"
"Stealing From Auto","64127"
"Stealing From Auto","64110"
"Agg Assault - Drive-","64124"
"Dead Body",
"Auto Theft","64130"
"Trespassing","64105"
"Property Damage","64119"
"Property Damage","64127"
"Property Damage","64152"
"Stealing From Auto","64111"
"Stealing from Buildi","64111"
"Misc Violation","64126"
"Disorderly Conduct","64111"
"Misc Violation","64019"
"Stealing From Auto","64117"
"Possession of Drug E","64106"
"Stealing All Other","64109"
"Burglary - Residence","64124"
"Auto Theft","64130"
"Non Aggravated Assau","64134"
"Property Damage","64111"
"Misc Violation","64151"
"Stealing Auto Parts/","64119"
"Non Aggravated Assau","64106"
"Stealing from Buildi","64118"
"Stealing Shoplifting","64110"
"Misc Violation","64106"
"Non Aggravated Assau","64126"
"Property Damage","64151"
"Non Agg Assault Dome","64145"
"Weapons Law Violatio","64111"
"Armed Robbery","64109"
"Stealing All Other","64132"
"Auto Theft Outside S","64123"
"Property Damage","64130"
"Property Damage","64111"
"Misc Violation","64118"
"Non Agg Assault Dome","64114"
"Misc Violation","64131"
"Sex Offense -others","64153"
"Stealing Shoplifting","64133"
"Burglary - Residence","64119"
"Misc Violation","64157"
"Misc Violation","64106"
"Burglary - Residence","64127"
"Burglary - Residence","64138"
"Property Damage","64118"
"Stealing from Buildi","64124"
"Auto Theft","64134"
"Property Damage","64111"
"Property Damage","64155"
"Stealing Auto Parts/","64127"
"Aggravated Assault (","64110"
"Credit/Debit/ATM Car","64130"
"Possession/Sale/Dist","64128"
"Stealing Pickpocket","64106"
"Property Damage","64129"
"Stealing from Buildi","64130"
"Stealing From Auto","64156"
"Stealing from Buildi","64106"
"Possession of Drug E","64114"
"Stealing Shoplifting","64152"
"Aggravated Assault (",
"Non Agg Assault Dome","64127"
"Stealing from Buildi","64111"
"Non Agg Assault Dome","64119"
"Stealing Auto Parts/","64119"
"Auto Theft","64124"
"Burglary - Residence","64127"
"Stealing Auto Parts/","64111"
"Burglary - Non Resid","64134"
"Stealing Auto Parts/","64131"
"Auto Theft","64129"
"Non Agg Assault Dome","64128"
"Credit/Debit/ATM Car","64137"
"Property Damage","64134"
"Burglary - Residence","64116"
"Burglary - Residence","64130"
"Aggravated Assault (","64127"
"Strong Arm Robbery","64130"
"Property Damage","64118"
"Property Damage","64137"
"Burglary - Residence","64138"
"Disorderly Conduct","64108"
"Armed Robbery","64127"
"Non Agg Assault Dome","64130"
"Stealing From Auto","64153"
"Misc Violation","64151"
"Stealing Auto Parts/","64118"
"False Information to","64106"
"Resisting an Officer","64123"
"Fraud/Confidence Gam","64153"
"Trespassing","64110"
"Non Agg Assault Dome","64111"
"Burglary - Residence","64124"
"Strong Arm Robbery","64127"
"Stealing Shoplifting","64108"
"Stealing From Auto","64132"
"Stealing Shoplifting","64138"
"Possession/Sale/Dist","64130"
"Violation Full Order","64130"
"Non Aggravated Assau",
"Non Aggravated Assau","64127"
"Non Agg Assault Dome","64131"
"Agg Assault - Domest","64130"
"Auto Theft","64151"
"Non Aggravated Assau","64137"
"Non Aggravated Assau","64119"
"Trespassing","64133"
"Curfew","64112"
"Burglary - Non Resid","64161"
"Credit/Debit/ATM Car","64133"
"Stealing All Other","64124"
"Non Aggravated Assau","64111"
"Aggravated Assault (","64128"
"Trespassing","64126"
"Burglary - Residence","64157"
"Armed Robbery","64123"
"Misc Violation","66106"
"Misc Violation",
"Misc Violation","64109"
"Misc Violation","64109"
"Stealing From Auto","64111"
"Intimidation","64108"
"Stealing Shoplifting","64114"
"Property Damage","64133"
"Burglary - Residence","64119"
"Aggravated Assault (","64134"
"Stealing Shoplifting","64110"
"Stealing from Buildi","64133"
"Stealing from Buildi","64114"
"Failure to Return","64114"
"Stealing Auto Parts/","64124"
"Stealing All Other","64110"
"Family Offense","64154"
"Intimidation","64130"
"Possession of Drug E","64116"
"Strong Arm Robbery","64108"
"Aggravated Assault (","64127"
"Statutory Rape","64155"
