"report_no","reported_date","zipcode","reported_time","location_1","description","address","city"
"90073075","2014-04-12T00:00:00.000","64128","2:39","POINT (-94.53796609 39.0673976)","Stolen Property OFFE","E 37 ST/MONTGALL AV","KANSAS CITY"
"90073075","2014-04-12T00:00:00.000","64128","2:39","POINT (-94.53796609 39.0673976)","Possession/Sale/Dist","E 37 ST/MONTGALL AV","KANSAS CITY"
"100038075","2014-01-22T00:00:00.000","64108","12:24","POINT (-94.588898607 39.090144908)","Statutory Rape","3100  BROADWAY","KANSAS CITY"
"100038075","2014-01-22T00:00:00.000","64108","12:24","POINT (-94.588898607 39.090144908)","Statutory Rape","3100  BROADWAY","KANSAS CITY"
"100038075","2014-01-22T00:00:00.000","64108","12:24","POINT (-94.588898607 39.090144908)","Statutory Rape","3100  BROADWAY","KANSAS CITY"
"120059143","2014-10-15T00:00:00.000","64106","0:14","POINT (-94.577375383 39.100855311)","Sex Off Fondle - mol","1100  LOCUST ST","KANSAS CITY"
"120059143","2014-10-15T00:00:00.000","64106","0:14","POINT (-94.577375383 39.100855311)","Sex Off Fondle - mol","1100  LOCUST ST","KANSAS CITY"
"120061274","2014-09-18T00:00:00.000","64106","14:08","POINT (-94.577375383 39.100855311)","HOMICIDE/Non Neglige","1100  LOCUST ST","KANSAS CITY"
"120061274","2014-09-18T00:00:00.000","64106","14:08","POINT (-94.577375383 39.100855311)","HOMICIDE/Non Neglige","1100  LOCUST ST","KANSAS CITY"
"120084828","2014-11-02T00:00:00.000","64134","16:00","POINT (-94.51037977 38.930691744)","Impersonation","6800  E 107 ST","KANSAS CITY"
"120084828","2014-11-02T00:00:00.000","64134","16:00","POINT (-94.51037977 38.930691744)","Impersonation","6800  E 107 ST","KANSAS CITY"
"120084828","2014-11-02T00:00:00.000","64134","16:00","POINT (-94.51037977 38.930691744)","Impersonation","6800  E 107 ST","KANSAS CITY"
"130006416","2014-06-25T00:00:00.000","64106","21:35","POINT (-94.577375383 39.100855311)","Forcible Sodomy","1100  LOCUST ST","KANSAS CITY"
"130006416","2014-06-25T00:00:00.000","64106","21:35","POINT (-94.577375383 39.100855311)","Forcible Sodomy","1100  LOCUST ST","KANSAS CITY"
"130008713","2014-04-02T00:00:00.000","64106","9:37","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130008713","2014-04-02T00:00:00.000","64106","9:37","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130014995","2014-01-09T00:00:00.000","64139","0:54","POINT (-94.397114667 38.980829071)","Sex Off Fondle - mol","15700  E 76 ST","KANSAS CITY"
"130014995","2014-01-09T00:00:00.000","64139","0:54","POINT (-94.397114667 38.980829071)","Sex Off Fondle - mol","15700  E 76 ST","KANSAS CITY"
"130016853","2014-01-29T00:00:00.000","64106","1:32","POINT (-94.577375383 39.100855311)","Forcible Sodomy","1100  LOCUST ST","KANSAS CITY"
"130016853","2014-01-29T00:00:00.000","64106","1:32","POINT (-94.577375383 39.100855311)","Forcible Sodomy","1100  LOCUST ST","KANSAS CITY"
