"local_unit_id","local_unit","document_code","description","fiscal_year","url"
"72","ALLEGAN","CGuide","Citizen's Guide","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=72&doc_yr=2015&doc_code=CGuide"
"72","ALLEGAN","ProjBDG","2-year Budget","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=72&doc_yr=2015&doc_code=ProjBDG"
"72","ALLEGAN","DebtServ","Debt Service","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=72&doc_yr=2015&doc_code=DebtServ"
"72","ALLEGAN","PerfDBD","Performance Dashboard","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=72&doc_yr=2015&doc_code=PerfDBD"
"73","DOUGLAS VILLAGE","DebtServ","Debt Service","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=73&doc_yr=2015&doc_code=DebtServ"
"73","DOUGLAS VILLAGE","ProjBDG","2-year Budget","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=73&doc_yr=2015&doc_code=ProjBDG"
"73","DOUGLAS VILLAGE","PerfDBD","Performance Dashboard","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=73&doc_yr=2015&doc_code=PerfDBD"
"73","DOUGLAS VILLAGE","CGuide","Citizen's Guide","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=73&doc_yr=2015&doc_code=CGuide"
"74","FENNVILLE","DebtServ","Debt Service","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=74&doc_yr=2015&doc_code=DebtServ"
"74","FENNVILLE","PerfDBD","Performance Dashboard","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=74&doc_yr=2015&doc_code=PerfDBD"
"74","FENNVILLE","ProjBDG","2-year Budget","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=74&doc_yr=2015&doc_code=ProjBDG"
"74","FENNVILLE","CGuide","Citizen's Guide","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=74&doc_yr=2015&doc_code=CGuide"
"138","ALPENA","DebtServ","Debt Service","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=138&doc_yr=2015&doc_code=DebtServ"
"138","ALPENA","ProjBDG","2-year Budget","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=138&doc_yr=2015&doc_code=ProjBDG"
"138","ALPENA","PerfDBD","Performance Dashboard","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=138&doc_yr=2015&doc_code=PerfDBD"
"138","ALPENA","CGuide","Citizen's Guide","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=138&doc_yr=2015&doc_code=CGuide"
"146","ALPENA","DebtServ","Debt Service","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=146&doc_yr=2015&doc_code=DebtServ"
"146","ALPENA","CGuide","Citizen's Guide","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=146&doc_yr=2015&doc_code=CGuide"
"146","ALPENA","PerfDBD","Performance Dashboard","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=146&doc_yr=2015&doc_code=PerfDBD"
"146","ALPENA","ProjBDG","2-year Budget","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=146&doc_yr=2015&doc_code=ProjBDG"
"177","BELLAIRE","DebtServ","Debt Service","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=177&doc_yr=2015&doc_code=DebtServ"
"177","BELLAIRE","PerfDBD","Performance Dashboard","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=177&doc_yr=2015&doc_code=PerfDBD"
"177","BELLAIRE","ProjBDG","2-year Budget","2015","https://treas-secure.state.mi.us/lafdocsearch/tl41R01.aspx?&lu_id=177&doc_yr=2015&doc_code=ProjBDG"
