"emtype","emrank","emrankdate","emdatehire","emdateswrn","emsex","emrace","emethnic","emdivision","reccount"
"SWRN","OFC",,"2020-10-26T00:00:00.000",,"M","O","H","OPSB","1"
"SWRN","OFC",,"2020-10-26T00:00:00.000",,"M","W","N","OPSB","1"
"SWRN","LIEU","2018-11-18T00:00:00.000","2001-10-08T00:00:00.000","2001-10-08T00:00:00.000","M","W","N","ADMN","1"
"NSWN","CIV",,"2003-03-31T00:00:00.000",,"F","W",,"ADMS","1"
"NSWN","CIV",,"1998-12-28T00:00:00.000",,"F","W",,"CI","1"
"NSWN","CIV",,"1998-08-03T00:00:00.000",,"F","W","H","ADMS","1"
"NSWN","CIV",,"2002-05-13T00:00:00.000",,"F","B",,"INFO","1"
"NSWN","CIV",,"1989-12-11T00:00:00.000",,"F","W",,"TRAF","1"
"NSWN","CIV",,"2000-08-21T00:00:00.000",,"F","B",,"SPLY","1"
"NSWN","CIV",,"2006-11-20T00:00:00.000",,"F","O","N","SPLY","1"
"NSWN","CIV",,"1990-06-11T00:00:00.000",,"F","W",,"SPLY","1"
"NSWN","CIV",,"2003-02-03T00:00:00.000",,"F","W","H","ADMS","1"
"NSWN","CIV",,"2006-11-13T00:00:00.000",,"F","W",,"SID","1"
"NSWN","CIV",,"2007-11-18T00:00:00.000",,"F","W",,"SID","1"
"NSWN","CIV",,"2005-03-14T00:00:00.000",,"F","B","N","ADMS","1"
"NSWN","CIV",,"2007-06-04T00:00:00.000",,"F","B",,"ADMS","1"
"SWRN","LIEU","2014-09-28T00:00:00.000","1994-05-16T00:00:00.000","1994-05-16T00:00:00.000","M","W",,"PATR","1"
"SWRN","SGT","2009-04-19T00:00:00.000","2001-08-20T00:00:00.000","2001-08-20T00:00:00.000","M","W",,"CI","1"
"SWRN","SGT","2006-01-15T00:00:00.000","1992-04-20T00:00:00.000","1992-04-20T00:00:00.000","M","W","N","PATR","1"
"SWRN","SGT","2009-04-19T00:00:00.000","1999-02-01T00:00:00.000","1999-02-01T00:00:00.000","M","W","H","PATR","1"
"SWRN","CAPT","2021-10-17T00:00:00.000","2001-10-22T00:00:00.000","2001-10-22T00:00:00.000","M","W","N","PATR","1"
"SWRN","CAPT","2021-09-05T00:00:00.000","2004-10-11T00:00:00.000","2004-10-11T00:00:00.000","M","B",,"OPSB","1"
"SWRN","SGT","2011-11-27T00:00:00.000","1993-10-25T00:00:00.000","1993-10-25T00:00:00.000","M","W","N","PATR","1"
"SWRN","LIEU","2017-03-12T00:00:00.000","2006-01-09T00:00:00.000","2006-01-09T00:00:00.000","M","W","N","ADMS","1"
"SWRN","SGT","2007-10-07T00:00:00.000","2003-02-24T00:00:00.000","2003-02-24T00:00:00.000","F","W","H","OPSD","1"
"SWRN","LIEU","2018-01-28T00:00:00.000","2000-06-01T00:00:00.000","2000-06-01T00:00:00.000","M","W","H","OPSD","1"
"SWRN","SGT","2012-11-11T00:00:00.000","1994-07-18T00:00:00.000","1994-07-18T00:00:00.000","M","W",,"PATR","1"
"SWRN","SGT","2005-03-13T00:00:00.000","1995-12-04T00:00:00.000","1997-01-26T00:00:00.000","F","W","N","CI","1"
"SWRN","SGT","2006-07-02T00:00:00.000","1996-07-08T00:00:00.000","1996-07-08T00:00:00.000","F","W",,"SID","1"
