"incidentid","agencycode","offense","date_rept","hour_rept","date_occu","hour_occu","date_fnd","hour_fnd","streetdir","street","city","state","zip","geox","geoy","reportedas","tract","tractdesc","zone","zonedesc","district","districtdesc","reportarea","reportareadesc","neighborhd","neighborhddesc","subdivisn","subdivisndesc","weather","weatherdesc","premise","premisedesc","forcible","weapon","weapondesc","dispostn","dispostndesc","reccount","monthyear","month","year","geo01"
"341506098882","FLPD","BURGLARY CONVEYANCE","2015-06-23T08:57:01.000","0857","2015-06-22T16:57:00.000","1657","2015-06-23T08:57:01.000","0857",,"SE 17TH AV","FORT LAUDERDALE","FL","33301","26.1216831207275","-80.1259078979492","BREAKING & ENTE",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","06/2015","6","2015","POINT (-80.1259078979492 26.1216831207275)"
"341605072815","FLPD","BURGLARY CONVEYANCE","2016-05-15T07:46:20.000","0746","2016-05-14T19:00:00.000","1900","2016-05-15T06:15:00.000","0615",,"SE 1ST ST","FORT LAUDERDALE","FL","33301","26.1216850280762","-80.1298828125",,,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","05/2016","5","2016","POINT (-80.1298828125 26.1216850280762)"
"341601002976","FLPD","ROBBERY BY SUDDEN SNATCHING","2016-01-06T19:51:18.000","1951","2016-01-05T22:00:17.000","2200","2016-01-05T23:00:18.000","2300",,"SE 15TH AV","FORT LAUDERDALE","FL","33301","26.1217288970947","-80.1286315917969","ROBBERY DELAYED",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"40",,,,"1","01/2016","1","2016","POINT (-80.1286315917969 26.1217288970947)"
"341502027199","FLPD","THEFT - RETAIL / SHOPLIFTING","2015-02-16T00:00:00.000","1846","2015-02-16T00:00:00.000","1630","2015-02-16T00:00:00.000","1828",,"E LAS OLAS BLVD","FORT LAUDERDALE","FL","33301","26.1193790435791","-80.1281356811523",,,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","02/2015","2","2015","POINT (-80.1281356811523 26.1193790435791)"
"341504059379","FLPD","THEFT - ALL OTHER","2015-04-13T08:53:37.000","0853","2015-04-12T08:00:36.000","0800","2015-04-13T07:30:37.000","0730",,"SE 2ND ST","FORT LAUDERDALE","FL","33301","26.1208076477051","-80.129264831543",,,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","04/2015","4","2015","POINT (-80.129264831543 26.1208076477051)"
"341510167550","FLPD","BURGLARY CONVEYANCE","2015-10-25T14:27:24.000","1427","2015-10-24T20:00:00.000","2000","2015-10-24T22:00:00.000","2200",,"BRICKELL DR","FORT LAUDERDALE","FL","33301","26.1176357269287","-80.1285018920898","BREAKING & ENTE",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","10/2015","10","2015","POINT (-80.1285018920898 26.1176357269287)"
"341606087289","FLPD","BURGLARY CONVEYANCE","2016-06-11T03:27:46.000","0327","2016-06-10T18:45:00.000","1845","2016-06-11T03:27:46.000","0327",,"E LAS OLAS BLVD","FORT LAUDERDALE","FL","33301","26.1193923950195","-80.1271896362305","BREAKING & ENTE",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","06/2016","6","2016","POINT (-80.1271896362305 26.1193923950195)"
"341507116948","FLPD","THEFT - RETAIL / SHOPLIFTING","2015-07-24T22:30:05.000","2230","2015-07-24T22:00:00.000","2200","2015-07-24T22:00:00.000","2200",,"E LAS OLAS BLVD","FORT LAUDERDALE","FL","33301","26.1193790435791","-80.1281356811523","LARCENY JUST OC",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","07/2015","7","2015","POINT (-80.1281356811523 26.1193790435791)"
"341606083598","FLPD","BURGLARY CONVEYANCE","2016-06-04T01:35:18.000","0135","2016-06-03T23:00:00.000","2300","2016-06-04T01:02:18.000","0102",,"SE 15TH AV","FORT LAUDERDALE","FL","33301","26.1191940307617","-80.1285552978516","BREAKING & ENTE",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","06/2016","6","2016","POINT (-80.1285552978516 26.1191940307617)"
"341606092230","FLPD","THEFT - ALL OTHER","2016-06-20T17:16:55.000","1716","2016-06-20T17:11:54.000","1711","2016-06-20T17:16:55.000","1716",,"E LAS OLAS BLVD","FORT LAUDERDALE","FL","33301","26.1193370819092","-80.1271896362305","LARCENY DELAYED",,,"3481","FT LAUDERDALE ZONE 81","34","FORT LAUDERDALE","34K4","151","34CV","COLEE HAMMOCK HOA",,,,,,,,"00",,,,"1","06/2016","6","2016","POINT (-80.1271896362305 26.1193370819092)"
