"region","office","address_1","address_2","address_3","province","postal","county","location"
"Eastern","Guysborough","11210 #16 Highway",,"Guysborough","Nova Scotia","B0H 1G0","Guysborough","11210 #16 Highway
Guysborough, Nova Scotia B0H 1G0"
"Western","Kentville","Provincial Building","136 Exhibition St.","Kentville","Nova Scotia","B4N 4E5","kings","Provincial Building
Kentville, Nova Scotia B4N 4E5"
"Central","Middle Musquodoboit","Halifax East District Office","12086 #224 Highway","Middle Musquodoboit","Nova Scotia","B0N 1X0","Pictou","Halifax East District Office
Middle Musquodoboit, Nova Scotia B0N 1X0"
"Eastern","Sheet Harbour","#7 Highway (Fire Hall)","Civic # 22835","Sheet Harbour","Nova Scotia","B0J 3B0",,"#7 Highway (Fire Hall)
Sheet Harbour, Nova Scotia B0J 3B0"
"Northern","Strahlorne Forest Nursery","Route 19","15039","Inverness","Nova Scotia","B0E 1N0","Northern","Route 19
Inverness, Nova Scotia B0E 1N0"
"Central","Waverly","2115 Waverley Road",,"Waverley","Nova Scotia","B2R 1Y8","Halifax","2115 Waverley Road
Waverley, Nova Scotia B2R 1Y8
(44.777028, -63.586896)"
"Northern","Oxford","4917 Main Street",,"Oxford","Nova Scotia","B0M 1P0","Cumberland","4917 Main Street
Oxford, Nova Scotia B0M 1P0
(45.73096, -63.874328)"
"Western","Tusket (Yarmouth)","404 Highway 308 North",,"Tusket","Nova Scotia","B2N 0G9","Western","404 Highway 308 North
Tusket, Nova Scotia B2N 0G9
(43.752631, -65.892871)"
"Northern","Whycocomagh","110 Provincial Park Road","PO Box 130","Whycocomagh","Nova Scotia","B0E 3M0","Northern","110 Provincial Park Road
Whycocomagh, Nova Scotia B0E 3M0
(45.965955, -61.104026)"
"Western","Cornwallis","173 Haida Street",,"Cornwallis","Nova Scotia","B0S 1H0","Annapolis","173 Haida Street
Cornwallis, Nova Scotia B0S 1H0
(44.655003, -65.63555)"
"Eastern","St. Peter's","10258 Granville Street",,"St. Peter's","Nova Scotia","B0E 3B0","Richmond","10258 Granville Street
St. Peter's, Nova Scotia B0E 3B0
(45.652706, -60.859473)"
"Central","Windsor","55 Wentworth Road",,"Windsor","Nova Scotia","B0N 2T0","Hants","55 Wentworth Road
Windsor, Nova Scotia B0N 2T0
(44.990921, -64.127322)"
"Western","Milton","552 Highway 8",,"Milton","Nova Scotia","B0T 1P0","Queens","552 Highway 8
Milton, Nova Scotia B0T 1P0
(44.074679, -64.765764)"
"Central","Truro","15 Arlington Place","Suite 7","Truro","Nova Scotia","B2N 0G9","Colchester","15 Arlington Place
Truro, Nova Scotia B2N 0G9
(45.364631, -63.281869)"
"Central","Bible Hill","626 College Road",,"Bible Hill","Nova Scotia","B2N 2R2","Colchester","626 College Road
Bible Hill, Nova Scotia B2N 2R2
(45.377002, -63.238685)"
"Northern","Parrsboro","12057, Highway 209","Crossroads","Parrsboro","Nova Scotia","B0M 1S0","Cumberland","12057, Highway 209
Parrsboro, Nova Scotia B0M 1S0
(45.422548, -64.345695)"
"Western","Lawrencetown","108 Elliott Road",,"Lawerecetown","Nova Scotia","B0S 1M0","Annapolis","108 Elliott Road
Lawerecetown, Nova Scotia B0S 1M0
(44.887921, -65.164804)"
"Eastern","Coxheath","300 Mountain Road",,"Sydney (Coxheathe)","Nova Scotia","B1L 1A9","Cape Breton","300 Mountain Road
Sydney (Coxheathe), Nova Scotia B1L 1A9
(46.106204, -60.274198)"
"Western","Lunenburg","312 Green Street",,"Lunenburg","Nova Scotia","B0J 2C0","Lunenburg","312 Green Street
Lunenburg, Nova Scotia B0J 2C0
(44.383729, -64.330698)"
"Eastern","Baddeck","2 Campbell Street",,"Baddeck","Nova Scotia","B0E 1B0","Victoria","2 Campbell Street
Baddeck, Nova Scotia B0E 1B0
(46.100052, -60.758483)"
"Eastern","Antigonish","190 Beech Hill Road","R.R. #6","Antigonish","Nova Scotia","B2G 0B4","Antigonish","190 Beech Hill Road
Antigonish, Nova Scotia B2G 0B4
(45.609153, -61.967893)"
"Northern","Stellarton Core Library","105-109 Acheron Court","Stellarton Industrial Park","Stellarton","Nova Scotia","B0K 1S0","Pictou","105-109 Acheron Court
Stellarton, Nova Scotia B0K 1S0
(45.557876, -62.685272)"
"Central","Shubenacadie (Hants East District Office)","24 Creigton Road",,"Shubenacadie","Nova Scotia","B0N 2H0","Colchester","24 Creigton Road
Shubenacadie, Nova Scotia B0N 2H0
(45.145395, -63.468085)"
"Central","Jeddore","9029 #7 Highway",,"Head of Jeddore","Nova Scotia","B0J 1P0","Halifax","9029 #7 Highway
Head of Jeddore, Nova Scotia B0J 1P0
(36.906183, -90.289826)"
"Western","Shelburne","91 Golden's Lane",,"Churchover (Shelburne)","Nova Scotia","B0T 1W0","Shelburne","91 Golden's Lane
Churchover (Shelburne), Nova Scotia B0T 1W0
(40.561802, -74.294055)"
"Northern","Stillwater","9240 Highway #7 Stillwater","RR#2 Aspen","Guysborough","Nova Scotia","B0H 1E0","Guysborough","9240 Highway #7 Stillwater
Guysborough, Nova Scotia B0H 1E0
(40.557483, -122.276612)"
"Northern","McLellans Brook","459 Coalburn","McLellans Brook Rd.","McLellans Brook","Nova Scotia","B2H 5C7","Pictou","459 Coalburn
McLellans Brook, Nova Scotia B2H 5C7
(39.569673, -79.607418)"
