"national_air_pollution_surveillance_network_id","station_name","province","city","country","latitude","longitude","measurements","monitoring_period","location"
"30113","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","PM2.5","2006-Present","POINT (-63.573689 44.647175)"
"30113","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","SSASS PM2.5","2006-Present","POINT (-63.573689 44.647175)"
"30113","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","DICHOT PM2.5","2006-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","SO2","2018-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","CO","2018-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","NO2","2018-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","NO","2018-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","NOx","2018-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","O3","2018-Present","POINT (-63.573689 44.647175)"
"30113","Halifax Johnston","NOVA SCOTIA","HALIFAX","CANADA","44.647175","-63.573689","VOC","2018-Present","POINT (-63.573689 44.647175)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","SO2","1994-2017","POINT (-63.573383 44.646425)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","CO","1994-2017","POINT (-63.573383 44.646425)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","NO2","1990-2017","POINT (-63.573383 44.646425)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","NO","1990-2017","POINT (-63.573383 44.646425)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","NOx","1990-2017","POINT (-63.573383 44.646425)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","O3","1994-2017","POINT (-63.573383 44.646425)"
"30118","Halifax","NOVA SCOTIA","HALIFAX","CANADA","44.646425","-63.573383","VOC","1990-2017","POINT (-63.573383 44.646425)"
"30120","LAKE MAJOR","NOVA SCOTIA","DARTMOUTH","CANADA","44.719800","-63.480760","SO2","2006-Present","POINT (-63.48076 44.7198)"
"30120","LAKE MAJOR","NOVA SCOTIA","DARTMOUTH","CANADA","44.719800","-63.480760","NO2","2006-Present","POINT (-63.48076 44.7198)"
"30120","LAKE MAJOR","NOVA SCOTIA","DARTMOUTH","CANADA","44.719800","-63.480760","NO","2006-Present","POINT (-63.48076 44.7198)"
"30120","LAKE MAJOR","NOVA SCOTIA","DARTMOUTH","CANADA","44.719800","-63.480760","NOx","2006-Present","POINT (-63.48076 44.7198)"
"30120","LAKE MAJOR","NOVA SCOTIA","DARTMOUTH","CANADA","44.719800","-63.480760","O3","2006-Present","POINT (-63.48076 44.7198)"
"30120","LAKE MAJOR","NOVA SCOTIA","DARTMOUTH","CANADA","44.719800","-63.480760","PM2.5","2001-Present","POINT (-63.48076 44.7198)"
"30201","PORT HAWKESBURY","NOVA SCOTIA","PORT HAWKESBURY","CANADA","45.614028","-61.362122","SO2","1994-Present","POINT (-61.362122 45.614028)"
"30201","PORT HAWKESBURY","NOVA SCOTIA","PORT HAWKESBURY","CANADA","45.614028","-61.362122","NO2","2010-Present","POINT (-61.362122 45.614028)"
"30201","PORT HAWKESBURY","NOVA SCOTIA","PORT HAWKESBURY","CANADA","45.614028","-61.362122","NO","2010-Present","POINT (-61.362122 45.614028)"
"30201","PORT HAWKESBURY","NOVA SCOTIA","PORT HAWKESBURY","CANADA","45.614028","-61.362122","NOx","2010-Present","POINT (-61.362122 45.614028)"
"30201","PORT HAWKESBURY","NOVA SCOTIA","PORT HAWKESBURY","CANADA","45.614028","-61.362122","O3","2010-Present","POINT (-61.362122 45.614028)"
"30201","PORT HAWKESBURY","NOVA SCOTIA","PORT HAWKESBURY","CANADA","45.614028","-61.362122","PM2.5","2010-Present","POINT (-61.362122 45.614028)"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","SO2","1974-Present","POINT (-60.172575 46.142317)"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","CO","2005-Present","POINT (-60.172575 46.142317)"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","NO2","2005-Present","POINT (-60.172575 46.142317)"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","NO","2005-Present","POINT (-60.172575 46.142317)"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","NOx","2005-Present","POINT (-60.172575 46.142317)"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","O3","2000-Present","POINT (-60.172575 46.142317)"
