"sector","service_type","service_name","civic_number","street_name","address2","city_town","province","postal_code","latitude","longitude","location"
"Justice","Adult Correctional Facility","Northeast Nova Scotia Correctional Facility","10202","Sherbrooke Road","RR4","New Glasgow","Nova Scotia","B2H 5C7","45.571513","-62.615535","
,  
(45.571513, -62.615535)"
"Justice","Community Corrections Office","Community Corrections - Glace Bay","121","Union Street","Suite D","Glace Bay","Nova Scotia","B1A 2P8","46.193726","-59.960519","
,  
(46.193726, -59.960519)"
"Justice","Community Corrections Office","Community Corrections - Halifax","1256","Barrington Street","Suite 200","Halifax","Nova Scotia","B3J 1Y6","44.640857","-63.571409","
,  
(44.640857, -63.571409)"
"Justice","Community Corrections Office","Community Corrections - Kentville","136","Exhibition Street",,"Kentville","Nova Scotia","B4N 4E5","45.08377","-64.499844","
,  
(45.08377, -64.499844)"
"Justice","Adult Correctional Facility","Cape Breton Correctional Facility","136","Gardiner Road",,"Sydney","Nova Scotia","B1M 1A1","46.177922","-60.076575","
,  
(46.177922, -60.076575)"
"Justice","Youth Correctional Facility","Cape Breton Youth Detention Facility","136","Gardner Road",,"Sydney","Nova Scotia","B1M 1A1","46.177922","-60.076575","
,  
(46.177922, -60.076575)"
"Justice","Community Corrections Office","Community Corrections - Truro","14","Court Street","Suite 206","Truro","Nova Scotia","B2N 3H7","45.366584","-63.288424","
,  
(45.366584, -63.288424)"
"Justice","Community Corrections Office","Community Corrections - North Sydney","14","Summer Street",,"North Sydney","Nova Scotia","B2A 1H9","46.207544","-60.251637","
,  
(46.207544, -60.251637)"
"Justice","Youth Correctional Facility","Nova Scotia Youth Facility","1442","County Home Road","PO Box 100","Waterville","Nova Scotia","B0P 1V0","45.053507","-64.666592","
,  
(45.053507, -64.666592)"
"Justice","Community Corrections Office","Community Corrections - Port Hawkesbury","15","Kennedy Street","Suite 301","Port Hawkesbury","Nova Scotia","B9A 2Y1","45.612686","-61.359224","
,  
(45.612686, -61.359224)"
"Justice","Community Corrections Office","Community Corrections - Antigonish","155","Main Street","Suite 102","Antigonish","Nova Scotia","B2G 2B6","45.623003","-61.987096","
,  
(45.623003, -61.987096)"
"Justice","Community Corrections Office","Community Corrections - Bedford","1550","Bedford Highway","2nd Floor, Sun Office Tower","Bedford","Nova Scotia","B4A 1E6","44.732148","-63.657439","
,  
(44.732148, -63.657439)"
"Justice","Community Corrections Office","Community Corrections - Shelburne","157","Water Street","Enterprise Square, Suite L-7, PO Box 1004","Shelburne","Nova Scotia","B0T 1W0","43.769452","-65.472239","
,  
(43.769452, -65.472239)"
"Justice","Community Corrections Office","Community Corrections - New Glasgow","161","Terra Cotta Drive","Suite 2","New Glasgow","Nova Scotia","B2H 6B6","45.571347","-62.638683","
,  
(45.571347, -62.638683)"
"Justice","Community Corrections Office","Community Corrections - Yarmouth","164","Main Street","Suite 101","Yarmouth","Nova Scotia","B5A 1C2","43.830299","-66.120603","
,  
(43.830299, -66.120603)"
"Justice","Community Corrections Office","Community Corrections - Windsor","176","Water Street","PO Box 3118","Windsor","Nova Scotia","B0N 2T0","44.993981","-64.140238","
,  
(44.993981, -64.140238)"
"Justice","Adult Correctional Facility","Southwest Nova Scotia Correctional Facility","227","Forest Street",,"Yarmouth","Nova Scotia","B5A 4A8","43.83055","-66.093901","
,  
(43.83055, -66.093901)"
"Justice","Community Corrections Office","Community Corrections - Amherst","26-28","Prince Arthur Street","Suite 101","Amherst","Nova Scotia","B4H 1V6","45.833185","-64.210583","
,  
(45.833185, -64.210583)"
"Justice","Community Corrections Office","Community Corrections - Spryfield","264","Herring Cove Road","Unit 301","Halifax","Nova Scotia","B3P 1M1","44.618327","-63.614746","
,  
(44.618327, -63.614746)"
"Justice","Community Corrections Office","Community Corrections - Dartmouth","277","Pleasant Street","Suite 112","Dartmouth","Nova Scotia","B2Y 4B7","44.655774","-63.549188","
,  
(44.655774, -63.549188)"
"Justice","Community Corrections Office","Halifax Youth Attendance Centre","277","Pleasant Street","Suite 101","Dartmouth","Nova Scotia","B2Y 4B7","44.655774","-63.549188","
,  
(44.655774, -63.549188)"
"Justice","Community Corrections Office","Community Corrections - Middleton","291","Marshall Street","Unit 1, PO Box 430","Middleton","Nova Scotia","B0S 1P0","44.945529","-65.069997","
,  
(44.945529, -65.069997)"
"Justice","Community Corrections Office","Community Corrections - Shubenacadie","5","Mill Village Road","Suite 205, PO Box 138","Shubenacadie","Nova Scotia","B0N 2H0","45.086924","-63.409167","
,  
(45.086924, -63.409167)"
"Justice","Community Corrections Office","Community Corrections - Sydney","66","Wentworth Street","Suite 100","Sydney","Nova Scotia","B1P 6T4","46.13699","-60.193031","
,  
(46.13699, -60.193031)"
