"pa_senate","partial","full","population","partial_percent","full_percent","centroid","last_name","first_name","district_label"
,"100039.0","382142.0",,,,,,,
"5",,,"262971.0",,,"POINT (-75.02467567499421 40.064290367061965)","Sabatina","John","5 - J. Sabatina"
"10","32624.0","180423.0","251457.0","0.13","0.718","POINT (-75.08928978189827 40.33215476863282)","Santarsiero","Steve","10 - S. Santarsiero"
"42","30184.0","167240.0","260457.0","0.116","0.642","POINT (-80.04083276944205 40.44912201409071)","Fontana","Wayne","42 - W. Fontana"
"24","22347.0","162778.0","252851.0","0.088","0.644","POINT (-75.4533628308997 40.40075091514789)","Mensch","Bob","24 - B. Mensch"
"37","31176.0","207685.0","270482.0","0.115","0.768","POINT (-80.13815574950912 40.41632023659214)","Robinson","Devlin","37 - D. Robinson"
"25","13323.0","100628.0","241794.0","0.055","0.416","POINT (-78.10630568820116 41.54166351543701)","Dush","Cris","25 - C. Dush"
"14","19354.0","151916.0","260773.0","0.074","0.583","POINT (-75.77802676976697 41.021941259007235)","Yudichak","John","14 - J. Yudichak"
"20","17877.0","122044.0","242225.0","0.074","0.504","POINT (-75.51729 41.81079)","Baker","Lisa","20 - L. Baker"
"46","17563.0","127428.0","251656.0","0.07","0.506","POINT (-80.2482713886385 40.08166988191816)","Bartolotta","Camera","46 - C. Bartolotta"
"29","14686.0","138197.0","248281.0","0.059","0.557","POINT (-76.16504528188563 40.62919198412384)","Argall","David","29 - D. Argall"
"1",,,"273038.0",,,"POINT (-75.1757873779507 39.92076789438527)","Saval","Nikil","1 - N. Saval"
"6","31268.0","169886.0","253595.0","0.123","0.67","POINT (-74.95779870570261 40.17643995187978)","Tomlinson","Robert","6 - R. Tomlinson"
"28","16707.0","146153.0","264893.0","0.063","0.552","POINT (-76.63129565424838 39.85373664678929)","Phillips Hill","Kristin","28 - K. Phillips Hill"
"38","29196.0","188829.0","258870.0","0.113","0.729","POINT (-79.93370967805471 40.59295072313321)","Williams","Lindsey","38 - L. Williams"
"21","16796.0","131457.0","258653.0","0.065","0.508","POINT (-79.48660110335146 41.42589627733387)","Hutchinson","Scott","21 - S. Hutchinson"
"33","15551.0","138348.0","268993.0","0.058","0.514","POINT (-77.37501533154557 39.904212524228335)","Mastriano","Doug","33 - D. Mastriano"
"9","32577.0","172995.0","261728.0","0.124","0.661","POINT (-75.55591416741188 39.896685098960134)","Kane","John","9 - J. Kane"
"13","20398.0","152309.0","267280.0","0.076","0.57","POINT (-76.19836505900142 39.93888732988006)","Martin","Scott","13 - S. Martin"
"41","12713.0","111409.0","237760.0","0.053","0.469","POINT (-79.37476855351106 40.7418541622762)","Pittman","Joe","41 - J. Pittman"
"2",,,"269626.0",,,"POINT (-75.0853864918833 40.03647669017344)","Tartaglione","Christine","2 - C. Tartaglione"
"32","13718.0","105044.0","245624.0","0.056","0.428","POINT (-79.306477372794 39.957637512512505)","Stefano","Patrick","32 - P. Stefano"
"34","15478.0","125439.0","249862.0","0.062","0.502","POINT (-77.71635881599133 40.752191267392895)","Corman","Jake","34 - J. Corman"
"45","20971.0","150177.0","255297.0","0.082","0.588","POINT (-79.79031090579373 40.42007150421113)","Brewster","Jim","45 - J. Brewster"
"17","45572.0","203375.0","263431.0","0.173","0.772","POINT (-75.321241590335 40.071122451051814)","Cappelletti","Amanda","17 - A. Cappelletti"
"22","20316.0","163309.0","253499.0","0.08","0.644","POINT (-75.54520310541992 41.36848924107238)","Flynn","Marty","22 - M. Flynn"
"44","32499.0","191617.0","266702.0","0.122","0.718","POINT (-75.67992152370373 40.15036255065388)","Muth","Katie","44 - K. Muth"
"27","11993.0","130644.0","246508.0","0.049","0.53","POINT (-76.6173410268452 40.94192762561213)","Gordner","John","27 - J. Gordner"
"12","32723.0","187546.0","250853.0","0.13","0.748","POINT (-75.19387417597918 40.2198434290123)","Collett","Maria","12 - M. Collett"
"49","19762.0","137112.0","241908.0","0.082","0.567","POINT (-80.10116045340445 42.0408039589746)","Laughlin","Daniel","49 - D. Laughlin"
"7",,,"256285.0",,,"POINT (-75.25515 40.1052)","Hughes","Vincent","7 - V. Hughes"
"39","16374.0","129900.0","238488.0","0.069","0.545","POINT (-79.41195217957937 40.27582619909757)","Ward","Kim","39 - K. Ward"
"3",,,"239092.0",,,"POINT (-75.1628283497817 40.02062403146691)","Street","Sharif","3 - S. Street"
"35","11805.0","103890.0","243311.0","0.049","0.427","POINT (-78.7252 40.48536)","Langerholc","Wayne","35 - W. Langerholc"
"48","18753.0","144273.0","264097.0","0.071","0.546","POINT (-76.54666860417036 40.29365867473243)","Gebhard","Chris","48 - C. Gebhard"
"18","22505.0","179026.0","265678.0","0.085","0.674","POINT (-75.34669492036116 40.63306413454525)","Boscola","Lisa","18 - L. Boscola"
"50","14328.0","108548.0","240162.0","0.06","0.452","POINT (-80.08656093520004 41.60892209004289)","Brooks","Michele","50 - M. Brooks"
"16","21728.0","185280.0","272459.0","0.08","0.68","POINT (-75.60778772393643 40.61184391198536)","Browne","Patrick","16 - P. Browne"
"31","29942.0","168626.0","266737.0","0.112","0.632","POINT (-77.03470055300913 40.12177081260411)","Regan","Mike","31 - M. Regan"
"11","21698.0","147895.0","257776.0","0.084","0.574","POINT (-75.88043916812944 40.361128048317326)","Schwank","Judith","11 - J. Schwank"
"43","35463.0","160330.0","251340.0","0.141","0.638","POINT (-79.87936420476514 40.4429477091874)","Costa","Jay","43 - J. Costa"
"40","18080.0","154567.0","262928.0","0.069","0.588","POINT (-75.32828664517926 40.928818720725694)","Scavello","Mario","40 - M. Scavello"
"26","34011.0","190372.0","261232.0","0.13","0.729","POINT (-75.38192128307863 39.95614557280219)","Kearney","Tim","26 - T. Kearney"
"23","13584.0","104689.0","242656.0","0.056","0.431","POINT (-76.70708208728053 41.51999950089159)","Yaw","Gene","23 - G. Yaw"
"8",,,"247451.0",,,"POINT (-75.24237395310004 39.92409532326346)","Williams","Anthony","8 - A. Williams"
"36","15415.0","149961.0","269214.0","0.057","0.557","POINT (-76.30214249648809 40.156569681024784)","Aument","Ryan","36 - R. Aument"
"30","13407.0","101408.0","244036.0","0.055","0.416","POINT (-78.01547007556418 40.20210183664665)","Ward","Judy","30 - J. Ward"
"19","37701.0","183239.0","272056.0","0.139","0.674","POINT (-75.79733197488753 39.90413664568838)","Comitta","Carolyn","19 - C. Comitta"
"4",,,"264218.0",,,"POINT (-75.15155338106844 40.087125515367795)","Haywood","Arthur","4 - A. Haywood"
"47","18118.0","124073.0","242809.0","0.075","0.511","POINT (-80.3116093293344 40.860840828017906)","Vogel","Elder","47 - E. Vogel"
"15","25478.0","150010.0","257413.0","0.099","0.583","POINT (-77.0434453727344 40.42199840948143)","DiSanto","John","15 - J. DiSanto"
