"sanitation_district","tons","date","day_of_week","month"
"1","4.86","2012-10-01T00:00:00.000","MON","OCT"
"1","5.8","2012-10-01T00:00:00.000","MON","OCT"
"1","6.28","2012-10-01T00:00:00.000","MON","OCT"
"1","6.06","2012-10-01T00:00:00.000","MON","OCT"
"1","7.06","2012-10-01T00:00:00.000","MON","OCT"
"1","10.75","2012-10-01T00:00:00.000","MON","OCT"
"1","5.29","2012-10-01T00:00:00.000","MON","OCT"
"1","7.03","2012-10-01T00:00:00.000","MON","OCT"
"1","7.59","2012-10-01T00:00:00.000","MON","OCT"
"1","7.79","2012-10-01T00:00:00.000","MON","OCT"
"1","7.62","2012-10-01T00:00:00.000","MON","OCT"
"1","7.27","2012-10-01T00:00:00.000","MON","OCT"
"1","7.38","2012-10-01T00:00:00.000","MON","OCT"
"1","9.22","2012-10-01T00:00:00.000","MON","OCT"
"1","7.18","2012-10-01T00:00:00.000","MON","OCT"
"1","7.8","2012-10-01T00:00:00.000","MON","OCT"
"1","4.04","2012-10-01T00:00:00.000","MON","OCT"
"1","5.5","2012-10-01T00:00:00.000","MON","OCT"
"1","8.81","2012-10-01T00:00:00.000","MON","OCT"
"1","8.66","2012-10-01T00:00:00.000","MON","OCT"
"1","7.54","2012-10-01T00:00:00.000","MON","OCT"
"1","7.54","2012-10-01T00:00:00.000","MON","OCT"
"1","2.05","2012-10-01T00:00:00.000","MON","OCT"
"1","6.21","2012-10-01T00:00:00.000","MON","OCT"
"1","8.76","2012-10-01T00:00:00.000","MON","OCT"
"1","6.8","2012-10-01T00:00:00.000","MON","OCT"
"1","3.64","2012-10-01T00:00:00.000","MON","OCT"
"1","6.56","2012-10-01T00:00:00.000","MON","OCT"
"1","7.84","2012-10-01T00:00:00.000","MON","OCT"
"1","2.71","2012-10-01T00:00:00.000","MON","OCT"
"1","5.32","2012-10-01T00:00:00.000","MON","OCT"
"1","4.91","2012-10-01T00:00:00.000","MON","OCT"
"1","8.06","2012-10-01T00:00:00.000","MON","OCT"
"1","7.07","2012-10-01T00:00:00.000","MON","OCT"
"1","3.96","2012-10-01T00:00:00.000","MON","OCT"
"1","6.72","2012-10-02T00:00:00.000","TUE","OCT"
"1","4.77","2012-10-02T00:00:00.000","TUE","OCT"
"1","5.17","2012-10-02T00:00:00.000","TUE","OCT"
"1","3.63","2012-10-02T00:00:00.000","TUE","OCT"
"1","9.59","2012-10-02T00:00:00.000","TUE","OCT"
"1","7.75","2012-10-02T00:00:00.000","TUE","OCT"
"1","6.06","2012-10-02T00:00:00.000","TUE","OCT"
"1","6.15","2012-10-02T00:00:00.000","TUE","OCT"
"1","2.26","2012-10-02T00:00:00.000","TUE","OCT"
"1","9.27","2012-10-02T00:00:00.000","TUE","OCT"
