"activity_number","created_date_time","month","year"
"4068","2016-10-01T00:00:00.000","OCT.2016","FY2017"
"3553","2016-11-01T00:00:00.000","NOV.2016","FY2017"
"3730","2016-12-01T00:00:00.000","DEC.2016","FY2017"
"3674","2017-01-01T00:00:00.000","JAN.2017","FY2017"
"3696","2017-02-01T00:00:00.000","FEB.2017","FY2017"
"4341","2017-03-01T00:00:00.000","MAR.2017","FY2017"
"4489","2017-04-01T00:00:00.000","APR.2017","FY2017"
"4313","2017-05-01T00:00:00.000","MAY.2017","FY2017"
"3844","2017-06-01T00:00:00.000","JUN.2017","FY2017"
"4693","2017-07-01T00:00:00.000","JUL.2017","FY2017"
"5106","2017-08-01T00:00:00.000","AUG.2017","FY2017"
"4777","2017-09-01T00:00:00.000","SEP.2017","FY2017"
"2073","2017-10-01T00:00:00.000","FY2017","NEXT_FY"
"4","2017-11-01T00:00:00.000","FY2017","NEXT_FY"
"2","2020-04-01T00:00:00.000","FY2017","NEXT_FY"
