Business Name,Address,Zip Code,Occupancy,Date Approved,Date Issued,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer
SALLIO ITALLIO,3232 MCKINNEY AVE Ste:150,75204,A2,09/29/2017,,"3232 MCKINNEY AVE Ste:15075204
(32.803892, -96.799647)",12,3
"SUNRISE SUPPLY, L.L.C.",2645 RODNEY LN,75229,S2,09/29/2017,11/03/2017,"2645 RODNEY LN75229
(32.900776, -96.887442)",6,3
TEXAS CAPITAL BANK,2000 MCKINNEY AVE Ste:810,75201,B,09/29/2017,12/29/2017,"2000 MCKINNEY AVE Ste:81075201
(32.790753, -96.803571)",12,3
DFW LAUNDROMAT,4398 DALLAS FT WORTH TPKE Ste:103,75211,MIX,09/29/2017,07/05/2018,4398 DALLAS FT WORTH TPKE Ste:10375211,,
FASTSIGNS,1417 N COCKRELL HILL RD Ste:104,75211,M,09/29/2017,11/30/2017,"1417 N COCKRELL HILL RD Ste:10475211
(32.760151, -96.893481)",6,3
KABU DESIGN,2351 SANTA ANNA AVE Ste:16,75228,S1,09/29/2017,10/02/2017,"2351 SANTA ANNA AVE Ste:1675228
(32.855631, -96.672103)",13,3
BRYAN HEIGHTS,1430 GRIGSBY AVE,75204,R2,09/29/2017,10/02/2017,"1430 GRIGSBY AVE75204
(32.803069, -96.775565)",2,3
EDWARD JONES,5151 BELT LINE RD Ste:850,75248,B,09/29/2017,11/09/2017,5151 BELT LINE RD Ste:85075248,,
BRYAN HEIGHTS,4713 BRYAN ST,75204,R2,09/29/2017,10/02/2017,"4713 BRYAN ST75204
(32.802639, -96.774915)",2,3
EASTERN ENDS,9959 ROYAL LN Ste:3,75231,S1,09/29/2017,10/02/2017,"9959 ROYAL LN Ste:375231
(32.894567, -96.719162)",9,3
B & F FLATS,2650 N FITZHUGH AVE,75206,MIX,09/29/2017,09/29/2017,2650 N FITZHUGH AVE75206,,
PRESTON HOLLOW PHASE 2,7775 FIREFALL WAY,75230,R2,09/29/2017,10/02/2017,7775 FIREFALL WAY75230,,
A C HOTEL - RESIDENCE INN MARRIOTT,1712 COMMERCE ST,75201,R1,09/29/2017,10/02/2017,"1712 COMMERCE ST75201
(32.780458, -96.79641)",12,3
HERNANDEZ SQUAD AUTO REPAIR,9751 HARRY HINES BLVD Ste:F,75220,S1,09/29/2017,10/03/2017,"9751 HARRY HINES BLVD Ste:F75220
(32.853609, -96.878896)",6,3
DAMUNCHIES,4121 N WESTMORELAND RD,75212,M,09/29/2017,10/13/2017,"4121 N WESTMORELAND RD75212
(32.792055, -96.873821)",6,3
TV REPAIR CANTU,3880 W LEDBETTER DR Ste:103,75237,B,09/29/2017,10/02/2017,"3880 W LEDBETTER DR Ste:10375237
(32.691132, -96.884433)",3,3
