"activity_number","animal_intake_id","month"
"3674","918","JAN.2017"
"4693","1312","JUL.2017"
"3844","1352","JUN.2017"
"3730","914","DEC.2016"
"5106","1368","AUG.2017"
"3696","984","FEB.2017"
"4777","1363","SEP.2017"
"4313","1503","MAY.2017"
"3553","874","NOV.2016"
"4489","1373","APR.2017"
"4341","1294","MAR.2017"
"2079","588","FY2017"
"4068","941","OCT.2016"
