"title","text"
"Opening Statement","Opening statement lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum hendrerit vehicula urna in placerat. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Integer sed orci nec nibh condimentum ullamcorper. Mauris porta malesuada convallis."
"App Statement","This is a collection of applications that have been developed and built by individuals and organizations using datasets published by the City of Dallas. Submit yours today!"
