"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"BEL 48-3675","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","NP","Times Over Voted","0"
"M-V 05-0697","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 3","5","9","8","Total","<NP>","No","155"
"KIR 01-0019","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","1","1","1","Total","NP","Times Counted","330"
"FED 30-3024","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Registered Voters","346"
"ISS 05-0545","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","5","3","8","Total","NP","Registered Voters","323"
"BEL 48-0151","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","NP","Registered Voters","410"
"KIR 45-0616","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","NP","Times Over Voted","0"
"SHL 32-0903","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Times Under Voted","7"
"KEN 33-0591","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","33","5","9","Total","<NP>","Yes","42"
"BEL 41-2621","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","41","6","9","Total","NP","Registered Voters","587"
"WOLF","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 2","5","3","8","Total","NP","Times Under Voted","17"
"SAM 41-2942","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","41","3","8","Total","NP","Registered Voters","754"
"KEN 33-0593","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","33","5","9","Total","<NP>","Yes","47"
"KIR 48-3337","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","48","6","1","Total","<NP>","Yes","1"
"DES 33-0437","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","9","Total","NP","Times Under Voted","0"
"DOUGLAS","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 2","45","3","1","Total","<NP>","Yes","49"
