"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"ALDARRA","King County Fire Protection District No. 10 Proposition No. 1","5","3","8","Total","NP","APPROVED","36.00"
"ALDARRA","King County Fire Protection District No. 10 Proposition No. 1","5","3","8","Total","NP","Registered Voters","125.00"
"ALDARRA","King County Fire Protection District No. 10 Proposition No. 1","5","3","8","Total","NP","REJECTED","32.00"
"ALDARRA","King County Fire Protection District No. 10 Proposition No. 1","5","3","8","Total","NP","Times Blank Voted","0.00"
"ALDARRA","King County Fire Protection District No. 10 Proposition No. 1","5","3","8","Total","NP","Times Counted","68.00"
"ALDARRA","King County Fire Protection District No. 10 Proposition No. 1","5","3","8","Total","NP","Times Over Voted","0.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","NO","52.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Registered Voters","428.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Blank Voted","1.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Counted","105.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","YES","52.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","APPROVED","48.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Registered Voters","428.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","REJECTED","57.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Counted","105.00"
"ALG 30-0013","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","NO","49.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Registered Voters","462.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Counted","119.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","YES","70.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","APPROVED","66.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Registered Voters","462.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","REJECTED","53.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Counted","119.00"
"ALG 30-0014","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","NO","1.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Registered Voters","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Counted","1.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","YES","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","NO","1.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Registered Voters","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Times Counted","1.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-0014","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","YES","0.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","NO","72.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Registered Voters","474.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Blank Voted","3.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Counted","145.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 1","30","7","9","Total","NP","YES","70.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","APPROVED","67.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Registered Voters","474.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","REJECTED","74.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Blank Voted","4.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Counted","145.00"
"ALG 30-3141","Auburn School District No. 408 Proposition No. 2","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","NO","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Registered Voters","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Counted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","YES","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","NO","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Registered Voters","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Times Blank Voted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Times Counted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","Times Over Voted","0.00"
"ALG 30-3141","Federal Way School District No. 210 Proposition No. 2","30","7","9","Total","NP","YES","0.00"
"AMES LAKE","King County Fire Protection District No. 10 Proposition No. 1","45","3","8","Total","NP","APPROVED","18.00"
"AMES LAKE","King County Fire Protection District No. 10 Proposition No. 1","45","3","8","Total","NP","Registered Voters","76.00"
"AMES LAKE","King County Fire Protection District No. 10 Proposition No. 1","45","3","8","Total","NP","REJECTED","12.00"
"AMES LAKE","King County Fire Protection District No. 10 Proposition No. 1","45","3","8","Total","NP","Times Blank Voted","0.00"
"AMES LAKE","King County Fire Protection District No. 10 Proposition No. 1","45","3","8","Total","NP","Times Counted","30.00"
"AMES LAKE","King County Fire Protection District No. 10 Proposition No. 1","45","3","8","Total","NP","Times Over Voted","0.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 1","37","2","7","Total","NP","NO","72.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 1","37","2","7","Total","NP","Registered Voters","675.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 1","37","2","7","Total","NP","Times Blank Voted","3.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 1","37","2","7","Total","NP","Times Counted","156.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 1","37","2","7","Total","NP","Times Over Voted","0.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 1","37","2","7","Total","NP","YES","81.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 2","37","2","7","Total","NP","APPROVED","74.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 2","37","2","7","Total","NP","Registered Voters","675.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 2","37","2","7","Total","NP","REJECTED","79.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 2","37","2","7","Total","NP","Times Blank Voted","3.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 2","37","2","7","Total","NP","Times Counted","156.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 2","37","2","7","Total","NP","Times Over Voted","0.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 3","37","2","7","Total","NP","NO","72.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 3","37","2","7","Total","NP","Registered Voters","675.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 3","37","2","7","Total","NP","Times Blank Voted","10.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 3","37","2","7","Total","NP","Times Counted","156.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 3","37","2","7","Total","NP","Times Over Voted","0.00"
"ANGEL CITY","Renton School District No. 403 Proposition No. 3","37","2","7","Total","NP","YES","74.00"
"ANGELO","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","NO","85.00"
"ANGELO","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Registered Voters","426.00"
"ANGELO","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Blank Voted","1.00"
"ANGELO","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Counted","152.00"
"ANGELO","Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Over Voted","0.00"
