"bookingid","eventtype","eta","lat","lon","route","onrouteorder"
"0","routestart","07:25:00","47.417","-122.232","55","1"
"50770538","pick","08:03:00","47.402","-122.2","55","4752008"
"50765208","pick","08:47:10","47.404","-122.208","55","6336022"
"50770538","drop","08:56:42","47.381","-122.235","55","10956930"
"50765208","drop","09:05:59","47.335","-122.222","55","12497218"
"0","break","09:25:00","47.336","-122.223","55","57812494"
"50820658","pick","10:11:28","47.33","-122.34","55","57865776"
"50820658","drop","10:50:11","47.32","-122.309","55","57905747"
"50766716","pick","10:50:31","47.308","-122.36","55","58025690"
"50767350","pick","11:05:11","47.309","-122.309","55","58587726"
"50767350","drop","11:17:59","47.317","-122.313","55","59009243"
"50766716","drop","11:42:48","47.304","-122.225","55","60273793"
"50807610","pick","11:50:48","47.323","-122.218","55","63724466"
"50768280","pick","12:02:04","47.326","-122.21","55","64505693"
"50768280","drop","12:24:28","47.417","-122.232","55","65091663"
"50807610","drop","12:37:59","47.411","-122.205","55","66849484"
"50766192","pick","13:15:00","47.44","-122.236","55","67809012"
"50819262","pick","13:38:01","47.44","-122.236","55","68528665"
"50819262","drop","14:53:53","47.457","-122.182","55","70147856"
"50766192","drop","14:53:54","47.451","-122.196","55","72177617"
"0","break","14:53:55","47.451","-122.196","55","77840132"
"0","break","15:02:00","47.442","-122.2","55","96065190"
"50781400","pick","16:10:38","47.381","-122.235","55","96931320"
"50781400","drop","16:33:00","47.359","-122.288","55","97481411"
"0","break","16:58:00","47.423","-122.233","55","98663672"
"0","break","17:13:43","47.418","-122.232","55","98997770"
"0","routeend","17:18:24","47.417","-122.232","55","99999998"
"0","routestart","11:00:00","47.417","-122.232","60","1"
"0","break","11:10:01","47.367","-122.092","60","10546861"
"50764908","pick","12:27:00","47.473","-122.329","60","18749977"
"50767142","pick","12:42:25","47.423","-122.33","60","23437469"
"50767142","drop","13:14:10","47.44","-122.236","60","24609359"
"50764908","drop","13:44:10","47.44","-122.236","60","24902330"
"50766186","pick","14:04:35","47.44","-122.236","60","68359394"
"50766294","pick","14:06:04","47.44","-122.236","60","76269523"
"50766186","drop","14:35:00","47.285","-122.195","60","82202171"
"50766294","drop","14:41:21","47.285","-122.195","60","86651641"
"0","break","14:44:00","47.285","-122.195","60","89988712"
"0","break","15:16:08","47.399","-122.228","60","97497202"
"0","routeend","15:24:00","47.417","-122.232","60","99999998"
"0","routestart","07:45:00","47.531","-122.323","96","1"
"50821280","pick","08:43:00","47.724","-122.348","96","24999997"
