"precinct","race","legislativedistrict","countycouncil","congressionaldistrict","countergroup","countertype","sumofcount"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Registered Voters","542"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Times Counted","107"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Times Under Voted","3"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","No","24"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Yes","80"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Registered Voters","542"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Times Counted","107"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Times Under Voted","0"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","No","29"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Yes","78"
"SHL 32-0001","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Times Over Voted","0"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","Registered Voters","542"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","Times Counted","107"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","Times Under Voted","1"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","No","29"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","Yes","77"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","Times Over Voted","0"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Registered Voters","492"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Times Counted","166"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Times Under Voted","8"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","No","44"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Yes","114"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","Times Over Voted","0"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Registered Voters","492"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Times Counted","166"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Times Under Voted","0"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","No","49"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Yes","117"
"SHL 32-0024","Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","Times Over Voted","0"
"SHL 32-0024","City of Shoreline Proposition No. 1","32","1","7","Total","Registered Voters","492"
"SHL 32-0024","City of Shoreline Proposition No. 1","32","1","7","Total","Times Counted","166"
"SHL 32-0024","City of Shoreline Proposition No. 1","32","1","7","Total","Times Under Voted","1"
"SHL 32-0024","City of Shoreline Proposition No. 1","32","1","7","Total","No","58"
"SHL 32-0024","City of Shoreline Proposition No. 1","32","1","7","Total","Yes","107"
"SHL 32-0024","City of Shoreline Proposition No. 1","32","1","7","Total","Times Over Voted","0"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","Registered Voters","350"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","Times Counted","129"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","Times Under Voted","0"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","Yes","68"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","No","61"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","Times Over Voted","0"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","Registered Voters","350"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","Times Counted","129"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","Times Under Voted","0"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","Yes","65"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","No","64"
"BEL 48-0207","Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","Times Over Voted","0"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Registered Voters","363"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Counted","150"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Under Voted","0"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Yes","111"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","No","39"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Over Voted","0"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Registered Voters","363"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Times Counted","150"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Times Under Voted","1"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Yes","111"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","No","38"
"SEA 36-1730","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Times Over Voted","0"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Registered Voters","428"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Counted","147"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Under Voted","0"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Yes","120"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","No","27"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Over Voted","0"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Registered Voters","428"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Times Counted","147"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Times Under Voted","0"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Yes","125"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","No","22"
"SEA 36-1731","Seattle School District No. 1 Proposition No. 2","36","4","7","Total","Times Over Voted","0"
"SEA 36-1732","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Registered Voters","492"
"SEA 36-1732","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Counted","172"
"SEA 36-1732","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Under Voted","0"
"SEA 36-1732","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Yes","142"
"SEA 36-1732","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","No","30"
"SEA 36-1732","Seattle School District No. 1 Proposition No. 1","36","4","7","Total","Times Over Voted","0"
