"raskc_performance_measure","month","year","value"
"Animal Control Officer Service Calls","Jan","2017","462"
"Animal Control Officer Service Calls","Feb","2017","448"
"Animal Control Officer Service Calls","Mar","2017","437"
"Animal Control Officer Service Calls","Apr","2017","500"
"Animal Control Officer Service Calls","May","2017","563"
"Animal Control Officer Service Calls","Jun","2017","470"
"Animal Control Officer Service Calls","Jul","2017","549"
"Animal Control Officer Service Calls","Aug","2017","552"
"Animal Control Officer Service Calls","Sep","2017","495"
"Animal Control Officer Service Calls","Oct","2017","495"
"Animal Control Officer Service Calls","Nov","2017","358"
"Animal Control Officer Service Calls","Dec","2017","390"
