"impound_no","data_source","record_type","link","current_location","animal_name","animal_type","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo"
"K22-150774","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672064","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","The Brain","Cat","Female","Domestic Shorthair","White / Black","2022-09-09T00:00:00.000","Received on","2400 block of  S 260TH ST","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672064","Image Copyright HLP Inc. 2022","Received on: 2022-09-09<p/> Found Near: 2400 block of  S 260TH ST<p/> Description: White / Black Female Domestic Shorthair Cat<p/> Age: 13 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150783","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Dog","Female","Yorkshire Terrier","Gray / Tan","2022-09-09T00:00:00.000","Received on","12500 block of  SE GREEN VALLEY RD","AUBURN","WA","98092","KING COUNTY","47.300881","-122.175364",,"Image Copyright HLP Inc. 2022","Received on: 2022-09-09<p/> Found Near: 12500 block of  SE GREEN VALLEY RD<p/> Description: Gray / Tan Female Yorkshire Terrier Dog<p/> Age: NO AGE<p/>"
"K22-149410","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479186","In Public Home",,"Dog","Female","German Shepherd","Unknown","2022-08-08T00:00:00.000","Date Found","30400 block of  155TH PL",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479186","Image Copyright HLP Inc. 2022","<p/>Age: Unknown<p/>Found Near: 30400 block of  155TH PL <p/>Found Date: 2022-08-08<p/>"
"K22-150821","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672183","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Male","Domestic Shorthair","Gray","2022-09-10T00:00:00.000","Received on","24400 block of  148TH AVE SE","KENT","WA","98042","COVINGTON",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672183","Image Copyright HLP Inc. 2022","Received on: 2022-09-10<p/> Found Near: 24400 block of  148TH AVE SE<p/> Description: Gray Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149770","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","Unknown","Domestic Shorthair","Black","2022-08-15T00:00:00.000","Received on","17000 block of  RENTON ISSAQUAH RD SE","ISSAQUAH","WA","98027","KING COUNTY",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-08-15<p/> Found Near: 17000 block of  RENTON ISSAQUAH RD SE<p/> Description: Black Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/>"
"K22-149373","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2478569","In Public Home","Terri L Beni","Cat","Male","Domestic Mediumhair","Unknown","2022-07-31T00:00:00.000","Date Found","14TH  AVE S AND 240TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2478569","Image Copyright HLP Inc. 2022","Description: Orange medium hair neutered male tabby mix.  Bushy tail. Yellow eyes. VERY friendly<p/>Age: Over 1 year<p/>Found Near: 14th Ave S and 240th St, Seattle WA  98198<p/>Found Date: 2022-07-31<p/>"
"K22-150852","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672276","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Male","Domestic Longhair","Org Tabby","2022-09-11T00:00:00.000","Received on","180TH  AVE SE","AUBURN","WA","98092","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672276","Image Copyright HLP Inc. 2022","Received on: 2022-09-11<p/> Found Near: 180TH  AVE SE<p/> Description: Org Tabby Male Domestic Longhair Cat<p/> Age: 5 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150865","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672347","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Female","Domestic Shorthair","Tortie","2022-09-12T00:00:00.000","Received on","25300 block of  117TH PL SE","KENT","WA","98030","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672347","Image Copyright HLP Inc. 2022","Received on: 2022-09-12<p/> Found Near: 25300 block of  117TH PL SE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150668","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671898","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Elwyn","Dog","Female","Labrador Retriever / Mix","Tan","2022-09-06T00:00:00.000","Received on","21600 block of  64TH AVE S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671898","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Tan Female Labrador Retriever / Mix Dog<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150642","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671865","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Fiona","Cat","Spayed Female","Domestic Shorthair","Brn Tabby","2022-09-06T00:00:00.000","Received on","35700 block of  26TH AVE S","FEDERAL WAY","WA","98003","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671865","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 35700 block of  26TH AVE S<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
