"race","precinct","legislative_district","county_council_district","congressional_district","party","candidate","sumofcount"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ADAIR","45","3","8","NP","APPROVED","277.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ADAIR","45","3","8","NP","Registered Voters","806.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ADAIR","45","3","8","NP","REJECTED","415.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ADAIR","45","3","8","NP","Times Blank Voted","46.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ADAIR","45","3","8","NP","Times Counted","738.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ADAIR","45","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDARRA","5","3","8","NP","APPROVED","138.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDARRA","5","3","8","NP","Registered Voters","590.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDARRA","5","3","8","NP","REJECTED","290.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDARRA","5","3","8","NP","Times Blank Voted","27.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDARRA","5","3","8","NP","Times Counted","455.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDARRA","5","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDER SPRINGS","45","3","1","NP","APPROVED","86.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDER SPRINGS","45","3","1","NP","Registered Voters","496.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDER SPRINGS","45","3","1","NP","REJECTED","281.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDER SPRINGS","45","3","1","NP","Times Blank Voted","29.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDER SPRINGS","45","3","1","NP","Times Counted","396.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDER SPRINGS","45","3","1","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDERWOOD","45","3","8","NP","APPROVED","121.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDERWOOD","45","3","8","NP","Registered Voters","432.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDERWOOD","45","3","8","NP","REJECTED","165.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDERWOOD","45","3","8","NP","Times Blank Voted","44.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDERWOOD","45","3","8","NP","Times Counted","330.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALDERWOOD","45","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0013","30","7","9","NP","APPROVED","67.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0013","30","7","9","NP","Registered Voters","384.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0013","30","7","9","NP","REJECTED","132.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0013","30","7","9","NP","Times Blank Voted","15.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0013","30","7","9","NP","Times Counted","214.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0013","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0014","30","7","9","NP","APPROVED","82.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0014","30","7","9","NP","Registered Voters","433.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0014","30","7","9","NP","REJECTED","165.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0014","30","7","9","NP","Times Blank Voted","20.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0014","30","7","9","NP","Times Counted","267.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-0014","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-3141","30","7","9","NP","APPROVED","74.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-3141","30","7","9","NP","Registered Voters","483.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-3141","30","7","9","NP","REJECTED","193.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-3141","30","7","9","NP","Times Blank Voted","20.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-3141","30","7","9","NP","Times Counted","287.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALG 30-3141","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALLEN","41","6","8","NP","APPROVED","88.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALLEN","41","6","8","NP","Registered Voters","352.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALLEN","41","6","8","NP","REJECTED","126.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALLEN","41","6","8","NP","Times Blank Voted","27.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALLEN","41","6","8","NP","Times Counted","241.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALLEN","41","6","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALPINE","5","3","8","NP","APPROVED","103.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALPINE","5","3","8","NP","Registered Voters","539.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALPINE","5","3","8","NP","REJECTED","255.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALPINE","5","3","8","NP","Times Blank Voted","33.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALPINE","5","3","8","NP","Times Counted","391.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALPINE","5","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALTA VISTA","32","6","1","NP","APPROVED","169.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALTA VISTA","32","6","1","NP","Registered Voters","659.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALTA VISTA","32","6","1","NP","REJECTED","272.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALTA VISTA","32","6","1","NP","Times Blank Voted","33.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALTA VISTA","32","6","1","NP","Times Counted","474.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ALTA VISTA","32","6","1","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AMES LAKE","45","3","8","NP","APPROVED","184.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AMES LAKE","45","3","8","NP","Registered Voters","780.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AMES LAKE","45","3","8","NP","REJECTED","362.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AMES LAKE","45","3","8","NP","Times Blank Voted","52.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AMES LAKE","45","3","8","NP","Times Counted","598.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AMES LAKE","45","3","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGEL CITY","37","2","7","NP","APPROVED","170.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGEL CITY","37","2","7","NP","Registered Voters","662.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGEL CITY","37","2","7","NP","REJECTED","199.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGEL CITY","37","2","7","NP","Times Blank Voted","39.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGEL CITY","37","2","7","NP","Times Counted","409.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGEL CITY","37","2","7","NP","Times Over Voted","1.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGELO","30","7","9","NP","APPROVED","89.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGELO","30","7","9","NP","Registered Voters","420.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGELO","30","7","9","NP","REJECTED","205.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGELO","30","7","9","NP","Times Blank Voted","22.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGELO","30","7","9","NP","Times Counted","316.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ANGELO","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARIA","47","9","8","NP","APPROVED","115.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARIA","47","9","8","NP","Registered Voters","436.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARIA","47","9","8","NP","REJECTED","207.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARIA","47","9","8","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARIA","47","9","8","NP","Times Counted","338.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARIA","47","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARTHUR","5","9","8","NP","APPROVED","135.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARTHUR","5","9","8","NP","Registered Voters","801.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARTHUR","5","9","8","NP","REJECTED","455.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARTHUR","5","9","8","NP","Times Blank Voted","44.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARTHUR","5","9","8","NP","Times Counted","634.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ARTHUR","5","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ATKINSON","5","9","8","NP","APPROVED","102.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ATKINSON","5","9","8","NP","Registered Voters","564.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ATKINSON","5","9","8","NP","REJECTED","289.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ATKINSON","5","9","8","NP","Times Blank Voted","36.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ATKINSON","5","9","8","NP","Times Counted","427.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","ATKINSON","5","9","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-1066","30","7","9","NP","APPROVED","60.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-1066","30","7","9","NP","Registered Voters","367.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-1066","30","7","9","NP","REJECTED","187.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-1066","30","7","9","NP","Times Blank Voted","15.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-1066","30","7","9","NP","Times Counted","262.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-1066","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-2573","30","7","9","NP","APPROVED","140.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-2573","30","7","9","NP","Registered Voters","636.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-2573","30","7","9","NP","REJECTED","296.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-2573","30","7","9","NP","Times Blank Voted","34.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-2573","30","7","9","NP","Times Counted","470.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-2573","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3486","30","7","9","NP","APPROVED","2.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3486","30","7","9","NP","Registered Voters","32.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3486","30","7","9","NP","REJECTED","14.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3486","30","7","9","NP","Times Blank Voted","4.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3486","30","7","9","NP","Times Counted","20.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3486","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3518","30","7","9","NP","APPROVED","112.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3518","30","7","9","NP","Registered Voters","624.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3518","30","7","9","NP","REJECTED","267.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3518","30","7","9","NP","Times Blank Voted","43.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3518","30","7","9","NP","Times Counted","422.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3518","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3538","30","7","9","NP","APPROVED","178.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3538","30","7","9","NP","Registered Voters","708.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3538","30","7","9","NP","REJECTED","308.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3538","30","7","9","NP","Times Blank Voted","35.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3538","30","7","9","NP","Times Counted","521.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3538","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3539","30","7","9","NP","APPROVED","104.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3539","30","7","9","NP","Registered Voters","410.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3539","30","7","9","NP","REJECTED","181.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3539","30","7","9","NP","Times Blank Voted","23.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3539","30","7","9","NP","Times Counted","308.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 30-3539","30","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0042","31","7","8","NP","APPROVED","85.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0042","31","7","8","NP","Registered Voters","490.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0042","31","7","8","NP","REJECTED","225.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0042","31","7","8","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0042","31","7","8","NP","Times Counted","326.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0042","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0046","31","7","9","NP","APPROVED","81.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0046","31","7","9","NP","Registered Voters","327.00"
