"month","year","animals_spayed_neutered"
"Jan","2017","145"
"Feb","2017","127"
"Mar","2017","201"
"Apr","2017","176"
"May","2017","171"
"Jun","2017","304"
"Jul","2017","400"
"Aug","2017","337"
"Sep","2017","368"
"Oct","2017","384"
"Nov","2017","313"
"Dec","2017","188"
