"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","NP","Registered Voters","530"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","NP","Times Counted","77"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","NP","Times Under Voted","10"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","<NP>","Garth Jacobson","16"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","<NP>","Jordan Lemmon","6"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","<NP>","Fred Felleman","45"
"SHL 32-0001","Port of Seattle Commissioner Position No. 5","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","NP","Registered Voters","530"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","NP","Times Counted","77"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","NP","Times Under Voted","9"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Nina Martinez","5"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Grant Degginger","9"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Sam Cho","19"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Ali Scego","3"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Preeti Shridhar","18"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Kelly Charlton","12"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","<NP>","Dominic Barrera","2"
"SHL 32-0001","Port of Seattle Commissioner Position No. 2","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","NP","Registered Voters","530"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","NP","Times Counted","77"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","NP","Times Under Voted","6"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","<NP>","Doris McConnell","31"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","<NP>","David Chen","34"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","<NP>","Ginny Scantlebury","6"
"SHL 32-0001","City of Shoreline Council Position No. 4","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","NP","Registered Voters","530"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","NP","Times Counted","77"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","NP","Times Under Voted","8"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","<NP>","Sara Betnel","42"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","<NP>","Joe Cunningham","26"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","<NP>","Mike Dee McMullin","1"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 5","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Proposition No. 1","32","1","7","Total","NP","Registered Voters","530"
"SHL 32-0001","King County Proposition No. 1","32","1","7","Total","NP","Times Counted","77"
"SHL 32-0001","King County Proposition No. 1","32","1","7","Total","NP","Times Under Voted","5"
"SHL 32-0001","King County Proposition No. 1","32","1","7","Total","<NP>","Approved","53"
"SHL 32-0001","King County Proposition No. 1","32","1","7","Total","<NP>","Rejected","19"
"SHL 32-0001","King County Proposition No. 1","32","1","7","Total","NP","Times Over Voted","0"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","NP","Registered Voters","604"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","NP","Times Counted","95"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","NP","Times Under Voted","10"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","<NP>","Garth Jacobson","24"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","<NP>","Write-in","1"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","<NP>","Jordan Lemmon","9"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","<NP>","Fred Felleman","51"
"RNT 11-0970","City of Renton Mayor","11","5","9","Total","<NP>","Write-in","0"
"BEL 41-0017","Port of Seattle Commissioner Position No. 5","41","6","9","Total","NP","Times Over Voted","0"
"BEL 41-0017","City of Bellevue Council Position No. 5","41","6","9","Total","NP","Registered Voters","604"
"BEL 41-0017","City of Bellevue Council Position No. 5","41","6","9","Total","NP","Times Counted","95"
"BEL 41-0017","City of Bellevue Council Position No. 5","41","6","9","Total","NP","Times Under Voted","5"
"BEL 41-0017","City of Bellevue Council Position No. 5","41","6","9","Total","<NP>","JD Yu","12"
"BEL 41-0017","City of Bellevue Council Position No. 5","41","6","9","Total","<NP>","Janice Zahn","54"
"BEL 41-0017","City of Bellevue Council Position No. 5","41","6","9","Total","<NP>","Mark Wilson","24"
