"race","precinct","leg","cc","countergroup","countertype","count"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","CROW","47","9","Absentee","NO","11"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","CROW","47","9","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","CROW","47","9","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","CROW","47","9","Absentee","Times Counted","46"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","CROW","47","9","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","CROW","47","9","Absentee","YES","35"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","GREEN RIVER","31","9","Absentee","NO","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","GREEN RIVER","31","9","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","GREEN RIVER","31","9","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","GREEN RIVER","31","9","Absentee","Times Counted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","GREEN RIVER","31","9","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","GREEN RIVER","31","9","Absentee","YES","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","KENTLAKE","47","7","Absentee","NO","7"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","KENTLAKE","47","7","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","KENTLAKE","47","7","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","KENTLAKE","47","7","Absentee","Times Counted","81"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","KENTLAKE","47","7","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","KENTLAKE","47","7","Absentee","YES","74"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","MERGANSER","47","7","Absentee","NO","1"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","MERGANSER","47","7","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","MERGANSER","47","7","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","MERGANSER","47","7","Absentee","Times Counted","3"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","MERGANSER","47","7","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","MERGANSER","47","7","Absentee","YES","2"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","NEUWAUKUM","31","9","Absentee","NO","2"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","NEUWAUKUM","31","9","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","NEUWAUKUM","31","9","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","NEUWAUKUM","31","9","Absentee","Times Counted","41"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","NEUWAUKUM","31","9","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","NEUWAUKUM","31","9","Absentee","YES","39"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PHOEBE","5","9","Absentee","NO","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PHOEBE","5","9","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PHOEBE","5","9","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PHOEBE","5","9","Absentee","Times Counted","4"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PHOEBE","5","9","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PHOEBE","5","9","Absentee","YES","4"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PLAINS","47","7","Absentee","NO","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PLAINS","47","7","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PLAINS","47","7","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PLAINS","47","7","Absentee","Times Counted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PLAINS","47","7","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 17 PROPOSITION NO. 1","PLAINS","47","7","Absentee","YES","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","ALDER SPRINGS","45","3","Absentee","APPROVED","25"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","ALDER SPRINGS","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","ALDER SPRINGS","45","3","Absentee","REJECTED","22"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","ALDER SPRINGS","45","3","Absentee","Times Blank Voted","1"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","ALDER SPRINGS","45","3","Absentee","Times Counted","48"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","ALDER SPRINGS","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BACUS","45","3","Absentee","APPROVED","105"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BACUS","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BACUS","45","3","Absentee","REJECTED","45"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BACUS","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BACUS","45","3","Absentee","Times Counted","150"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BACUS","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BIG BEND","45","3","Absentee","APPROVED","69"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BIG BEND","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BIG BEND","45","3","Absentee","REJECTED","21"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BIG BEND","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BIG BEND","45","3","Absentee","Times Counted","90"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","BIG BEND","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","CHERRY VALLEY","45","3","Absentee","APPROVED","81"
