"impound_no","animal_id","data_source","record_type","link","current_location","animal_name","animal_type","age","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo"
"K22-149058","A669299","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","3 YEARS","Female","Domestic Shorthair","Brn Tabby","2022-07-29T00:00:00.000","Received on","27600 block of  46TH AVE S","AUBURN","WA","98001","KING COUNTY",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-07-29<p/> Found Near: 27600 block of  46TH AVE S<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/>"
"K22-149701","A670405","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670405","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Guinea Pig","NO AGE","Unknown","Guinea Pig","Black / White","2022-08-13T00:00:00.000","Received on","10600 block of  22ND PL S","SEATTLE","WA","98168","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670405","Image Copyright HLP Inc. 2022","Received on: 2022-08-13<p/> Found Near: 10600 block of  22ND PL S<p/> Description: Black / White Unknown Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149330","A669774","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","5 WEEKS","Female","Domestic Shorthair","Brn Tabby","2022-08-05T00:00:00.000","Received on","26400 block of  LAKE FENWICK RD S","KENT","WA","98032","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669774","Image Copyright HLP Inc. 2022","Received on: 2022-08-05<p/> Found Near: 26400 block of  LAKE FENWICK RD S<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 5 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149370","A669844","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","12 WEEKS","Female","Domestic Shorthair","Black / White","2022-08-06T00:00:00.000","Received on","4200 block of  S 164TH ST","TUKWILA","WA","98188","TUKWILA",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669844","Image Copyright HLP Inc. 2022","Received on: 2022-08-06<p/> Found Near: 4200 block of  S 164TH ST<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149473","A670040","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","6 WEEKS","Female","Domestic Shorthair","Calico / White","2022-08-08T00:00:00.000","Received on","30800 block of  MILITARY RD S","AUBURN","WA","98001","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670040","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 30800 block of  MILITARY RD S<p/> Description: Calico / White Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-148941","A669026","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2473830","In Public Home",,"Cat","Under 1 year<p/>","Male","Siamese","Brown","2022-07-22T00:00:00.000","Date Found","CHINOOK  AVE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2473830","Image Copyright HLP Inc. 2022","<p/>Age: Under 1 year<p/>Found Near: Chinook Ave , Enumclaw WA  98022<p/>Found Date: 2022-07-22<p/>"
"K22-149410","A669937","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479186","In Public Home",,"Dog","Unknown<p/>","Female","German Shepherd","Unknown","2022-08-08T00:00:00.000","Date Found","30400 block of  155TH PL",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479186","Image Copyright HLP Inc. 2022","<p/>Age: Unknown<p/>Found Near: 30400 block of  155TH PL <p/>Found Date: 2022-08-08<p/>"
"K22-149571","A670194","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670194","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Burek","Barn Cat","1 YEAR","Neutered Male","Domestic Longhair","Black","2022-08-10T00:00:00.000","Received on","20100 block of  15TH AVE S","SEATAC","WA","98198","SEATAC",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670194","Image Copyright HLP Inc. 2022","Received on: 2022-08-10<p/> Found Near: 20100 block of  15TH AVE S<p/> Description: Black Neutered Male Domestic Longhair Barn Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-148296","A667826","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2464969","In Public Home",,"Dog","Unknown<p/>","Male","Pomeranian","Brown","2022-07-09T00:00:00.000","Date Found","NW  EVERWOOD DRIVE AND DATEWOOD CT NE",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2464969","Image Copyright HLP Inc. 2022","Description: Small brownish reddish color.  Looks like part Dachshund and maybe pudgy/bushy Pomeranian.<p/>Age: Unknown<p/>Found Near: NW Everwood Drive and Datewood Ct NE, Issaquah WA  98027<p/>Found Date: 2022-07-09<p/>"
"K22-149770","A670520","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","NO AGE","Unknown","Domestic Shorthair","Black","2022-08-15T00:00:00.000","Received on","17000 block of  RENTON ISSAQUAH RD SE","ISSAQUAH","WA","98027","KING COUNTY",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-08-15<p/> Found Near: 17000 block of  RENTON ISSAQUAH RD SE<p/> Description: Black Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/>"
"K22-149373","A669849","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2478569","In Public Home","Terri L Beni","Cat","Over 1 year<p/>","Male","Domestic Mediumhair","Unknown","2022-07-31T00:00:00.000","Date Found","14TH  AVE S AND 240TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2478569","Image Copyright HLP Inc. 2022","Description: Orange medium hair neutered male tabby mix.  Bushy tail. Yellow eyes. VERY friendly<p/>Age: Over 1 year<p/>Found Near: 14th Ave S and 240th St, Seattle WA  98198<p/>Found Date: 2022-07-31<p/>"
"K22-149427","A669963","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A669963","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Bear","Barn Cat","4 YEARS","Neutered Male","Domestic Shorthair","Black","2022-08-08T00:00:00.000","Received on","6100 block of  S 126TH PL","SEATTLE","WA","98178","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669963","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 6100 block of  S 126TH PL<p/> Description: Black Neutered Male Domestic Shorthair Barn Cat<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149397","A669916","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Suny","Cat","6 WEEKS","Female","Domestic Shorthair","Brn Tabby","2022-08-07T00:00:00.000","Received on","38100 block of  307TH AVE SE","ENUMCLAW","WA","98022","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669916","Image Copyright HLP Inc. 2022","Received on: 2022-08-07<p/> Found Near: 38100 block of  307TH AVE SE<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-148476","A668152","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A668152","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Louie","Barn Cat","8 YEARS","Neutered Male","Domestic Longhair","White / Gray","2022-07-14T00:00:00.000","Received on","12000 block of  SE 220TH PL","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A668152","Image Copyright HLP Inc. 2022","Received on: 2022-07-14<p/> Found Near: 12000 block of  SE 220TH PL<p/> Description: White / Gray Neutered Male Domestic Longhair Barn Cat<p/> Age: 8 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
