"race","precinct","leg","cc","countertype","countergroup","count"
"Attorney General","BOT 01-0252","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0252","1","1","John Ladenburg","Absentee","52"
"Attorney General","BOT 01-0252","1","1","John Ladenburg","Total","64"
"Attorney General","BOT 01-0252","1","1","John Ladenburg","Polling","12"
"Attorney General","BOT 01-0252","1","1","Registered Voters","Total","510"
"Attorney General","BOT 01-0252","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0252","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0252","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0252","1","1","Rob McKenna","Absentee","113"
"Attorney General","BOT 01-0252","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0252","1","1","Rob McKenna","Total","130"
"Attorney General","BOT 01-0252","1","1","Rob McKenna","Polling","17"
"Attorney General","BOT 01-0252","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0252","1","1","Times Blank Voted","Absentee","5"
"Attorney General","BOT 01-0252","1","1","Times Blank Voted","Total","6"
"Attorney General","BOT 01-0252","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-0252","1","1","Times Counted","Absentee","170"
"Attorney General","BOT 01-0252","1","1","Times Counted","Polling","30"
"Attorney General","BOT 01-0252","1","1","Times Counted","Total","200"
"Attorney General","BOT 01-0252","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0252","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0252","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0252","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0252","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0253","1","1","John Ladenburg","Polling","10"
"Attorney General","BOT 01-0253","1","1","John Ladenburg","Total","35"
"Attorney General","BOT 01-0253","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0253","1","1","John Ladenburg","Absentee","25"
"Attorney General","BOT 01-0253","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0253","1","1","Registered Voters","Total","323"
"Attorney General","BOT 01-0253","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0253","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0253","1","1","Rob McKenna","Polling","10"
"Attorney General","BOT 01-0253","1","1","Rob McKenna","Total","43"
"Attorney General","BOT 01-0253","1","1","Rob McKenna","Absentee","33"
"Attorney General","BOT 01-0253","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0253","1","1","Times Blank Voted","Total","5"
"Attorney General","BOT 01-0253","1","1","Times Blank Voted","Absentee","4"
"Attorney General","BOT 01-0253","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-0253","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0253","1","1","Times Counted","Total","83"
"Attorney General","BOT 01-0253","1","1","Times Counted","Polling","21"
"Attorney General","BOT 01-0253","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0253","1","1","Times Counted","Absentee","62"
"Attorney General","BOT 01-0253","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0253","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0253","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0253","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0254","1","1","John Ladenburg","Polling","16"
"Attorney General","BOT 01-0254","1","1","John Ladenburg","Absentee","94"
"Attorney General","BOT 01-0254","1","1","John Ladenburg","Total","110"
"Attorney General","BOT 01-0254","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0254","1","1","Registered Voters","Total","524"
"Attorney General","BOT 01-0254","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0254","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0254","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0254","1","1","Rob McKenna","Polling","0"
