"raskc_performance_measure","month","year","value"
"Animal Intakes","Jan","2017","407"
"Animal Intakes","Feb","2017","353"
"Animal Intakes","Mar","2017","499"
"Animal Intakes","Apr","2017","500"
"Animal Intakes","May","2017","592"
"Animal Intakes","Jun","2017","955"
"Animal Intakes","Jul","2017","873"
"Animal Intakes","Aug","2017","875"
"Animal Intakes","Sep","2017","826"
"Animal Intakes","Oct","2017","852"
"Animal Intakes","Nov","2017","718"
"Animal Intakes","Dec","2017","443"
