"race","precinct","legislative_district","county_council_district","congressional_district","party_preference","candidate","sumofcount"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","Dem","Randy Gordon","132.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","NP","Registered Voters","352.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","NP","Times Counted","241.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","NP","Times Over Voted","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ALLEN","41","6","8","Rep","Steve Litzow","98.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","Dem","Randy Gordon","83.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","NP","Registered Voters","213.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","NP","Times Blank Voted","6.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","NP","Times Counted","187.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEA 41-0099","41","6","8","Rep","Steve Litzow","98.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","Dem","Randy Gordon","95.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","NP","Registered Voters","306.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","NP","Times Counted","167.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0011","41","9","8","Rep","Steve Litzow","60.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","Dem","Randy Gordon","195.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","NP","Registered Voters","506.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","NP","Times Blank Voted","18.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","NP","Times Counted","371.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0101","41","9","8","Rep","Steve Litzow","156.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","Dem","Randy Gordon","285.00"
