"race","precinct","leg","cc","countergroup","countertype","count"
"Attorney General","ALDARRA","5","3","Absentee","John Ladenburg","105"
"Attorney General","ALDARRA","5","3","Polling","John Ladenburg","23"
"Attorney General","ALDARRA","5","3","Polling","John Ladenburg","0"
"Attorney General","ALDARRA","5","3","Total","John Ladenburg","128"
"Attorney General","ALDARRA","5","3","Polling","Registered Voters","0"
"Attorney General","ALDARRA","5","3","Absentee","Registered Voters","0"
"Attorney General","ALDARRA","5","3","Polling","Registered Voters","0"
"Attorney General","ALDARRA","5","3","Total","Registered Voters","1089"
"Attorney General","ALDARRA","5","3","Polling","Rob McKenna","28"
"Attorney General","ALDARRA","5","3","Total","Rob McKenna","278"
"Attorney General","ALDARRA","5","3","Polling","Rob McKenna","2"
"Attorney General","ALDARRA","5","3","Absentee","Rob McKenna","248"
"Attorney General","ALDARRA","5","3","Total","Times Blank Voted","26"
"Attorney General","ALDARRA","5","3","Absentee","Times Blank Voted","23"
"Attorney General","ALDARRA","5","3","Polling","Times Blank Voted","3"
"Attorney General","ALDARRA","5","3","Polling","Times Blank Voted","0"
"Attorney General","ALDARRA","5","3","Total","Times Counted","433"
"Attorney General","ALDARRA","5","3","Absentee","Times Counted","377"
"Attorney General","ALDARRA","5","3","Polling","Times Counted","2"
"Attorney General","ALDARRA","5","3","Polling","Times Counted","54"
"Attorney General","ALDARRA","5","3","Polling","Times Over Voted","0"
"Attorney General","ALDARRA","5","3","Absentee","Times Over Voted","0"
"Attorney General","ALDARRA","5","3","Total","Times Over Voted","0"
"Attorney General","ALDARRA","5","3","Polling","Times Over Voted","0"
"Attorney General","ALDER SPRINGS","45","3","Polling","John Ladenburg","0"
"Attorney General","ALDER SPRINGS","45","3","Total","John Ladenburg","48"
"Attorney General","ALDER SPRINGS","45","3","Absentee","John Ladenburg","38"
"Attorney General","ALDER SPRINGS","45","3","Polling","John Ladenburg","10"
"Attorney General","ALDER SPRINGS","45","3","Total","Registered Voters","495"
"Attorney General","ALDER SPRINGS","45","3","Polling","Registered Voters","0"
"Attorney General","ALDER SPRINGS","45","3","Polling","Registered Voters","0"
"Attorney General","ALDER SPRINGS","45","3","Absentee","Registered Voters","0"
"Attorney General","ALDER SPRINGS","45","3","Total","Rob McKenna","103"
"Attorney General","ALDER SPRINGS","45","3","Polling","Rob McKenna","17"
"Attorney General","ALDER SPRINGS","45","3","Absentee","Rob McKenna","84"
"Attorney General","ALDER SPRINGS","45","3","Polling","Rob McKenna","2"
"Attorney General","ALDER SPRINGS","45","3","Absentee","Times Blank Voted","12"
"Attorney General","ALDER SPRINGS","45","3","Polling","Times Blank Voted","0"
"Attorney General","ALDER SPRINGS","45","3","Total","Times Blank Voted","14"
"Attorney General","ALDER SPRINGS","45","3","Polling","Times Blank Voted","2"
"Attorney General","ALDER SPRINGS","45","3","Total","Times Counted","165"
"Attorney General","ALDER SPRINGS","45","3","Absentee","Times Counted","134"
"Attorney General","ALDER SPRINGS","45","3","Polling","Times Counted","2"
"Attorney General","ALDER SPRINGS","45","3","Polling","Times Counted","29"
"Attorney General","ALDER SPRINGS","45","3","Absentee","Times Over Voted","0"
"Attorney General","ALDER SPRINGS","45","3","Polling","Times Over Voted","0"
"Attorney General","ALDER SPRINGS","45","3","Polling","Times Over Voted","0"
"Attorney General","ALDER SPRINGS","45","3","Total","Times Over Voted","0"
"Attorney General","ALDERWOOD","45","3","Absentee","John Ladenburg","36"
"Attorney General","ALDERWOOD","45","3","Polling","John Ladenburg","0"
"Attorney General","ALDERWOOD","45","3","Total","John Ladenburg","40"
"Attorney General","ALDERWOOD","45","3","Polling","John Ladenburg","4"
"Attorney General","ALDERWOOD","45","3","Polling","Registered Voters","0"
"Attorney General","ALDERWOOD","45","3","Polling","Registered Voters","0"
"Attorney General","ALDERWOOD","45","3","Total","Registered Voters","429"
"Attorney General","ALDERWOOD","45","3","Absentee","Registered Voters","0"
"Attorney General","ALDERWOOD","45","3","Polling","Rob McKenna","1"
"Attorney General","ALDERWOOD","45","3","Total","Rob McKenna","76"
"Attorney General","ALDERWOOD","45","3","Polling","Rob McKenna","10"
"Attorney General","ALDERWOOD","45","3","Absentee","Rob McKenna","65"
"Attorney General","ALDERWOOD","45","3","Total","Times Blank Voted","6"
"Attorney General","ALDERWOOD","45","3","Polling","Times Blank Voted","0"
"Attorney General","ALDERWOOD","45","3","Absentee","Times Blank Voted","6"
"Attorney General","ALDERWOOD","45","3","Polling","Times Blank Voted","0"
"Attorney General","ALDERWOOD","45","3","Total","Times Counted","122"
"Attorney General","ALDERWOOD","45","3","Polling","Times Counted","14"
"Attorney General","ALDERWOOD","45","3","Polling","Times Counted","1"
"Attorney General","ALDERWOOD","45","3","Absentee","Times Counted","107"
"Attorney General","ALDERWOOD","45","3","Polling","Times Over Voted","0"
"Attorney General","ALDERWOOD","45","3","Total","Times Over Voted","0"
