"office","office_name","fiscal_year","adopted_appropriation","adjusted_appropriation","expenditures","fte_s"
"1002","Human Rights and Ethics","2014","776602","782377","590201","11.2"
"1002","Human Rights and Ethics","2015","795895","786978","629135","11.0"
"1002","Human Rights and Ethics","2016","815762","805971","740615","10.5"
