"bureau","month","invoice_cycle_time","date_time","fiscal_year","roll_up"
"Cnty Brd Commissions","December","18.3","2012-12-01T00:00:00.000","2013","Misc"
"Grants","December","62.1","2012-12-01T00:00:00.000","2013","Misc"
"Individual Funds","December","62.2","2012-12-01T00:00:00.000","2013","Misc"
"Inspector General","December","10.9","2012-12-01T00:00:00.000","2013","Misc"
"Public Admin.","December","16.0","2012-12-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","January","26.7","2013-01-01T00:00:00.000","2013","Misc"
"Grants","January","62.2","2013-01-01T00:00:00.000","2013","Misc"
"Individual Funds","January","113.3","2013-01-01T00:00:00.000","2013","Misc"
"Inspector General","January","24.0","2013-01-01T00:00:00.000","2013","Misc"
"Public Admin.","January","27.0","2013-01-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","February","29.0","2013-02-01T00:00:00.000","2013","Misc"
"Grants","February","53.0","2013-02-01T00:00:00.000","2013","Misc"
"Individual Funds","February","105.9","2013-02-01T00:00:00.000","2013","Misc"
"Inspector General","February","36.8","2013-02-01T00:00:00.000","2013","Misc"
"Public Admin.","February","24.8","2013-02-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","March","29.8","2013-03-01T00:00:00.000","2013","Misc"
"Grants","March","41.5","2013-03-01T00:00:00.000","2013","Misc"
"Individual Funds","March","84.1","2013-03-01T00:00:00.000","2013","Misc"
"Inspector General","March","21.3","2013-03-01T00:00:00.000","2013","Misc"
"Public Admin.","March","83.4","2013-03-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","April","35.9","2013-04-01T00:00:00.000","2013","Misc"
"Grants","April","775.5","2013-04-01T00:00:00.000","2013","Misc"
"Individual Funds","April","64.7","2013-04-01T00:00:00.000","2013","Misc"
"Inspector General","April","14.8","2013-04-01T00:00:00.000","2013","Misc"
"Public Admin.","April","43.7","2013-04-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","May","34.1","2013-05-01T00:00:00.000","2013","Misc"
"Grants","May","47.7","2013-05-01T00:00:00.000","2013","Misc"
"Individual Funds","May","57.6","2013-05-01T00:00:00.000","2013","Misc"
"Inspector General","May","12.1","2013-05-01T00:00:00.000","2013","Misc"
"Public Admin.","May","23.3","2013-05-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","June","27.3","2013-06-01T00:00:00.000","2013","Misc"
"Grants","June","37.3","2013-06-01T00:00:00.000","2013","Misc"
"Individual Funds","June","61.0","2013-06-01T00:00:00.000","2013","Misc"
"Inspector General","June","16.4","2013-06-01T00:00:00.000","2013","Misc"
"Public Admin.","June","21.2","2013-06-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","July","35.7","2013-07-01T00:00:00.000","2013","Misc"
"Grants","July","27.7","2013-07-01T00:00:00.000","2013","Misc"
"Individual Funds","July","50.7","2013-07-01T00:00:00.000","2013","Misc"
"Inspector General","July","44.2","2013-07-01T00:00:00.000","2013","Misc"
"Public Admin.","July","17.0","2013-07-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","August","31.4","2013-08-01T00:00:00.000","2013","Misc"
"Grants","August","26.4","2013-08-01T00:00:00.000","2013","Misc"
"Individual Funds","August","78.8","2013-08-01T00:00:00.000","2013","Misc"
"Inspector General","August","20.0","2013-08-01T00:00:00.000","2013","Misc"
"Public Admin.","August","20.2","2013-08-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","September","51.4","2013-09-01T00:00:00.000","2013","Misc"
"Grants","September","46","2013-09-01T00:00:00.000","2013","Misc"
"Individual Funds","September","96","2013-09-01T00:00:00.000","2013","Misc"
"Inspector General","September","47","2013-09-01T00:00:00.000","2013","Misc"
"Public Admin.","September","24.2","2013-09-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","October","16.2","2013-10-01T00:00:00.000","2013","Misc"
"Grants","October","360.4","2013-10-01T00:00:00.000","2013","Misc"
"Individual Funds","October","120.8","2013-10-01T00:00:00.000","2013","Misc"
"Inspector General","October","31","2013-10-01T00:00:00.000","2013","Misc"
"Public Admin.","October","29.6","2013-10-01T00:00:00.000","2013","Misc"
"Cnty Brd Commissions","November","21.2","2013-11-01T00:00:00.000","2013","Misc"
"Grants","November","28.6","2013-11-01T00:00:00.000","2013","Misc"
"Individual Funds","November","53.1","2013-11-01T00:00:00.000","2013","Misc"
"Inspector General","November","20","2013-11-01T00:00:00.000","2013","Misc"
"Public Admin.","November","22.4","2013-11-01T00:00:00.000","2013","Misc"
