"bureau","month","invoice_cycle_time","date_time","fiscal_year","roll_up"
"Chief Judge","December","18.1","2012-12-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","December","20.2","2012-12-01T00:00:00.000","2013","Public Safety"
"Public Defender","December","19.6","2012-12-01T00:00:00.000","2013","Public Safety"
"Sheriff","December","12.1","2012-12-01T00:00:00.000","2013","Public Safety"
"State's Attorney","December","3.1","2012-12-01T00:00:00.000","2013","Public Safety"
"Chief Judge","January","25.1","2013-01-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","January","21.2","2013-01-01T00:00:00.000","2013","Public Safety"
"Public Defender","January","28.5","2013-01-01T00:00:00.000","2013","Public Safety"
"Sheriff","January","24.2","2013-01-01T00:00:00.000","2013","Public Safety"
"State's Attorney","January","43.9","2013-01-01T00:00:00.000","2013","Public Safety"
"Chief Judge","February","29.1","2013-02-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","February","18.4","2013-02-01T00:00:00.000","2013","Public Safety"
"Public Defender","February","47.9","2013-02-01T00:00:00.000","2013","Public Safety"
"Sheriff","February","23.6","2013-02-01T00:00:00.000","2013","Public Safety"
"State's Attorney","February","82.0","2013-02-01T00:00:00.000","2013","Public Safety"
"Chief Judge","March","29.1","2013-03-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","March","22.2","2013-03-01T00:00:00.000","2013","Public Safety"
"Public Defender","March","35.9","2013-03-01T00:00:00.000","2013","Public Safety"
"Sheriff","March","18.9","2013-03-01T00:00:00.000","2013","Public Safety"
"State's Attorney","March","66.8","2013-03-01T00:00:00.000","2013","Public Safety"
"Chief Judge","April","68.8","2013-04-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","April","610.2","2013-04-01T00:00:00.000","2013","Public Safety"
"Public Defender","April","31.5","2013-04-01T00:00:00.000","2013","Public Safety"
"Sheriff","April","18.0","2013-04-01T00:00:00.000","2013","Public Safety"
"State's Attorney","April","54.7","2013-04-01T00:00:00.000","2013","Public Safety"
"Chief Judge","May","20.5","2013-05-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","May","27.6","2013-05-01T00:00:00.000","2013","Public Safety"
"Public Defender","May","27.7","2013-05-01T00:00:00.000","2013","Public Safety"
"Sheriff","May","23.5","2013-05-01T00:00:00.000","2013","Public Safety"
"State's Attorney","May","45.6","2013-05-01T00:00:00.000","2013","Public Safety"
"Chief Judge","June","16.9","2013-06-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","June","33.6","2013-06-01T00:00:00.000","2013","Public Safety"
"Public Defender","June","32.5","2013-06-01T00:00:00.000","2013","Public Safety"
"Sheriff","June","26.6","2013-06-01T00:00:00.000","2013","Public Safety"
"State's Attorney","June","36.5","2013-06-01T00:00:00.000","2013","Public Safety"
"Chief Judge","July","31.6","2013-07-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","July","21.0","2013-07-01T00:00:00.000","2013","Public Safety"
"Public Defender","July","40.4","2013-07-01T00:00:00.000","2013","Public Safety"
"Sheriff","July","19.4","2013-07-01T00:00:00.000","2013","Public Safety"
"State's Attorney","July","46.5","2013-07-01T00:00:00.000","2013","Public Safety"
"Chief Judge","August","24.6","2013-08-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","August","25.6","2013-08-01T00:00:00.000","2013","Public Safety"
"Public Defender","August","39.5","2013-08-01T00:00:00.000","2013","Public Safety"
"Sheriff","August","20.2","2013-08-01T00:00:00.000","2013","Public Safety"
"State's Attorney","August","45.0","2013-08-01T00:00:00.000","2013","Public Safety"
"Chief Judge","September","19.7","2013-09-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","September","26.3","2013-09-01T00:00:00.000","2013","Public Safety"
"Public Defender","September","39.7","2013-09-01T00:00:00.000","2013","Public Safety"
"Sheriff","September","21.8","2013-09-01T00:00:00.000","2013","Public Safety"
"State's Attorney","September","54.4","2013-09-01T00:00:00.000","2013","Public Safety"
"Chief Judge","October","21.1","2013-10-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","October","39.6","2013-10-01T00:00:00.000","2013","Public Safety"
"Public Defender","October","38.7","2013-10-01T00:00:00.000","2013","Public Safety"
"Sheriff","October","41.8","2013-10-01T00:00:00.000","2013","Public Safety"
"State's Attorney","October","46.6","2013-10-01T00:00:00.000","2013","Public Safety"
"Chief Judge","November","25.8","2013-11-01T00:00:00.000","2013","Public Safety"
"Clerk of Circuit Ct.","November","29.8","2013-11-01T00:00:00.000","2013","Public Safety"
"Public Defender","November","41.6","2013-11-01T00:00:00.000","2013","Public Safety"
"Sheriff","November","246.9","2013-11-01T00:00:00.000","2013","Public Safety"
"State's Attorney","November","45.1","2013-11-01T00:00:00.000","2013","Public Safety"
