"bureau","month","invoice_cycle_time","date_time","fiscal_year"
"Countywide","December","58.5","2012-12-01T00:00:00.000","2013"
"Countywide","January","76.1","2013-01-01T00:00:00.000","2013"
"Countywide","February","58.1","2013-02-01T00:00:00.000","2013"
"Countywide","March","48.0","2013-03-01T00:00:00.000","2013"
"Countywide","May","39.3","2013-05-01T00:00:00.000","2013"
"Countywide","June","36.4","2013-06-01T00:00:00.000","2013"
"Countywide","July","37.4","2013-07-01T00:00:00.000","2013"
"Countywide","August","38.0","2013-08-01T00:00:00.000","2013"
"Countywide","April","42","2013-04-01T00:00:00.000","2013"
"Countywide","September","43.2","2013-09-01T00:00:00.000","2013"
"Countywide","October","56.5","2013-10-01T00:00:00.000","2013"
"Countywide","November","54.2","2013-11-01T00:00:00.000","2013"
"Countywide","June","50","2015-06-01T00:00:00.000","2015"
"Countywide","December","67","2015-12-01T00:00:00.000","2016"
"Countywide","October","49","2014-10-01T00:00:00.000","2014"
"Countywide","April","50","2016-04-01T00:00:00.000","2016"
"Countywide","December","65","2014-12-01T00:00:00.000","2015"
"Countywide","July","49","2015-07-01T00:00:00.000","2015"
"Countywide","November","58","2015-11-01T00:00:00.000","2015"
"Countywide","June","46","2014-06-01T00:00:00.000","2014"
"Countywide","March","49","2014-03-01T00:00:00.000","2014"
"Countywide","January","66","2015-01-01T00:00:00.000","2015"
"Countywide","September","45","2015-09-01T00:00:00.000","2015"
"Countywide","February","55","2015-02-01T00:00:00.000","2015"
"Countywide","April","49","2015-04-01T00:00:00.000","2015"
"Countywide","August","46","2015-08-01T00:00:00.000","2015"
"Countywide","September","47","2014-09-01T00:00:00.000","2014"
"Countywide","December","55","2013-12-01T00:00:00.000","2014"
"Countywide","July","44","2014-07-01T00:00:00.000","2014"
"Countywide","February","47","2016-02-01T00:00:00.000","2016"
"Countywide","March","55","2015-03-01T00:00:00.000","2015"
"Countywide","August","44","2014-08-01T00:00:00.000","2014"
"Countywide","January","62","2016-01-01T00:00:00.000","2016"
"Countywide","May","58","2015-05-01T00:00:00.000","2015"
"Countywide","April","44","2014-04-01T00:00:00.000","2014"
"Countywide","July","54","2016-07-01T00:00:00.000","2016"
"Countywide","June","48","2016-06-01T00:00:00.000","2016"
"Countywide","May","46","2016-05-01T00:00:00.000","2016"
"Countywide","August","52","2016-08-01T00:00:00.000","2016"
"Countywide","November","55","2014-11-01T00:00:00.000","2014"
"Countywide","March","59","2016-03-01T00:00:00.000","2016"
"Countywide","October","51","2015-10-01T00:00:00.000","2015"
"Countywide","May","42","2014-05-01T00:00:00.000","2014"
"Countywide","February","47","2014-02-01T00:00:00.000","2014"
"Countywide","January","66","2014-01-01T00:00:00.000","2014"
