"department","bureau","elected_official","g","goal","m","metric","favorable_variance","data_type","period_type","period","fiscal_year","calendar_year","period_year","date_time","actual_1","target_1","actual_2","target_2","actual_3","target_3"
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","December","2013","2012","12-Dec","2012-12-01T00:00:00.000","3368","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","January","2013","2013","13-Jan","2013-01-01T00:00:00.000","3816","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","February","2013","2013","13-Feb","2013-02-01T00:00:00.000","4318","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","March","2013","2013","13-Mar","2013-03-01T00:00:00.000","4225","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","April","2013","2013","13-Apr","2013-04-01T00:00:00.000","4288","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","May","2013","2013","13-May","2013-05-01T00:00:00.000","4118","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","June","2013","2013","13-Jun","2013-06-01T00:00:00.000","3722","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","July","2013","2013","13-Jul","2013-07-01T00:00:00.000","4228","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","August","2013","2013","13-Aug","2013-08-01T00:00:00.000","4098","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","September","2013","2013","13-Sep","2013-09-01T00:00:00.000","4101","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","October","2013","2013","13-Oct","2013-10-01T00:00:00.000","4186","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","November","2013","2013","13-Nov","2013-11-01T00:00:00.000","4206","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","December","2014","2013","13-Dec","2013-12-01T00:00:00.000","3855","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","January","2014","2014","14-Jan","2014-01-01T00:00:00.000","3916","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","February","2014","2014","14-Feb","2014-02-01T00:00:00.000","4225","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","March","2014","2014","14-Mar","2014-03-01T00:00:00.000","4177","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","April","2014","2014","14-Apr","2014-04-01T00:00:00.000","4306","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","May","2014","2014","14-May","2014-05-01T00:00:00.000","4365","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","June","2014","2014","14-Jun","2014-06-01T00:00:00.000","4066","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","July","2014","2014","14-Jul","2014-07-01T00:00:00.000","4155","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","August","2014","2014","14-Aug","2014-08-01T00:00:00.000","4232","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","September","2014","2014","14-Sep","2014-09-01T00:00:00.000","4318","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","October","2014","2014","14-Oct","2014-10-01T00:00:00.000","4055","4000",,,,
