"month","completed","completed_on_time","bid","joc","piggyback","rfp_rfq_rfi","sole_source","date_time"
"Dec-12","40","66","75","0","60","100","50","2012-12-01T00:00:00.000"
"Jan-13","54","68","64","100","100","100","70","2013-01-01T00:00:00.000"
"Feb-13","42","67","68","0","0","33","60","2013-02-01T00:00:00.000"
"Mar-13","50","71","35","0","67","0","75","2013-03-01T00:00:00.000"
"Apr-13","81","55","33","67","56","40","80","2013-04-01T00:00:00.000"
"May-13","82","46","28","0","40","69","63","2013-05-01T00:00:00.000"
"Jun-13","69","66","33","78","33","100","50","2013-06-01T00:00:00.000"
"Jul-13","90","50","33","67","40","96","22","2013-07-01T00:00:00.000"
"Aug-13","37","37","44","50","0","50","29","2013-08-01T00:00:00.000"
"Sep-13","68","51","51","66","0","40","54","2013-09-01T00:00:00.000"
"Oct-13","46","46","50","50",,"50","43","2013-10-01T00:00:00.000"
"Nov-13","39","62","47","62",,"100","86","2013-11-01T00:00:00.000"
"Dec-13","33","24","14","13",,"33","40","2013-12-01T00:00:00.000"
"Jan-14","29","24","14","11","66",,"38","2014-01-01T00:00:00.000"
"Feb-14","36","14","8","0","0","0","29","2014-02-01T00:00:00.000"
"Mar-14","47","36","30","40","100","0","44","2014-03-01T00:00:00.000"
"Apr-14","63","24","32","0","0","40","36","2014-04-01T00:00:00.000"
"May-14","44","28","32","33","0",,"22","2014-05-01T00:00:00.000"
"Jun-14","58","25",,,,,,"2014-06-01T00:00:00.000"
"Jul-14","46","16",,,,,,"2014-07-01T00:00:00.000"
"Aug-14","34","18",,,,,,"2014-08-01T00:00:00.000"
"Sep-14","49","59",,,,,,"2014-09-01T00:00:00.000"
"Oct-14","58","28",,,,,,"2014-10-01T00:00:00.000"
"Nov-14","27","56",,,,,,"2014-11-01T00:00:00.000"
