"job_title","department","earnings","meta_row_index","meta_row_id"
"CITY MANAGER","CITY MANAGER'S OFFICE","218644.73","0","7891f7950c9ab1a0fbccec34e0192a9ac516d867"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","180316.59","1","968845927ce58b2ff0e276cf7ddd105139183b44"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","169506.02","2","98445944009ea09e600ecbe7579127267e6e402c"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","163448.41","3","7bd11074a970e122175d0a2606a5f62eeb6b835b"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","157950.34","4","c7af16976eb8af155419a5656251b9ac51b77a08"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","151651.66","5","a7fa6fb60573dc1cc16eea060d4c59ddbb9a8b5e"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","150314.48","6","cd5057a767739b3c32c1a6ee38ee3b9ce45bb320"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","148041.95","7","ae5deb95b030f41b06f452c31cd1657e7605ab62"
"SR CONSTRUCTION INSPECTOR","ENGINEERING","141139.73","8","b17caacc5892cc344cffd51dd0d819c654c60dfb"
"DIRECTOR OF CPRE","COMMUNITY SERVICES ADMIN","136048.91","9","234d10df83d5c691f03dd12ec10d5ca663de6b11"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","135171.73","10","94112deb9f13b843993ac11f96e9f7fa93621c6b"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","133912.05","11","21150699825e68114ef42835f7d22e92a3d24883"
"DIRECTOR OF PDT","PDT ADMINISTRATION","131196.44","12","f622bd49fa1814ac8c650d2d65f151a64b58bc4b"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","128821.04","13","418fcbbb7b1354b7cce39ccc4e331df796e07624"
"POLICE CAPTAIN - INACTIVE","OFFICE OF THE CHIEF","127594.29","14","f603a0e5d47663d18ac46e9aa2bc925482448ecd"
"POLICE CAPTAIN - INACTIVE","INVESTIGATIONS","127549.29","15","50354dbe752ec6db122282d882c3928efae4cea6"
"POLICE CAPTAIN - INACTIVE","PATROL","127541.79","16","545cd88f5d75ca31763758e72c95de84acbf2df2"
"POLICE CAPTAIN - INACTIVE","POLICE INFORMATION SERVICES","127534.29","17","8ccfc5835ed13de7116c9a11071af20b67db5837"
"LIGHT AND POWER OPERATIONS MGR","L&P OPERATIONS SERVICE UNIT","126786.19","18","d71721140a29dc0aca9379a8c8d1dbe5991240ab"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","126211.0","19","a7a894033ac884fc06f7076079ce6f64edb2ad6c"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","124269.0","20","af095ce20db110813beb66b02b61d4301ad80687"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","123748.96","21","27d8a635993f004b45d7f35520a3da8ecfc37628"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","123240.91","22","7156b8d2c20017a202d80c054aeaa61acf9e98ff"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","121598.0","23","1474d4eef1bc51fb89187d406eb7673f32b4c50b"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","121432.54","24","04f9262010973e336c8ceeac470c541c9a5dc95f"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","119800.42","25","f4a0f42a45c9752fc59100942ed6abbb90be4b25"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","119721.29","26","4035887591d2088d68c4b335722324bcdd36612a"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","119110.59","27","88c4e1a0d8afaa364fb59370cbbeafd08f600adf"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","118675.63","28","f4f6e46c224c436c28fd5d5fd2fd2cb569e4c139"
"WATER ENG FIELD OPERATIONS MGR","UT WATER SYSTEMS ENGR DIV","118335.33","29","c62f890b83482f417b2eb6e00a9a1c720db5b7ef"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","118271.34","30","7e5a69dc4ccfbd18fd3d4491aa66a568d66cba0d"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","117956.84","31","381fcbab5add46a27291d1b33e01fff65dc2d33b"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","117945.68","32","17be552e9e1c14ebfb78b13d8afb3a004c91e832"
"POLICE SERGEANT","PATROL","117137.39","33","d06c110c269f674e1b7fe04ca201e8febf758160"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","117095.51","34","1fe16570f2cb921df2601002f42f338d430c8bae"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","116194.02","35","54b40d36b5bf8df5ebe1d6950019774acbf3340e"
