"job_title","department","service_area","earnings","meta_row_index","meta_row_id"
"POLICE SERGEANT","Investigations","Police Services","135970.6300000001","39","c01cb9036dddfc58e6bc8db44aa65784b9ec52ae"
"POLICE SERGEANT","Community and Special Services","Police Services","135374.53999999998","40","f78f0e75dd5dc5a8ee530d512841e0c79b576b25"
"BATTALION CHIEF I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","134948.96","41","515acaf60307462130c6b3bb50515ac1f243df8f"
"BATTALION CHIEF I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","134891.78","42","43696d0d54c43c302320b3296e2edf7124b62a80"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","134879.93","43","4ca204f1da604452f54776923a27eb4cf4e41981"
"FIREFIGHTER 40 HOUR (SPECIAL)","Poudre Fire Authority","Poudre Fire Authority","134317.9","44","f534e49802a8a57f99d104b201dfa15c671f2c44"
"BATTALION CHIEF II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","134099.36","45","ac70c7157f8d207e26dcbcf175341087268c9c23"
"POLICE LIEUTENANT","Investigations","Police Services","133795.05000000002","46","e4a52d8cacfead19500902bc4fb88be0e1c978d9"
"LIBRARY DIRECTOR","Library District","Library District","133750.0","47","fdf4dd1b7e85a83ba1617452099a2d22e9448bcf"
"POLICE SERGEANT","Investigations","Police Services","133618.1699999999","48","55c0d761eb7b3cae2cf5264dcb268c0091a22924"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","133347.11","49","e7a268b206d33f8c79605c76d7d7983f14ce033b"
"SR ASSISTANT CITY ATTORNEY","City Attorney's Office","Legal Services","132691.85","50","15cd41bdc2d57e49a2748348008ad8df960f3b0f"
"POLICE LIEUTENANT","Patrol","Police Services","132296.06","51","7dece6d3cf8913914f863c728bd8442539e3555f"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","132167.42","52","a391a32ec1867d6e29d1a15e5fd7b4ec719000b8"
"POLICE LIEUTENANT","Patrol","Police Services","131927.81","53","e93b54284f5723b0bcc8e6989ff12e5c0a17d5d6"
"BATTALION CHIEF II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","131623.76","54","e879971c2a72bf5d7901aa6589882b7d702834fb"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","131030.09","55","723ee451b9d55a071a3b79b4ecb49c28ad35165c"
"POLICE SERGEANT","Investigations","Police Services","131023.09","56","a3d386f6747fcec6fe0d4dcf797eabc870c2201f"
"POLICE LIEUTENANT","Police Administration","Police Services","130884.06","57","c84ae76d0166e5f707c5b16ecf7a886800c7579a"
"POLICE LIEUTENANT","Patrol","Police Services","130846.56","58","76ecd48c35c36200683feeccea943779c2050724"
"BATTALION CHIEF II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","129808.0","59","6255a38d77f4fca43904ce2e2183359da78a2719"
"BATTALION CHIEF II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","129471.999999999","60","c0ec7e576d2295c21388917f7093d4b263ba7e29"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","128910.51","61","57a0f61525a8eb75901d2b311bff8b1797127ecb"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","128764.52","62","d5dafb491318899e43ff4925a15fa0ac8f2235f2"
"DIRECTOR, FACILITIES & FLEET","Operation Services","Information & Employee Svcs","127785.5300000002","63","5b02fe5acbdfd7b1abafae174e0f0a18b49fa2e5"
"EXECUTIVE DIRECTOR DDA","Downtown Development Authority","Downtown Development Authority","127425.98","64","04286e7c6ded8eca08976eb1fbfdce144b4016ec"
"POLICE SERGEANT","Police Administration","Police Services","127048.3000000001","65","5f36c996807547e453604c70b3de922fe974c461"
"DIRECTOR, FP&A","Utility Financial Operations","Utility Services","127045.02","66","15700db82b4577cb724c404c6bdc35d5621a24e8"
"SR MANAGER, ELEC ENGINEERING","Ut Elec System Design & IT Div","Utility Services","126821.26999999961","67","7d9d26a8ed0ff0ca770ee20ab5f7a396e67c5fe5"
"TRAINING CAPTAIN - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","126425.47","68","b2ee90a0b1ceb3d01adfe8868afa01ae2d59a318"
"POLICE CORPORAL","Patrol","Police Services","125800.59000000011","69","2d7e07709037792ec55991fad3923ff368982144"
"DEPUTY DIRECTOR, UTILITIES","Utilities Customer Connections","Utility Services","124857.3099999999","70","ec51703ab210b8414726fd2a708b92bd37433693"
"POLICE SERGEANT","Investigations","Police Services","124770.28","71","472cab2ce3499c10dc13746e8708349d7bc8d003"
"POLICE CORPORAL","Patrol","Police Services","124766.6900000001","72","0596af1bd9afe190d19193caf3b89e12d1a05666"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","124592.69","73","d709599b37a2f783331ff8ae2ad243eb22cc1c0d"
"POLICE SERGEANT","Police Administration","Police Services","124169.8000000001","74","b9c41481509ca93139f5fd307df55596579447f6"
"DEPUTY DIRECTOR, UTILITIES","Ut Water Production Div","Utility Services","124139.4800000002","75","da9b09f27dcef5a9f5ffae06990135a284260cfd"
"POLICE OFFICER","Patrol","Police Services","123170.9999999999","76","e162b9d375bd3f28a805eaf8c49ad4fa78026d2f"
"POLICE SERGEANT","Community and Special Services","Police Services","122896.06","77","c9364a0e7812b7422c41e812cfc5597d96ed4a65"
"ARCHITECT, IT SECURITY","Information Technology","Information & Employee Svcs","122860.7900000001","78","c5b0e8f6f10e8ec6d86aa7ac2e08cc21ed3298ea"
"SR MANAGER, TECHNOLOGY","Information Technology","Information & Employee Svcs","122490.0","79","2c3d981271d42cf6c8626c790fdda4501cbae75a"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","122423.82","80","1e1b37333ecf8df1d1c87d00c820269b52261377"
"POLICE SERGEANT","Patrol","Police Services","122330.48999999999","81","d4d6abb041a60ee29d446cf6d1422dfd77b206e3"
"POLICE OFFICER","Patrol","Police Services","122286.58999999991","82","99530538b6223208008075ff6962d5adfe87a29a"
"POLICE SERGEANT","Patrol","Police Services","122197.01","83","9bfacee52340aea5bd75bae09c1583348dc02b0c"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","122120.63","84","4ff86e97efc3dcebd63b7380273deaffee30e52e"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","121908.67","85","373e8afbc8345e7edfdc94d57dced5db47bf0d90"
"DEPUTY DIRECTOR, PDT","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","121463.4399999997","86","39995e4e50e65fc04ceff46eba511ea444b44824"
"DIRECTOR, HUMAN RESOURCES","Human Resources","Information & Employee Svcs","121379.42","87","7c5b849a6c2e5d666f303c0a35ce9f9ac69c6f7b"
"SR MANAGER, ELEC ENGINEERING","Ut Standards Engineering Div","Utility Services","121129.71000000011","88","206f486638ccc50afe17b2c8a46c407c7fd7773f"
"DIR, ECONOMIC SUSTAINABILITY","Economic Health Office","Sustainability Services","121020.88","89","dbf28dfb57df6f1d894a4b76e87e0f963b8de8ff"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","120926.98","90","9a9b9b27f42893463b054e98eea15fce981123a3"
"CHIEF JUDGE","Municipal Court","Judicial Services","120606.84999999999","91","0d0745d27988b0d5b84f6d09fa6cec26ddcf5d2a"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","120589.15","92","273ea1ec266a1d73a2ce18c351a5a60150269181"
"POLICE SERGEANT","Community and Special Services","Police Services","120252.76999999999","93","6e3d836e2f424d250913354683c4be5eb5a20fbf"
"CITY ENGINEER","Engineering","Planning, Dev & Transportation","120015.14","94","9dcf4bd7afff0cdc9f4e045cbfc27fd22ab30574"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","119887.25","95","7d0dbe2b03b215fd5e35233dc6a2a97b9f69f1de"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","119456.37","96","78ac9f679bf08c893769f3f40cb2e48b99ec3fc0"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","119442.2","97","53b99f7073c841840691208f03058c9513c52367"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","119435.85","98","829a553fb4a6865db3a42774a10a82e47960e2dc"
"POLICE SERGEANT","Patrol","Police Services","119401.81999999999","99","a587bdb4103008ef0e3f297738cfe541e6822e6e"
"POLICE SERGEANT","Patrol","Police Services","119286.0800000001","100","79693eabf83ec707e5b1c4be950db9b156e669c7"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","119089.9","101","f6bc07b26cb4e5c7be45659da9731f29c9c9a61e"
"DIRECTOR, CIVIL ENGINEERING","Ut Water UTL Engineering Div","Utility Services","118985.49","102","05b3d380ab0aa860d1c7981ae526a168f922bd03"
"DIRECTOR, PURCHASING","Purchasing","Financial Services","118565.11000000019","103","029c0c368a7f8af154eed38e31f6a458ed74f88d"
"DIRECTOR, CIVIL ENGINEERING","Ut Water Systems Engr Div","Utility Services","118499.3699999995","104","6cc505cb79b9aacb53c7a85a01d270274a10f88a"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","118495.49","105","8666ad3446c576101bd605be94ff94c12b57493f"
"POLICE SERGEANT","Patrol","Police Services","118393.25","106","8dc49572b3ec363a23ed5e05addcaae375ed81c7"
"DIRECTOR, ACCOUNTING","Accounting and Treasury","Financial Services","118331.59999999999","107","ec564a593c1026c6b3520348fb82773b0cf73d63"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","118067.09","108","32bca134a722db265f48dd5df5afc375863d9eb0"
"CITY TRAFFIC ENGINEER","Traffic","Planning, Dev & Transportation","117918.23","109","550d1b1752a7fe594934d5f4506e305c0ce8e03e"
"POLICE OFFICER","Investigations","Police Services","117621.34","110","e4000fefd1ac4ebfeed3291999ab8113fbc5ef28"
"POLICE SERGEANT","Investigations","Police Services","117604.41999999998","111","6f98fae36a8dfd9d152c84db8cde643dae9cbc87"
"POLICE SERGEANT","Community and Special Services","Police Services","117306.98999999999","112","5658260919ab9ead9266d06b870214872908e1ab"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","117106.56","113","1d987883cba26a8fa9c3f0d0d7036ad01567b4ea"
"ASSISTANT CITY ATTORNEY II","City Attorney's Office","Legal Services","116967.5","114","b76360ff1a1932c78141a477a6fa499eb6e2b350"
"POLICE SERGEANT","Patrol","Police Services","116911.56","115","1e60ea4f835830cce5578db764d244d7b5bc4aac"
"SR ADMINISTRATOR, DATABASE","Information Technology","Information & Employee Svcs","116785.49999999991","116","7607861223983095beee8e8bad2d794035466a9f"
"POLICE SERGEANT","Community and Special Services","Police Services","115762.48999999999","117","aac3561ec27c950f0d57bfc8cc1f0e63fc86aaca"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","115564.17","118","793433051c897abb1b7a44599ac30b235a5a888c"
"POLICE OFFICER","Community and Special Services","Police Services","115041.2700000001","119","2dfa4b83474e06215b278983d64c3e7da341a28c"
"DIRECTOR, PLANT OPERATIONS","Ut Wtr Reclama & Biosolids Div","Utility Services","114688.03000000009","120","aad38bb61261ca96ff4271f583b57396d360e648"
"FIRE INSPECT COORD - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","114547.7","121","55418d60fcad0c0ef76e05c2aaba0d269d9fe60f"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","114479.39","122","52f2ec38f8c0a2b9241da1103a5f01967358bf1d"
"TRAINING CAPTAIN - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","114393.03","123","b0b34df39b64cba4ada5095f42d41fb8b3c34ba4"
"DIR, ENVIRON SUSTAINABILITY","Environmental Services","Sustainability Services","114385.85","124","8d42a9cb7cbb6f4e45586b3263fe7d35ac99aead"
"ELECTRICAL ENGINEER III","Ut Electric Systems Eng Div","Utility Services","114297.2900000003","125","cd6b75437d168dddfbf8a64f5bd3ddd59874b556"
"DIRECTOR, PLANT OPERATIONS","Ut Water Production Div","Utility Services","114254.8300000001","126","3973348669f4571b0836660be825af1323107a19"
"SR MANAGER, FACILITIES & FLEET","Operation Services","Information & Employee Svcs","114244.5300000001","127","b9c721f23d36bf023317ffa10b0db828b2b7f1e3"
"LINE CREW CHIEF","Electric Field Services","Utility Services","114231.25000000012","128","a66e56787b8255c14c0366ec6e361e645dd9b46f"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","114143.13","129","7f24feb92b86442aa2795d1c8d25c90a2761c3d0"
"MANAGER, SYSTEMS ADMIN","Ut Process & Supervis Cntr Div","Utility Services","114067.62999999989","130","4ea1f09fc7c9be6de90e102e851176c32d8a0081"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","114059.02","131","62e78e3437b3247c4f8b5f64879e02f8823d4524"
"POLICE OFFICER","Patrol","Police Services","113902.46","132","f05649d9868a62482f2b72dde8d3b7ea60753f63"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","113783.37","133","1a6b297581278c74a8881cb2b505abab66bfaa28"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","113712.87","134","a9634094069023fdab740fcba1d209bc671e162f"
"POLICE OFFICER","Patrol","Police Services","113673.2900000001","135","fe6d6e9c3b6416cce97750730e9632ad177f916b"
"SR MANAGER, ELEC ENGINEERING","Ut Smart Grid & System Ops Div","Utility Services","113315.0","136","950d3999bfe291eb739083ff1686bfcaeaa53bc6"
"SR MANAGER, COMPENSATION","Human Resources","Information & Employee Svcs","113144.24000000009","137","1af9674568e6ee765a47d7bccabcb30d7ae52b67"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","112957.42","138","3ee48378494cc6f9da15322b0373ee1b49c890e0"
"IT MANAGER","Poudre Fire Authority","Poudre Fire Authority","112949.67","139","9a740e8f42e3e85b7b11e8eea5b881331de962ff"
"LINE CREW CHIEF","Electric Field Services","Utility Services","112896.23","140","bab4bcf3e67673ea9990b85d795201d8125b4227"
"POLICE SERGEANT","Patrol","Police Services","112770.79000000001","141","02b45bbdf0d2ce7d14460435cb6bbdcaa1ebcc2f"
"DEPUTY DIR, COMMUNITY SERVICES","Natural Areas","Community Services","112681.72","142","47a6231ceb5e328a948f5c8bc6810abf79f2bf67"
"POLICE SERGEANT","Patrol","Police Services","112410.83","143","6a0db0a337d84843b00734f66a9ac39e78452da7"
"DIR, ELECTRIC DISTRIBUTION","Electric Field Services","Utility Services","112248.24","144","e7f05b8ed7f578e5d60eacf4f0028e3228926fd0"
"FIREFIGHTER 40 HOUR (SPECIAL)","Poudre Fire Authority","Poudre Fire Authority","112225.84","145","08b3e3350e911e142f7ab9fb7e100058e071b665"
"POLICE OFFICER","Investigations","Police Services","112049.94","146","ecaedfc784209bb435cb93be12370a99219c4fa1"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","112020.42","147","43dde2cd8c4b41cdcc0de461db3e55d286dc19f4"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","111832.04","148","9ad20efc99da489c29f247381a375f6f67cf62fa"
"SUBSTATION ELEC/COMM SPEC","Ut Elec System Design & IT Div","Utility Services","111711.5799999997","149","3c4729e54601fd2c712ebe80548942f1acb3b8fc"
"CIVIL ENGINEER III","Engineering","Planning, Dev & Transportation","111632.33999999991","150","e3488bbc987ec42c5e235b4d798f4bb33fd02ab0"
"DIRECTOR, PARK PLANNING","Park Planning & Development","Community Services","111564.5800000002","151","c0403a812d2198171737962aa5b4b6850445223e"
"POLICE OFFICER","Investigations","Police Services","111493.20999999999","152","b66706763fa58f94cdf899e16571f3726bed55bc"
"POLICE OFFICER","Investigations","Police Services","111481.65","153","6f173dee6a40134895cff3f677fc5c0c110bf87f"
"POLICE OFFICER","Patrol","Police Services","111218.31000000008","154","97fb41029bb1a513e893fa03f52e3135148c117f"
"FIREFIGHTER 40 HOUR (SPECIAL)","Poudre Fire Authority","Poudre Fire Authority","111155.07","155","c41b465701cd6ad2b56e367e28d665f4e867179b"
"DIR, TRANSPORTATION OPERATIONS","Streets","Planning, Dev & Transportation","111111.97","156","b2da2ee0ca89b0acc07146730c590c639c526baf"
"POLICE CORPORAL","Patrol","Police Services","110713.42000000001","157","6c3b2153298ee92a5cbc9f2a70f7e95758a2ef38"
"MANAGER, ELEC DISTR HI VOLTAGE","Electric Field Services","Utility Services","110517.5800000001","158","162b5fc72c4c325716824f3120ffa8fb5c052708"
"POLICE OFFICER","Investigations","Police Services","110451.54","159","4b2a557f05edeab399ec37b5b6b32be737771f26"
"LINE CREW CHIEF","Electric Field Services","Utility Services","110040.78","160","685a0a8fb62eb1faca3b1a8d53ec6904f8c95160"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","109991.79","161","16284f7505363bfb15885c957ffa0d7c8f97eced"
"LINE CREW CHIEF","Electric Field Services","Utility Services","109956.9400000001","162","9fd4ae3e69554adcc32341926198dca74e1b7c67"
"SR ASSISTANT CITY ATTORNEY","City Attorney's Office","Legal Services","109935.51999999999","163","13d4cc022380aff52df68bb074cf7da0350743b1"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","109909.8","164","0ad1dba8ec2799c06d2c0da074ed2322677e76f7"
"SR MANAGER, TECHNOLOGY","Information Technology","Information & Employee Svcs","109709.2899999999","165","e6516d968705b81034540232c97d7217928186b3"
"MANAGER, APPLICATIONS SOFTWARE","Information Technology","Information & Employee Svcs","109649.4700000001","166","578862035603523970bdb6960b041968909776b6"
"SR MANAGER, WATER ENGINEERING","Ut Water Resources Div","Utility Services","109644.90000000011","167","5a01760d9d5c534f7be05be974389367f887b79a"
"CAPTAIN II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","109638.49","168","70e82b69bdfd6ebc7f48be332c5def56d71b3fac"
"SR MANAGER, MECHANICAL ENGR","Utilities Customer Connections","Utility Services","109531.8700000001","169","f628feeacdc1285ec5f5642588047dbc06970f7f"
"POLICE OFFICER","Investigations","Police Services","109394.73999999999","170","fdb670b0994d377d04fc83db658dc051d7386dc7"
"CIVIL ENGINEER III","Ut Water Systems Engr Div","Utility Services","109356.61","171","0ec7e4e9eb6b50d53b5b56958d3898f164b12958"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","109271.76","172","e4fc56c7af2586dd69ce209606ff66aae373ffbb"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","109232.41","173","04700d7f3ea102b86f2a0f38b4fe3f690c0c13eb"
"POLICE OFFICER","Patrol","Police Services","101188.9800000001","262","a7ac350599bca93508544d3db71630dd1b5d0e6d"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","109084.12","174","c393d6228007b2425f49bbcc955657b704de8286"
"SR MANAGER, APPS SOFTWARE","Information Technology","Information & Employee Svcs","109070.22","175","e6c65aa6ad9abb51c5a6c3d01ef3f0b9e4cec467"
"POLICE OFFICER","Investigations","Police Services","108917.07","176","dea25a8edc775589b15945b067e7fe4f9f55993a"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","108813.99","177","bae4f299420b8df7a83bcfbf9e6cd18df73c0abf"
"POLICE OFFICER","Patrol","Police Services","101002.62","267","e1c6487e59f3fb78afd2cca8a69d3a2357e956ee"
"SR MANAGER, BENEFITS","Human Resources","Information & Employee Svcs","108771.79000000001","178","61172a84e257f94adf2ccf43ae748fb69c172dc3"
"SR MANAGER, CIVIL ENGINEERING","Streets","Planning, Dev & Transportation","108267.1099999999","179","0520f26fa2eadfbb7469ec7d9a80ec48678c5611"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","108111.84","180","cdae7e204fb35901d02f0d0339a6b05d0e0ef640"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","107955.21","181","f54d06600d3a96272ac211c2b797070b6e4edb56"
"DEPUTY DIRECTOR","Library District","Library District","107836.53","182","c1c0059d9567e2275e51debbdacd3a50415a6789"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","107758.12","183","58867c0f66fc98d3a503547684945454c4fce47c"
"DIRECTOR, BUDGET","Budget","Financial Services","107650.84","184","275112eab74049c79f920d31042df78bb64eb3f8"
"SR MANAGER, SCIENCES","Ut Enviro Regulatory Affairs","Utility Services","107598.07","185","98f247ed281785663101eeb741ab5bec9b072251"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","107523.47","186","47545ae173be3a9b30f14742322b9aab04c463da"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","107432.01","187","358970232e4c653b305b031e8434a2ffe2a3467b"
"POLICE OFFICER","Patrol","Police Services","107370.8500000001","188","8f93086125ab0b410a53041f40bc3d3e45ff4ba8"
"SR ENGINEER, NETWORK","Broadband","Utility Services","107364.61000000002","189","e95c6a3374dad38a8609de410f67637b9bd6c4ff"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","107276.7900000004","190","688ccfb642c0fc8eedcf2e12596314841a8f31f2"
"DIRECTOR, FP&A","Finance Administration","Financial Services","107265.30000000019","191","c17a8dbcdbea6ce930ff742b4d7b421674cb26d4"
"DIRECTOR, RECREATION","Recreation","Community Services","107119.67","192","ca8c3aca6e3db8631a50261e1a6582833059133a"
"POLICE CORPORAL","Community and Special Services","Police Services","106936.91","193","7187e4df281a512d4769b16d81abed4b73ec4ec8"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","106904.17","194","92e3b25ba662319e600138cec6f1fda8ab13c7f6"
"POLICE SERGEANT","Patrol","Police Services","106890.03999999989","195","f1f428ad4af1c2fd1b1e3d9894cb2e667eb65e50"
