"job_title","department","service_area","annual_salary_or_hourly_rate","pay_type","meta_row_index","meta_row_id"
"City Manager","City Manager's Office","Executive Services","278475.08","Annual Salary","0","f237dd6e4c0f41c0d2994f1b31841016591609f4"
"Broadband Executive Director","Broadband","Utility Services","247999.96","Annual Salary","1","108b0d6175a9290b26e989aa40a39d3be92e93d7"
"City Attorney","City Attorney's Office","Legal Services","206090.04","Annual Salary","2","ba0d988607fa35c86d29585d2406d6f43c76bb23"
"Chief Of Police","Police Administration","Police Services","203692.92","Annual Salary","3","2960782a9779e5e29c8f1c28b9547fee72f49e4e"
"Deputy City Manager","City Manager's Office","Executive Services","201368.47","Annual Salary","4","ee44b81c5ba70f29984fe2ebef3168faf2e3ae11"
"Administrative Fire Chief","Poudre Fire Authority","Poudre Fire Authority","192757.5","Annual Salary","5","11b1c25397ca1b4008f8bf59c52d51e3ae158f9f"
"Police Deputy Chief","Police Administration","Police Services","176177.88","Annual Salary","6","a5cbda83e120c213d713e151a61a039475b51c36"
"Chief Judge","Municipal Court","Judicial Services","165000.0","Annual Salary","7","d9f2f1c146bc7cdd3fdee52c519db8d80fe225f7"
"Director Of PDT","PDT Administration","Planning, Dev & Transportation","164999.9","Annual Salary","8","f9f70c05e0e00bc4f558d9561e82d2b917c3c533"
"Chief Human Resources Officer","Human Resources","Information & Employee Svcs","164800.1","Annual Salary","9","f2931a09146f2685a1079533897d54b459139cd7"
"Deputy City Attorney","City Attorney's Office","Legal Services","164441.75","Annual Salary","10","0190ab5f0d6203223ce9d17d217935c31b47ae0a"
"Chief Sustainability Officer","Sustainability Services Admin","Sustainability Services","159650.04","Annual Salary","11","d566163d311c63e66a934325112527bc750c3268"
"Sr Assistant City Attorney","City Attorney's Office","Legal Services","157690.0","Annual Salary","12","fe566088a1d170f46a6d16254c1d84c0fc74ea0b"
"Chief Information Officer","Information Technology","Information & Employee Svcs","156999.96","Annual Salary","13","d2e1926fe87cab4c0ae72a278a3836c1f8c6ace7"
"PFA Dir of Administrative Serv","Poudre Fire Authority","Poudre Fire Authority","155454.0","Annual Salary","14","2d45cd004a85c6eac62db53166e18a2aa42879d5"
"Deputy Director, Utilities","L&P Administration","Utility Services","155000.04","Annual Salary","15","3f3d9cfeba2e51510393553f5b7bb87e888183b9"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","154804.0","Annual Salary","16","1c81f5cd5cd08eb9c7639625bd6d3127d82d6ffc"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","154804.0","Annual Salary","17","1c81f5cd5cd08eb9c7639625bd6d3127d82d6ffc"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","154804.0","Annual Salary","18","1c81f5cd5cd08eb9c7639625bd6d3127d82d6ffc"
"Police Assistant Chief","Patrol","Police Services","149968.0","Annual Salary","19","09cf216837c088af4aa0ec582ab8c5fe8eb28742"
"Police Assistant Chief","Investigations","Police Services","149968.0","Annual Salary","20","aa97e8b3368a8d502adcd47f9a356797c16e3d99"
"Police Assistant Chief","Special Operations","Police Services","149968.0","Annual Salary","21","61024078fb14b685901cc357ee607573b803e41c"
"Division Chief","Poudre Fire Authority","Poudre Fire Authority","148642.0","Annual Salary","22","b31137f7cde04db30ba01d2bdb155dafd7571240"
"Sr Assistant City Attorney","City Attorney's Office","Legal Services","145976.97","Annual Salary","23","50917766cff9878b05558b56ad841610a33f3b16"
"Library Director","Library District","Library District","142054.64","Annual Salary","24","7605f1babeba97512ea45479f9dd554b72719be7"
"Director, Information Services","Police Information Services","Police Services","141442.05","Annual Salary","25","f2a8e968781c05d1a7d1d3ac63814208053d1e78"
"Director, Broadband","Broadband","Utility Services","140712.0","Annual Salary","26","ceafca528e0d1f69e28967fb9dec3769b8e72574"
"Director, Elec Engineering","L&P Electrical Engineering","Utility Services","140294.12","Annual Salary","27","3251da2a1c45b4268a74959ed7824d59c614ef06"
"Police Lieutenant","City Manager's Office","Executive Services","139838.0","Annual Salary","28","a786979c61cfd975a58abd43aba20c778943e90c"
"Police Lieutenant","Patrol","Police Services","139838.0","Annual Salary","29","8fd05ad67ef7c80e491bb6f9981c0fb4fadc027f"
"Police Lieutenant","Special Operations","Police Services","139838.0","Annual Salary","30","d835bb8cbb0d889094f27f8f3fb9bf80e403b5f9"
"Police Lieutenant","Patrol","Police Services","139838.0","Annual Salary","31","8fd05ad67ef7c80e491bb6f9981c0fb4fadc027f"
"Police Lieutenant","Police Administration","Police Services","139838.0","Annual Salary","32","c6cff162498a30b33100fa8e4d320e1e5ffb4ba5"
"Police Lieutenant","Police Administration","Police Services","139838.0","Annual Salary","33","c6cff162498a30b33100fa8e4d320e1e5ffb4ba5"
"Police Lieutenant","Special Operations","Police Services","139838.0","Annual Salary","34","d835bb8cbb0d889094f27f8f3fb9bf80e403b5f9"
"Police Lieutenant","Patrol","Police Services","139838.0","Annual Salary","35","8fd05ad67ef7c80e491bb6f9981c0fb4fadc027f"
"Police Lieutenant","Patrol","Police Services","139838.0","Annual Salary","36","8fd05ad67ef7c80e491bb6f9981c0fb4fadc027f"
"Police Lieutenant","Investigations","Police Services","139838.0","Annual Salary","37","0f3ee966e19f75ad621cceabf17b3c3039e27c30"
"Police Lieutenant","Special Operations","Police Services","139838.0","Annual Salary","38","d835bb8cbb0d889094f27f8f3fb9bf80e403b5f9"
"Police Lieutenant","Investigations","Police Services","139838.0","Annual Salary","39","0f3ee966e19f75ad621cceabf17b3c3039e27c30"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","40","7c05d2865f12dfd9ec1e05d0923fa962048c86a2"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","41","7c05d2865f12dfd9ec1e05d0923fa962048c86a2"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","42","7c05d2865f12dfd9ec1e05d0923fa962048c86a2"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","43","7c05d2865f12dfd9ec1e05d0923fa962048c86a2"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","139022.0","Annual Salary","44","7c05d2865f12dfd9ec1e05d0923fa962048c86a2"
"Director, Facilities & Fleet","Operation Services","Information & Employee Svcs","137681.68","Annual Salary","45","8477d29c0c0bbf2583ecc89bb21d2d7f093ca0f3"
"Director, FP&A","Utility Financial Operations","Utility Services","137217.76","Annual Salary","46","239a5fc0d17eba779db94098b142e8b2df7412d2"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","47","6c6358934308e0eaccd504ca85e85f98edadba86"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","48","6c6358934308e0eaccd504ca85e85f98edadba86"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","49","6c6358934308e0eaccd504ca85e85f98edadba86"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","50","6c6358934308e0eaccd504ca85e85f98edadba86"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","136656.0","Annual Salary","51","6c6358934308e0eaccd504ca85e85f98edadba86"
"Deputy Director, Utilities","Ut Water UTL Engineering Div","Utility Services","135391.11","Annual Salary","52","6e668ea8a5ad609500da18f71b63dab7ba871ed4"
"Sr Manager, Emergency Comms","Police Information Services","Police Services","135010.0","Annual Salary","53","3dacbbfc2d4ffff72f00383a7a8cd06facf18fa3"
"Director, City Give","Finance Administration","Financial Services","135000.06","Annual Salary","54","3686518c5af616c6e3b1750adb52b57aee47add0"
"Deputy Director, PDT","PDT Administration","Planning, Dev & Transportation","134186.87","Annual Salary","55","323fa6c97f998812db2d7b0f6b63dca299f4b8c3"
"Deputy Director, Utilities","Utilities Customer Connections","Utility Services","134154.64","Annual Salary","56","1dad431a4c28fc9840e6dbe7dd6befde02266f56"
"Battalion Chief II - 40 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","133484.0","Annual Salary","57","d8d9f91c4b1affd16c4da9b245bfc64191e0e292"
"Director, Accounting","Accounting and Treasury","Financial Services","133054.26","Annual Salary","58","4ca64648c40111b3003844f22568120da53e2398"
"Director, Human Resources","Human Resources","Information & Employee Svcs","132999.88","Annual Salary","59","d1ba6601078aedacba37354bc6ed13a0e5496ff2"
"Director, Elec Engineering","L&P Operations & Technology","Utility Services","132189.43","Annual Salary","60","ea9e76367d8c6f6f6c4a5f19190b58a5b858f794"
"Sr Manager, Elec Engr","L&P Operations & Technology","Utility Services","131475.83","Annual Salary","61","708ca7f7cac62e2def401f3fc94ea0b212b3da36"
"Deputy Dir, Community Services","Natural Areas","Community Services","131468.42","Annual Salary","62","b5b1baae4c5b79ca9e5e0fe7528c93b5b72994b5"
"Battalion Chief I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","131092.0","Annual Salary","63","757fb69ebe5b83692de56870e181e53e42550cd7"
"Director, Transit","Transfort / Parking Services","Planning, Dev & Transportation","129599.87","Annual Salary","64","ef708e1b0d7c5d6d4360c72eaa538ab4e05618d2"
"Dir, Transportation Operations","Streets","Planning, Dev & Transportation","129122.26","Annual Salary","65","ca2a924a339266214a28165f87828518ef58e093"
"Dir, Economic Sustainability","Economic Health Office","Sustainability Services","128511.54","Annual Salary","66","94a1d2e71e5d4143e823e9016f1f8336cd0c9c27"
"Assistant City Attorney II","City Attorney's Office","Legal Services","127402.03","Annual Salary","67","b5bee4b07d952b7026db9951507c503ee910cf21"
"Employee & Labor Relations Mgr","Poudre Fire Authority","Poudre Fire Authority","126455.16","Annual Salary","68","0e24ef9e34c27095c9e1a8e7d556426bcb31c7db"
"Sr Assistant City Attorney","City Attorney's Office","Legal Services","125900.98","Annual Salary","69","8b5d513d926a0332f06aff44b771b17fe52c639c"
