"region","subregion","buildingage","quarter","year","averagevacancy"
"Colorado State","Overall - Statewide","To 1959","1","1996",
"Colorado State","Overall - Statewide","To 1959","3","1996",
"Colorado State","Overall - Statewide","To 1959","1","1997",
"Colorado State","Overall - Statewide","To 1959","3","1997",
"Colorado State","Overall - Statewide","To 1959","1","1998",
"Colorado State","Overall - Statewide","To 1959","3","1998",
"Colorado State","Overall - Statewide","To 1959","1","1999",
"Colorado State","Overall - Statewide","To 1959","3","1999",
"Colorado State","Overall - Statewide","To 1959","1","2000",
"Colorado State","Overall - Statewide","To 1959","3","2000",
"Colorado State","Overall - Statewide","To 1959","1","2001",
"Colorado State","Overall - Statewide","To 1959","3","2001",
"Colorado State","Overall - Statewide","To 1959","1","2002",
"Colorado State","Overall - Statewide","To 1959","3","2002",
"Colorado State","Overall - Statewide","To 1959","1","2003",
"Colorado State","Overall - Statewide","To 1959","3","2003",
"Colorado State","Overall - Statewide","To 1959","1","2004",
"Colorado State","Overall - Statewide","To 1959","3","2004",
"Colorado State","Overall - Statewide","To 1959","1","2005",
"Colorado State","Overall - Statewide","To 1959","3","2005",
"Colorado State","Overall - Statewide","To 1959","1","2006",
"Colorado State","Overall - Statewide","To 1959","3","2006",
"Colorado State","Overall - Statewide","To 1959","4","2006",
"Colorado State","Overall - Statewide","To 1959","1","2007",
"Colorado State","Overall - Statewide","To 1959","2","2007",
"Colorado State","Overall - Statewide","To 1959","3","2007",
"Colorado State","Overall - Statewide","To 1959","4","2007",
"Colorado State","Overall - Statewide","To 1959","1","2008",
"Colorado State","Overall - Statewide","To 1959","2","2008",
"Colorado State","Overall - Statewide","To 1959","3","2008",
"Colorado State","Overall - Statewide","To 1959","4","2008",
"Colorado State","Overall - Statewide","To 1959","1","2009",
"Colorado State","Overall - Statewide","To 1959","2","2009",
"Colorado State","Overall - Statewide","To 1959","3","2009",
"Colorado State","Overall - Statewide","To 1959","4","2009",
"Colorado State","Overall - Statewide","To 1959","1","2010",
"Colorado State","Overall - Statewide","To 1959","2","2010",
"Colorado State","Overall - Statewide","To 1959","3","2010",
"Colorado State","Overall - Statewide","To 1959","4","2010",
"Colorado State","Overall - Statewide","To 1959","1","2011",
"Colorado State","Overall - Statewide","To 1959","2","2011",
"Colorado State","Overall - Statewide","To 1959","3","2011","10.1280558789"
"Colorado State","Overall - Statewide","To 1959","4","2011","13.0841121495"
"Colorado State","Overall - Statewide","To 1959","1","2012","6.65742024965"
"Colorado State","Overall - Statewide","To 1959","2","2012","5.64102564103"
"Colorado State","Overall - Statewide","To 1959","3","2012","4.88188976378"
"Colorado State","Overall - Statewide","To 1959","4","2012","4.25531914894"
"Colorado State","Overall - Statewide","To 1959","1","2013","4.23011844332"
"Colorado State","Overall - Statewide","To 1959","2","2013","5.12820512821"
"Colorado State","Overall - Statewide","To 1959","3","2013","6.42458100559"
"Colorado State","Overall - Statewide","To 1959","4","2013","5.75342465753"
"Colorado State","Overall - Statewide","To 1959","1","2014","2.82555282555"
"Colorado State","Overall - Statewide","To 1959","2","2014","6.46153846154"
"Colorado State","Overall - Statewide","To 1959","3","2014","4.3583535109"
"Colorado State","Overall - Statewide","To 1959","4","2014","2.6455026455"
"Colorado State","Overall - Statewide","To 1959","1","2015","3.78548895899"
"Colorado State","Overall - Statewide","To 1959","2","2015","2.01729106628"
"Colorado State","Overall - Statewide","To 1959","3","2015","5.99369085174"
"Colorado State","Overall - Statewide","To 1959","4","2015",
"Colorado State","Overall - Statewide","1960-69","1","1996",
"Colorado State","Overall - Statewide","1960-69","3","1996",
"Colorado State","Overall - Statewide","1960-69","1","1997",
"Colorado State","Overall - Statewide","1960-69","3","1997",
"Colorado State","Overall - Statewide","1960-69","1","1998",
"Colorado State","Overall - Statewide","1960-69","3","1998",
"Colorado State","Overall - Statewide","1960-69","1","1999",
"Colorado State","Overall - Statewide","1960-69","3","1999",
"Colorado State","Overall - Statewide","1960-69","1","2000",
"Colorado State","Overall - Statewide","1960-69","3","2000",
"Colorado State","Overall - Statewide","1960-69","1","2001",
"Colorado State","Overall - Statewide","1960-69","3","2001",
"Colorado State","Overall - Statewide","1960-69","1","2002",
"Colorado State","Overall - Statewide","1960-69","3","2002",
"Colorado State","Overall - Statewide","1960-69","1","2003",
"Colorado State","Overall - Statewide","1960-69","3","2003",
"Colorado State","Overall - Statewide","1960-69","1","2004",
"Colorado State","Overall - Statewide","1960-69","3","2004",
"Colorado State","Overall - Statewide","1960-69","1","2005",
"Colorado State","Overall - Statewide","1960-69","3","2005",
"Colorado State","Overall - Statewide","1960-69","1","2006",
"Colorado State","Overall - Statewide","1960-69","3","2006",
"Colorado State","Overall - Statewide","1960-69","4","2006",
"Colorado State","Overall - Statewide","1960-69","1","2007",
"Colorado State","Overall - Statewide","1960-69","2","2007",
"Colorado State","Overall - Statewide","1960-69","3","2007",
"Colorado State","Overall - Statewide","1960-69","4","2007",
"Colorado State","Overall - Statewide","1960-69","1","2008",
"Colorado State","Overall - Statewide","1960-69","2","2008",
"Colorado State","Overall - Statewide","1960-69","3","2008",
"Colorado State","Overall - Statewide","1960-69","4","2008",
