"region","subregion","apartmenttype","quarter","year","averagerent"
"Colorado State","Fort Collins/Loveland","All","3","2015","1267.86227693"
"Colorado State","Eagle County","All","3","2015","1243.8655914"
"Colorado State","Durango","All","3","2015","1178.04232804"
"Colorado State","Aspen","All","3","2015","1098.86341463"
"Colorado State","Steamboat Springs","All","3","2015","1096.81506849"
"Colorado State","Summit County","All","3","2015","1084.92488263"
"Colorado State","Greeley","All","3","2015","956.726683938"
"Colorado State","Colorado Springs","All","3","2015","932.249447812"
"Colorado State","Glenwood Springs","All","3","2015","808.25"
"Colorado State","Central Mountains","All","3","2015","727.9761904761905"
"Colorado State","Gunnison","All","3","2015","710.340909091"
"Colorado State","Montrose","All","3","2015","710.326086957"
"Colorado State","Pueblo","All","3","2015","627.02553329"
"Colorado State","Sterling","All","3","2015","559.324675325"
"Colorado State","Grand Junction","All","3","2015","510.723577236"
"Colorado State","Fort Morgan/Brush","All","3","2015","475.358333333"
"Colorado State","Southeastern Colorado","All","3","2015","417.363636364"
"Colorado State","Salida","All","3","2015",
"Colorado State","Lake County","All","3","2015",
"Colorado State","Alamosa","All","3","2015",
"Colorado State","Canon City","All","3","2015",
"Colorado State","Buena Vista","All","3","2015",
