"month","number_of_potholes_patched"
"2019-12-31T00:00:00.000",
"2019-11-30T00:00:00.000",
"2019-10-31T00:00:00.000","308"
"2019-09-30T00:00:00.000","389"
"2019-08-31T00:00:00.000","737"
"2019-07-31T00:00:00.000","1195"
"2019-06-30T00:00:00.000","483"
"2019-05-31T00:00:00.000","704"
"2019-04-30T00:00:00.000","1699"
"2019-03-31T00:00:00.000","1517"
"2019-02-28T00:00:00.000","1759"
"2019-01-31T00:00:00.000","0"
"2018-12-31T00:00:00.000","1033"
"2018-11-30T00:00:00.000","0"
"2018-10-31T00:00:00.000","652"
"2018-09-30T00:00:00.000","409"
"2018-08-31T00:00:00.000","215"
"2018-07-31T00:00:00.000","955"
"2018-06-30T00:00:00.000","1244"
"2018-05-31T00:00:00.000","125"
"2018-04-30T00:00:00.000","1784"
"2018-03-31T00:00:00.000","2129"
"2018-02-28T00:00:00.000","1627"
"2018-01-31T00:00:00.000","903"
"2017-12-31T00:00:00.000","1111"
"2017-11-30T00:00:00.000","432"
"2017-10-31T00:00:00.000","188"
"2017-09-30T00:00:00.000","142"
"2017-08-31T00:00:00.000","519"
"2017-07-31T00:00:00.000","1755"
"2017-06-30T00:00:00.000","391"
"2017-05-31T00:00:00.000","1602"
"2017-04-30T00:00:00.000","2229"
"2017-03-31T00:00:00.000","1310"
"2017-02-28T00:00:00.000","1051"
"2017-01-31T00:00:00.000","738"
"2016-12-31T00:00:00.000","199"
"2016-11-30T00:00:00.000","281"
"2016-10-31T00:00:00.000","0"
"2016-09-30T00:00:00.000","51"
"2016-08-31T00:00:00.000","72"
"2016-07-31T00:00:00.000","492"
"2016-06-30T00:00:00.000","996"
"2016-05-31T00:00:00.000","330"
"2016-04-30T00:00:00.000","780"
"2016-03-31T00:00:00.000","585"
"2016-02-29T00:00:00.000","895"
"2016-01-31T00:00:00.000","1057"
"2015-12-31T00:00:00.000","370"
"2015-11-30T00:00:00.000","320"
"2015-10-31T00:00:00.000","955"
"2015-09-30T00:00:00.000","190"
"2015-08-31T00:00:00.000","1050"
"2015-07-31T00:00:00.000","353"
"2015-06-30T00:00:00.000","733"
"2015-05-31T00:00:00.000","255"
"2015-04-30T00:00:00.000","1686"
"2015-03-31T00:00:00.000","281"
"2015-02-28T00:00:00.000","405"
"2015-01-31T00:00:00.000","60"
"2014-12-31T00:00:00.000","325"
"2014-11-30T00:00:00.000","152"
"2014-10-31T00:00:00.000","208"
"2014-09-30T00:00:00.000","346"
"2014-08-31T00:00:00.000","160"
"2014-07-31T00:00:00.000","200"
"2014-06-30T00:00:00.000","504"
"2014-05-31T00:00:00.000","569"
"2014-04-30T00:00:00.000","338"
"2014-03-31T00:00:00.000","1422"
"2014-02-28T00:00:00.000","626"
"2014-01-31T00:00:00.000","143"
"2013-12-31T00:00:00.000","234"
"2013-11-30T00:00:00.000","489"
"2013-10-31T00:00:00.000","464"
"2013-09-30T00:00:00.000","175"
"2013-08-31T00:00:00.000","335"
"2013-07-31T00:00:00.000","295"
"2013-06-30T00:00:00.000","1044"
"2013-05-31T00:00:00.000","1108"
"2013-04-30T00:00:00.000","1506"
"2013-03-31T00:00:00.000","1935"
"2013-02-28T00:00:00.000","1586"
"2013-01-31T00:00:00.000","336"
"2012-12-31T00:00:00.000","524"
"2012-11-30T00:00:00.000","680"
"2012-10-31T00:00:00.000","335"
"2012-09-30T00:00:00.000","134"
"2012-08-31T00:00:00.000","356"
"2012-07-31T00:00:00.000","201"
"2012-06-30T00:00:00.000","0"
"2012-05-31T00:00:00.000","120"
"2012-04-30T00:00:00.000","96"
"2012-03-31T00:00:00.000","810"
"2012-02-29T00:00:00.000","1250"
"2012-01-31T00:00:00.000","486"
"2011-12-31T00:00:00.000","545"
"2011-11-30T00:00:00.000","217"
"2011-10-31T00:00:00.000","722"
"2011-09-30T00:00:00.000","724"
"2011-08-31T00:00:00.000","500"
"2011-07-31T00:00:00.000","971"
"2011-06-30T00:00:00.000","922"
"2011-05-31T00:00:00.000","986"
"2011-04-30T00:00:00.000","1685"
"2011-03-31T00:00:00.000","2120"
"2011-02-28T00:00:00.000","1087"
"2011-01-31T00:00:00.000","270"
"2010-12-31T00:00:00.000","226"
"2010-11-30T00:00:00.000","328"
"2010-10-31T00:00:00.000","133"
"2010-09-30T00:00:00.000","386"
"2010-08-31T00:00:00.000","131"
"2010-07-31T00:00:00.000","228"
"2010-06-30T00:00:00.000","316"
"2010-05-31T00:00:00.000","326"
"2010-04-30T00:00:00.000","1370"
"2010-03-31T00:00:00.000","2133"
"2010-02-28T00:00:00.000","495"
"2010-01-31T00:00:00.000","612"
