"year","years_of_service","highly_engaged","moderately_engaged","engaged","disengaged"
"2016-01-01T00:00:00.000","19 & Under, 20 - 29","74","19","93","7"
"2016-01-01T00:00:00.000","30 - 39","64","28","92","8"
"2016-01-01T00:00:00.000","40 - 49","66","26","92","8"
"2016-01-01T00:00:00.000","50 - 59","66","25","91","9"
"2016-01-01T00:00:00.000","60 & Over","78","19","97","3"
"2016-01-01T00:00:00.000","Overall","70","23","93","7"
