"month","fires","automobile_accidents","emergency_medical_services_ems","hazardous_condition","other_responses","alarms","total_incidents","inspections","inter_facility_transfers","intra_facility_transfer","mutual_aid_given","mutual_aid_received"
"2017-12-01T00:00:00.000","12","30","645","13","116","53","869",,"35","62","18","6"
"2017-11-01T00:00:00.000","9","35","592","6","128","41","811",,"35","53","11","3"
"2017-10-01T00:00:00.000","8","37","707","10","130","43","935",,"38","67","21","0"
"2017-09-01T00:00:00.000","12","50","618","5","115","34","834",,"33","50","16","0"
"2017-08-01T00:00:00.000","14","32","607","10","131","38","832",,"32","54","25","4"
"2017-07-01T00:00:00.000","15","32","664","7","154","50","922",,"31","66","20","2"
"2017-06-01T00:00:00.000","19","44","674","17","101","49","904",,"30","45","18","1"
"2017-05-01T00:00:00.000","16","25","637","20","106","34","838",,"32","70","24","3"
"2017-04-30T00:00:00.000","21","31","589","9","85","32","767","398","23","56","15","7"
"2017-03-31T00:00:00.000","7","31","691","14","109","33","885","352","23","63","18","0"
"2017-02-28T00:00:00.000","14","26","579","6","91","46","762","262","27","64","11","7"
"2017-01-31T00:00:00.000","10","36","675","10","104","34","869","184","36","61","23","5"
"2016-12-31T00:00:00.000","8","56","715","12","18","44","853","380","25","55","16","0"
"2016-11-30T00:00:00.000","12","34","657","8","30","47","788","456","30","65","18","8"
"2016-10-31T00:00:00.000","16","42","710","18","21","44","851","516","33","67","28","3"
"2016-09-30T00:00:00.000","19","50","675","11","17","31","803","615","23","67","9","2"
"2016-08-31T00:00:00.000","11","45","753","27","21","48","905","429","25","53","12","2"
"2016-07-31T00:00:00.000","21","40","703","24","17","54","859","248","25","40","18","4"
"2016-06-30T00:00:00.000","15","42","679","17","16","50","819","498","16","54","10","4"
"2016-05-31T00:00:00.000","12","33","750","10","41","31","877","416","26","55","9","4"
"2016-04-30T00:00:00.000","13","27","670","10","37","50","807","371","24","45","7","7"
"2016-03-31T00:00:00.000","9","39","689","16","23","30","806","461","23","57","13","5"
"2016-02-29T00:00:00.000","8","38","606","6","9","30","697","406","21","45","6","1"
"2016-01-31T00:00:00.000","17","31","640","19","21","41","769","253",,"50","11","3"
