"jl_code","initiative_name","fiscal_year","percent_of_master_plan_completed"
"DOHMJ","2700 Middlefield Junction","FY 16-17 Target","100"
"DOHMJ","2700 Middlefield Junction","FY 16-17 Actual","100"
"DOHMJ","2700 Middlefield Junction","FY 17-18 Target","100"
"DOHMJ","2700 Middlefield Junction","FY 17-18 Actual","100"
