"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Rate of child abuse reports per 1,000 children","FY 2011-12","ACTUAL","26.5",,
"Rate of child abuse reports per 1,000 children","FY 2012-13","ACTUAL","33.6",,
"Rate of child abuse reports per 1,000 children","FY 2013-14","ACTUAL","30.7","30.2","38.2"
"Rate of child abuse reports per 1,000 children","FY 2014-15","ACTUAL","27.3","30.2","37.3"
"Rate of child abuse reports per 1,000 children","FY 2016-17","ACTUAL","25.9","27.5","36.9"
"Rate of child abuse reports per 1,000 children","FY 2015-16","ACTUAL","24.3","27.5","36.9"
"Rate of child abuse reports per 1,000 children","FY 2018-19","ACTUAL","28.0","25.8","37.9"
"Rate of child abuse reports per 1,000 children","FY 2017-18","ACTUAL","31.7","25.8","37.9"
