"sex","race","hispanic","language","city","age","state","geocoded_column"
"M","Other","No","SPANISH","HOMELESS","88","ca","POINT (-120.153119 40.13117)"
"F","White","Yes","ENGLISH","EAST PALO ALTO","37","ca","POINT (-122.139284 37.464162)"
"F","Asian","Unknown","TAGALOG","MILLBRAE","59","ca","POINT (-122.397199 37.603633)"
"F","Other","Unknown","UNKNOWN","SAN MATEO","62","ca","POINT (-122.314351 37.547166)"
"M","Asian","No","ENGLISH","REDWOOD CITY","67","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","UNKNOWN","DALY CITY","74","ca","POINT (-122.472221 37.691113)"
"M","White","Unknown","UNKNOWN","HALF MOON BAY","61","ca","POINT (-122.429242 37.463638)"
"F","White","Unknown","ENGLISH","MILLBRAE","49","ca","POINT (-122.397199 37.603633)"
"M","White","No","ENGLISH","REDWOOD CITY","42","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","SPANISH","SOUTH SAN FRANCISCO","70","ca","POINT (-122.412482 37.65568)"
"F","Other","Yes","ENGLISH","REDWOOD CITY","35","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","SPANISH","DALY CITY","93","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","SAN MATEO","41","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","HOMELESS","56","ca","POINT (-120.153119 40.13117)"
"F","White","Yes","ENGLISH","REDWOOD CITY","53","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","DALY CITY","56","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","FREMONT","67","ca","POINT (-121.980829 37.550195)"
"F","Black","No","ENGLISH","SOUTH SAN FRANCISCO","68","ca","POINT (-122.412482 37.65568)"
"M","Other","No","ENGLISH","SOUTH SAN FRANCISCO","67","ca","POINT (-122.412482 37.65568)"
"F","White","No","ENGLISH","REDWOOD CITY","63","ca","POINT (-122.22815 37.484778)"
"M","Asian","Unknown","UNKNOWN","SAN BRUNO","47","ca","POINT (-122.416148 37.627277)"
"M","White","Unknown","ENGLISH","MILLBRAE","40","ca","POINT (-122.397199 37.603633)"
"M","White","No","ENGLISH","REDWOOD CITY","61","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","UNKNOWN","SAN MATEO","49","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SAN MATEO","56","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","SPANISH","REDWOOD CITY","38","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","HOMELESS","34","ca","POINT (-120.153119 40.13117)"
"F","Unknown","Unknown","ENGLISH","REDWOOD CITY","66","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","UNKNOWN","EAST PALO ALTO","56","ca","POINT (-122.139284 37.464162)"
"F","Other","Yes","SPANISH","DALY CITY","78","ca","POINT (-122.472221 37.691113)"
"F","Unknown","Unknown","ENGLISH","MONTARA","100","ca","POINT (-122.515258 37.542)"
"M","White","Unknown","UNKNOWN","HOMELESS","32","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","BURLINGAME","41","ca","POINT (-122.366265 37.584195)"
"F","White","No","ENGLISH","REDWOOD CITY","59","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","REDWOOD CITY","23","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","MILLBRAE","78","ca","POINT (-122.397199 37.603633)"
"F","Pacific Islander","No","ENGLISH","DALY CITY","32","ca","POINT (-122.472221 37.691113)"
"F","White","Yes","ENGLISH","FOSTER CITY","50","ca","POINT (-122.266445 37.561881)"
"F","White","Yes","SPANISH","SOUTH SAN FRANCISCO","62","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","ENGLISH","REDWOOD CITY","41","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","HOMELESS","38","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","SAN MATEO","30","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","37","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SANTA PAULA","57","ca","POINT (-119.059977 34.35395)"
"M","White","Unknown","UNKNOWN","PALO ALTO","66","ca","POINT (-122.160363 37.445103)"
"M","White","No","ENGLISH","DALY CITY","27","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","HALF MOON BAY","48","ca","POINT (-122.429242 37.463638)"
"M","White","No","ENGLISH","REDWOOD CITY","47","ca","POINT (-122.22815 37.484778)"
"M","Other","Yes","ENGLISH","SOUTH SAN FRANCISCO","33","ca","POINT (-122.412482 37.65568)"
"F","Other","Yes","ENGLISH","REDWOOD CITY","36","ca","POINT (-122.22815 37.484778)"
"F","Other","No","ENGLISH","FOSTER CITY","30","ca","POINT (-122.266445 37.561881)"
"F","White","No","ENGLISH","REDWOOD CITY","25","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","SAN MATEO","33","ca","POINT (-122.314351 37.547166)"
"F","Native American","No","FARSI","SAN BRUNO","85","ca","POINT (-122.416148 37.627277)"
"M","Other","Yes","SPANISH","NEWARK","30","ca","POINT (-122.028735 37.535981)"
"F","White","Unknown","UNKNOWN","SAN MATEO","33","ca","POINT (-122.314351 37.547166)"
"F","White","Unknown","UNKNOWN","REDWOOD CITY","71","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","DALY CITY","62","ca","POINT (-122.472221 37.691113)"
"F","Black","No","ENGLISH","SAN MATEO","57","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","REDWOOD CITY","53","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","UNKNOWN","EAST PALO ALTO","91","ca","POINT (-122.139284 37.464162)"
"F","Asian","No","ENGLISH","DALY CITY","64","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","DALY CITY","65","ca","POINT (-122.472221 37.691113)"
"M","White","Unknown","ENGLISH","MENLO PARK","34","ca","POINT (-122.18296 37.453629)"
"M","Black","No","ENGLISH","REDWOOD CITY","71","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","REDWOOD CITY","46","ca","POINT (-122.22815 37.484778)"
"M","Black","Unknown","ENGLISH","REDWOOD CITY","62","ca","POINT (-122.22815 37.484778)"
"M","Black","Unknown","UNKNOWN","REDWOOD CITY","51","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","SAN MATEO","84","ca","POINT (-122.314351 37.547166)"
"F","Asian","Unknown","ENGLISH","REDWOOD CITY","64","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","51","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","HOMELESS","56","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","SAN MATEO","24","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","46","ca","POINT (-122.412482 37.65568)"
"M","Black","No","ENGLISH","REDWOOD CITY","40","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","UNKNOWN","SAN MATEO","72","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","BURLINGAME","59","ca","POINT (-122.366265 37.584195)"
"F","Unknown","Unknown","ENGLISH","MILLBRAE","88","ca","POINT (-122.397199 37.603633)"
"M","White","Unknown","ARABIC","PACIFICA","72","ca","POINT (-122.48704 37.613823)"
"M","Declined to State","No","ENGLISH","SAN MATEO","59","ca","POINT (-122.314351 37.547166)"
