"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Cost per capita compared to Bay Area Counties","FY 2011-12","ACTUAL","210",,
"Cost per capita compared to Bay Area Counties","FY 2012-13","ACTUAL","207",,
"Cost per capita compared to Bay Area Counties","FY 2013-14","ACTUAL","227","210",
"Cost per capita compared to Bay Area Counties","FY 2014-15","ACTUAL","236","210","346"
"Cost per capita compared to Bay Area Counties","FY 2015-16","ACTUAL","238","220",
"Cost per capital compared to Bay Area Counties","FY 2016-17","ACTUAL","238.00","215","367.00"
"Cost per capital compared to Bay Area Counties","FY 2017-18","ACTUAL","242.00","280.00","367"
"Cost per capital compared to Bay Area Counties","FY 2018-19","ESTIMATE","272","280.00",
