"activity_date","tb_core_daily_record_id1","facility_name1","site_address","city1","zip","tb_core_daily_pe1","tb_fin_fees_description1","service1","cd_core_service_code_description1","result_code1","cd_core_inspection_result_description1","violation_code1","violation_description","violation_degree","cd_core_degree_violation_description","violation_status","cd_core_violation_status_description","location_2","count"
"2015-03-16T00:00:00.000","PR0001574","LOS PRIMOS","85 N B ST","SAN MATEO","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","F023","23. No insects, rodents, birds or animals present",,,"OU","OUT OF COMPLIANCE","POINT (-122.325511265 37.568496676)","1"
"2015-03-16T00:00:00.000","PR0001574","LOS PRIMOS","85 N B ST","SAN MATEO","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","F042","42. Garbage/refuse properly disposed; facilities maintained",,,"OU","OUT OF COMPLIANCE","POINT (-122.325511265 37.568496676)","1"
"2015-03-16T00:00:00.000","PR0001574","LOS PRIMOS","85 N B ST","SAN MATEO","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","F045","45. Floors, walls and ceiling: built, maintained and clean",,,"OU","OUT OF COMPLIANCE","POINT (-122.325511265 37.568496676)","1"
"2014-12-03T00:00:00.000","PR0047465","Central Cafe","517 S B St","San Mateo","94401","1523","MARKET UNDER 2,000 SQ FT  (RC 2)","1","ROUTINE","51","EXCELLENT","K027","Food separated and protected","2","Minor","OU","OUT OF COMPLIANCE","POINT (-122.32041980900001 37.563733306)","1"
"2014-12-03T00:00:00.000","PR0047465","Central Cafe","517 S B St","San Mateo","94401","1523","MARKET UNDER 2,000 SQ FT  (RC 2)","1","ROUTINE","51","EXCELLENT","K033","Nonfood-contact surfaces clean","2","Minor","OU","OUT OF COMPLIANCE","POINT (-122.32041980900001 37.563733306)","1"
"2014-10-23T00:00:00.000","PR0052040","Espetus Churrascaria","710 S B St","San Mateo","94402","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT",,,,,,,"POINT (-122.319348825 37.562681527)","1"
"2014-06-18T00:00:00.000","PR0000822","Peninsula Social Club","100 N B St","San Mateo","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","K030","Food storage; food storage containers identified","2","Minor","OU","OUT OF COMPLIANCE","POINT (-122.325708783 37.568763016)","1"
"2014-06-13T00:00:00.000","PR0067978","Vault 164","164 S B St","San Mateo","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","K033","Nonfood-contact surfaces clean","2","Minor","OU","OUT OF COMPLIANCE","POINT (-122.323420351 37.566388163)","1"
"2014-06-13T00:00:00.000","PR0067978","Vault 164","164 S B St","San Mateo","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","K014","Food contact surfaces: clean and sanitized","2","Minor","OU","OUT OF COMPLIANCE","POINT (-122.323420351 37.566388163)","1"
"2014-06-10T00:00:00.000","PR0069869","Bill Hoffbrau","11 S B St","San Mateo","94401","1514","FOOD PREP - 11 TO 100 SEATS (RC 3)","1","ROUTINE","51","EXCELLENT","K044","Premises; personal/cleaning items; vermin-proofing","2","Minor","OU","OUT OF COMPLIANCE","POINT (-122.32457954600001 37.56751279)","1"
